reporting_date,fico_low,new_used,active_loans,new_repos
01-31-2017,380,1,1,0
01-31-2017,400,2,1,0
01-31-2017,410,2,1,0
01-31-2017,420,1,2,0
01-31-2017,420,2,1,0
01-31-2017,430,1,5,0
01-31-2017,440,1,8,0
01-31-2017,440,2,2,0
01-31-2017,450,1,11,0
01-31-2017,450,2,1,0
01-31-2017,460,1,19,0
01-31-2017,460,2,1,0
01-31-2017,470,1,28,0
01-31-2017,470,2,2,0
01-31-2017,480,1,28,0
01-31-2017,480,2,9,0
01-31-2017,490,1,51,0
01-31-2017,490,2,13,0
01-31-2017,500,1,60,0
01-31-2017,500,2,16,0
01-31-2017,510,1,97,0
01-31-2017,510,2,15,0
01-31-2017,520,1,130,0
01-31-2017,520,2,26,0
01-31-2017,530,1,193,0
01-31-2017,530,2,44,0
01-31-2017,540,1,226,0
01-31-2017,540,2,39,0
01-31-2017,550,1,309,0
01-31-2017,550,2,58,0
01-31-2017,560,1,315,0
01-31-2017,560,2,73,0
01-31-2017,570,1,479,0
01-31-2017,570,2,103,0
01-31-2017,580,1,490,0
01-31-2017,580,2,103,0
01-31-2017,590,1,622,0
01-31-2017,590,2,114,0
01-31-2017,600,1,764,0
01-31-2017,600,2,141,0
01-31-2017,610,1,863,0
01-31-2017,610,2,158,0
01-31-2017,620,1,964,2
01-31-2017,620,2,252,0
01-31-2017,630,1,1101,0
01-31-2017,630,2,288,0
01-31-2017,640,1,1144,0
01-31-2017,640,2,306,0
01-31-2017,650,1,1352,0
01-31-2017,650,2,318,0
01-31-2017,660,1,1389,0
01-31-2017,660,2,315,0
01-31-2017,670,1,1500,0
01-31-2017,670,2,364,0
01-31-2017,680,1,1361,1
01-31-2017,680,2,300,0
01-31-2017,690,1,1575,0
01-31-2017,690,2,346,0
01-31-2017,700,1,1520,0
01-31-2017,700,2,269,0
01-31-2017,710,1,1621,0
01-31-2017,710,2,327,0
01-31-2017,720,1,1629,0
01-31-2017,720,2,334,0
01-31-2017,730,1,1597,0
01-31-2017,730,2,297,0
01-31-2017,740,1,1558,0
01-31-2017,740,2,280,0
01-31-2017,750,1,1656,0
01-31-2017,750,2,253,0
01-31-2017,760,1,1636,0
01-31-2017,760,2,277,0
01-31-2017,770,1,1707,0
01-31-2017,770,2,230,0
01-31-2017,780,1,1654,0
01-31-2017,780,2,216,0
01-31-2017,790,1,1846,0
01-31-2017,790,2,238,0
01-31-2017,800,1,1898,0
01-31-2017,800,2,225,0
01-31-2017,810,1,2197,0
01-31-2017,810,2,233,0
01-31-2017,820,1,2171,0
01-31-2017,820,2,230,0
01-31-2017,830,1,2139,0
01-31-2017,830,2,233,0
01-31-2017,840,1,2027,0
01-31-2017,840,2,178,0
01-31-2017,850,1,1962,0
01-31-2017,850,2,186,0
01-31-2017,860,1,1430,0
01-31-2017,860,2,155,0
01-31-2017,870,1,1025,0
01-31-2017,870,2,72,0
01-31-2017,880,1,526,0
01-31-2017,880,2,65,0
01-31-2017,890,1,216,0
01-31-2017,890,2,14,0
02-28-2017,380,1,1,0
02-28-2017,400,2,1,0
02-28-2017,410,2,1,0
02-28-2017,420,1,2,0
02-28-2017,420,2,1,0
02-28-2017,430,1,5,0
02-28-2017,440,1,8,0
02-28-2017,440,2,2,0
02-28-2017,450,1,11,0
02-28-2017,450,2,1,0
02-28-2017,460,1,19,0
02-28-2017,460,2,1,0
02-28-2017,470,1,27,0
02-28-2017,470,2,2,0
02-28-2017,480,1,28,0
02-28-2017,480,2,9,0
02-28-2017,490,1,50,0
02-28-2017,490,2,13,0
02-28-2017,500,1,60,0
02-28-2017,500,2,16,0
02-28-2017,510,1,95,0
02-28-2017,510,2,15,0
02-28-2017,520,1,130,0
02-28-2017,520,2,26,0
02-28-2017,530,1,193,2
02-28-2017,530,2,44,0
02-28-2017,540,1,223,0
02-28-2017,540,2,39,0
02-28-2017,550,1,307,0
02-28-2017,550,2,56,0
02-28-2017,560,1,312,0
02-28-2017,560,2,73,0
02-28-2017,570,1,475,0
02-28-2017,570,2,102,1
02-28-2017,580,1,487,0
02-28-2017,580,2,102,0
02-28-2017,590,1,617,2
02-28-2017,590,2,114,0
02-28-2017,600,1,761,0
02-28-2017,600,2,141,0
02-28-2017,610,1,858,3
02-28-2017,610,2,156,0
02-28-2017,620,1,953,1
02-28-2017,620,2,251,0
02-28-2017,630,1,1091,2
02-28-2017,630,2,287,0
02-28-2017,640,1,1133,0
02-28-2017,640,2,300,0
02-28-2017,650,1,1332,0
02-28-2017,650,2,310,0
02-28-2017,660,1,1375,1
02-28-2017,660,2,312,0
02-28-2017,670,1,1488,0
02-28-2017,670,2,360,0
02-28-2017,680,1,1345,0
02-28-2017,680,2,297,0
02-28-2017,690,1,1561,1
02-28-2017,690,2,340,0
02-28-2017,700,1,1502,0
02-28-2017,700,2,268,0
02-28-2017,710,1,1591,0
02-28-2017,710,2,320,1
02-28-2017,720,1,1601,0
02-28-2017,720,2,331,0
02-28-2017,730,1,1555,1
02-28-2017,730,2,289,0
02-28-2017,740,1,1528,0
02-28-2017,740,2,279,0
02-28-2017,750,1,1616,0
02-28-2017,750,2,252,0
02-28-2017,760,1,1593,1
02-28-2017,760,2,273,0
02-28-2017,770,1,1659,1
02-28-2017,770,2,226,0
02-28-2017,780,1,1611,0
02-28-2017,780,2,207,0
02-28-2017,790,1,1795,0
02-28-2017,790,2,233,0
02-28-2017,800,1,1834,0
02-28-2017,800,2,219,0
02-28-2017,810,1,2113,0
02-28-2017,810,2,230,0
02-28-2017,820,1,2108,0
02-28-2017,820,2,224,0
02-28-2017,830,1,2075,0
02-28-2017,830,2,232,0
02-28-2017,840,1,1963,0
02-28-2017,840,2,176,0
02-28-2017,850,1,1903,0
02-28-2017,850,2,182,0
02-28-2017,860,1,1388,0
02-28-2017,860,2,154,0
02-28-2017,870,1,1006,0
02-28-2017,870,2,72,0
02-28-2017,880,1,512,0
02-28-2017,880,2,64,0
02-28-2017,890,1,212,0
02-28-2017,890,2,14,0
03-31-2017,380,1,1,1
03-31-2017,400,2,1,0
03-31-2017,410,2,1,0
03-31-2017,420,1,2,0
03-31-2017,420,2,1,0
03-31-2017,430,1,5,0
03-31-2017,440,1,8,0
03-31-2017,440,2,2,0
03-31-2017,450,1,11,0
03-31-2017,450,2,1,0
03-31-2017,460,1,17,0
03-31-2017,460,2,1,0
03-31-2017,470,1,27,0
03-31-2017,470,2,2,0
03-31-2017,480,1,28,0
03-31-2017,480,2,9,0
03-31-2017,490,1,50,0
03-31-2017,490,2,12,0
03-31-2017,500,1,58,0
03-31-2017,500,2,16,0
03-31-2017,510,1,93,0
03-31-2017,510,2,15,0
03-31-2017,520,1,130,0
03-31-2017,520,2,26,0
03-31-2017,530,1,192,0
03-31-2017,530,2,44,0
03-31-2017,540,1,222,1
03-31-2017,540,2,38,0
03-31-2017,550,1,303,1
03-31-2017,550,2,55,0
03-31-2017,560,1,311,1
03-31-2017,560,2,72,0
03-31-2017,570,1,469,0
03-31-2017,570,2,101,0
03-31-2017,580,1,481,0
03-31-2017,580,2,101,0
03-31-2017,590,1,612,0
03-31-2017,590,2,113,0
03-31-2017,600,1,756,2
03-31-2017,600,2,140,1
03-31-2017,610,1,852,0
03-31-2017,610,2,153,0
03-31-2017,620,1,940,2
03-31-2017,620,2,250,0
03-31-2017,630,1,1073,0
03-31-2017,630,2,282,1
03-31-2017,640,1,1125,2
03-31-2017,640,2,298,0
03-31-2017,650,1,1320,1
03-31-2017,650,2,308,0
03-31-2017,660,1,1360,1
03-31-2017,660,2,307,0
03-31-2017,670,1,1474,3
03-31-2017,670,2,352,0
03-31-2017,680,1,1328,0
03-31-2017,680,2,292,1
03-31-2017,690,1,1535,0
03-31-2017,690,2,334,0
03-31-2017,700,1,1472,0
03-31-2017,700,2,266,0
03-31-2017,710,1,1559,1
03-31-2017,710,2,317,1
03-31-2017,720,1,1571,0
03-31-2017,720,2,325,0
03-31-2017,730,1,1524,1
03-31-2017,730,2,285,0
03-31-2017,740,1,1506,2
03-31-2017,740,2,275,0
03-31-2017,750,1,1574,0
03-31-2017,750,2,247,0
03-31-2017,760,1,1564,0
03-31-2017,760,2,269,0
03-31-2017,770,1,1612,1
03-31-2017,770,2,220,0
03-31-2017,780,1,1565,0
03-31-2017,780,2,205,0
03-31-2017,790,1,1750,1
03-31-2017,790,2,228,0
03-31-2017,800,1,1783,0
03-31-2017,800,2,219,0
03-31-2017,810,1,2051,0
03-31-2017,810,2,224,0
03-31-2017,820,1,2053,0
03-31-2017,820,2,221,1
03-31-2017,830,1,2030,0
03-31-2017,830,2,227,0
03-31-2017,840,1,1920,0
03-31-2017,840,2,171,0
03-31-2017,850,1,1855,0
03-31-2017,850,2,181,0
03-31-2017,860,1,1363,0
03-31-2017,860,2,152,0
03-31-2017,870,1,985,0
03-31-2017,870,2,69,0
03-31-2017,880,1,504,0
03-31-2017,880,2,64,0
03-31-2017,890,1,210,0
03-31-2017,890,2,14,0
04-30-2017,380,1,1,0
04-30-2017,400,2,1,0
04-30-2017,410,2,1,0
04-30-2017,420,1,2,0
04-30-2017,420,2,1,0
04-30-2017,430,1,5,1
04-30-2017,440,1,8,0
04-30-2017,440,2,2,0
04-30-2017,450,1,11,0
04-30-2017,450,2,1,0
04-30-2017,460,1,17,0
04-30-2017,460,2,1,0
04-30-2017,470,1,27,0
04-30-2017,470,2,2,0
04-30-2017,480,1,28,0
04-30-2017,480,2,9,0
04-30-2017,490,1,49,0
04-30-2017,490,2,12,0
04-30-2017,500,1,57,0
04-30-2017,500,2,15,0
04-30-2017,510,1,91,0
04-30-2017,510,2,15,0
04-30-2017,520,1,128,0
04-30-2017,520,2,26,0
04-30-2017,530,1,190,0
04-30-2017,530,2,43,0
04-30-2017,540,1,219,0
04-30-2017,540,2,38,0
04-30-2017,550,1,297,0
04-30-2017,550,2,55,0
04-30-2017,560,1,308,2
04-30-2017,560,2,69,0
04-30-2017,570,1,465,1
04-30-2017,570,2,100,1
04-30-2017,580,1,477,0
04-30-2017,580,2,98,0
04-30-2017,590,1,598,2
04-30-2017,590,2,109,0
04-30-2017,600,1,748,3
04-30-2017,600,2,134,1
04-30-2017,610,1,843,1
04-30-2017,610,2,150,0
04-30-2017,620,1,929,2
04-30-2017,620,2,247,0
04-30-2017,630,1,1054,3
04-30-2017,630,2,278,0
04-30-2017,640,1,1113,2
04-30-2017,640,2,298,0
04-30-2017,650,1,1298,1
04-30-2017,650,2,302,1
04-30-2017,660,1,1337,2
04-30-2017,660,2,299,0
04-30-2017,670,1,1451,3
04-30-2017,670,2,345,0
04-30-2017,680,1,1307,1
04-30-2017,680,2,288,0
04-30-2017,690,1,1509,0
04-30-2017,690,2,330,0
04-30-2017,700,1,1453,1
04-30-2017,700,2,263,0
04-30-2017,710,1,1535,1
04-30-2017,710,2,312,0
04-30-2017,720,1,1536,0
04-30-2017,720,2,315,0
04-30-2017,730,1,1491,0
04-30-2017,730,2,280,0
04-30-2017,740,1,1467,0
04-30-2017,740,2,270,0
04-30-2017,750,1,1538,0
04-30-2017,750,2,246,0
04-30-2017,760,1,1528,0
04-30-2017,760,2,263,0
04-30-2017,770,1,1560,0
04-30-2017,770,2,217,0
04-30-2017,780,1,1519,1
04-30-2017,780,2,200,0
04-30-2017,790,1,1705,1
04-30-2017,790,2,223,0
04-30-2017,800,1,1738,0
04-30-2017,800,2,211,0
04-30-2017,810,1,1990,0
04-30-2017,810,2,218,0
04-30-2017,820,1,1992,0
04-30-2017,820,2,212,0
04-30-2017,830,1,1986,0
04-30-2017,830,2,220,0
04-30-2017,840,1,1876,0
04-30-2017,840,2,163,0
04-30-2017,850,1,1810,0
04-30-2017,850,2,177,0
04-30-2017,860,1,1332,0
04-30-2017,860,2,149,0
04-30-2017,870,1,964,0
04-30-2017,870,2,67,0
04-30-2017,880,1,492,0
04-30-2017,880,2,61,0
04-30-2017,890,1,205,0
04-30-2017,890,2,13,0
05-31-2017,390,1,1,0
05-31-2017,400,2,1,0
05-31-2017,410,1,1,0
05-31-2017,410,2,1,0
05-31-2017,420,1,3,0
05-31-2017,420,2,1,0
05-31-2017,430,1,10,0
05-31-2017,430,2,1,0
05-31-2017,440,1,16,0
05-31-2017,440,2,5,0
05-31-2017,450,1,29,0
05-31-2017,450,2,2,0
05-31-2017,460,1,34,0
05-31-2017,460,2,5,0
05-31-2017,470,1,51,0
05-31-2017,470,2,5,0
05-31-2017,480,1,50,0
05-31-2017,480,2,19,0
05-31-2017,490,1,94,0
05-31-2017,490,2,21,0
05-31-2017,500,1,113,0
05-31-2017,500,2,29,0
05-31-2017,510,1,162,1
05-31-2017,510,2,33,0
05-31-2017,520,1,233,0
05-31-2017,520,2,46,0
05-31-2017,530,1,336,0
05-31-2017,530,2,81,0
05-31-2017,540,1,406,1
05-31-2017,540,2,72,0
05-31-2017,550,1,565,1
05-31-2017,550,2,98,0
05-31-2017,560,1,621,0
05-31-2017,560,2,122,0
05-31-2017,570,1,854,1
05-31-2017,570,2,163,0
05-31-2017,580,1,915,1
05-31-2017,580,2,183,0
05-31-2017,590,1,1134,2
05-31-2017,590,2,208,0
