reporting_date,fico_low,new_used,active_loans,new_repos
07-31-2017,650,1,495,0
07-31-2017,650,2,940,0
07-31-2017,660,1,546,0
07-31-2017,660,2,1150,0
07-31-2017,670,1,671,0
07-31-2017,670,2,1381,0
07-31-2017,680,1,677,0
07-31-2017,680,2,1301,0
07-31-2017,690,1,1065,0
07-31-2017,690,2,1912,0
07-31-2017,700,1,1203,0
07-31-2017,700,2,2145,0
07-31-2017,710,1,1250,0
07-31-2017,710,2,2095,0
07-31-2017,720,1,1261,0
07-31-2017,720,2,2142,0
07-31-2017,730,1,1105,0
07-31-2017,730,2,1803,0
07-31-2017,740,1,1083,0
07-31-2017,740,2,1666,0
07-31-2017,750,1,1104,0
07-31-2017,750,2,1752,0
07-31-2017,760,1,1111,0
07-31-2017,760,2,1592,0
07-31-2017,770,1,1141,0
07-31-2017,770,2,1699,0
07-31-2017,780,1,1405,0
07-31-2017,780,2,1816,0
07-31-2017,790,1,1332,0
07-31-2017,790,2,1570,0
07-31-2017,800,1,1398,0
07-31-2017,800,2,1885,0
07-31-2017,810,1,1766,0
07-31-2017,810,2,1983,0
07-31-2017,820,1,1813,0
07-31-2017,820,2,1912,0
07-31-2017,830,1,1444,0
07-31-2017,830,2,1399,0
07-31-2017,840,1,751,0
07-31-2017,840,2,751,0
07-31-2017,850,1,521,0
07-31-2017,850,2,449,0
07-31-2017,860,1,208,0
07-31-2017,860,2,157,0
07-31-2017,870,1,147,0
07-31-2017,870,2,110,0
07-31-2017,880,1,9,0
07-31-2017,880,2,7,0
09-30-2017,650,1,495,0
09-30-2017,650,2,940,2
09-30-2017,660,1,546,1
09-30-2017,660,2,1150,1
09-30-2017,670,1,671,0
09-30-2017,670,2,1381,0
09-30-2017,680,1,677,0
09-30-2017,680,2,1301,0
09-30-2017,690,1,1065,0
09-30-2017,690,2,1912,1
09-30-2017,700,1,1203,0
09-30-2017,700,2,2145,1
09-30-2017,710,1,1250,2
09-30-2017,710,2,2095,2
09-30-2017,720,1,1261,0
09-30-2017,720,2,2142,2
09-30-2017,730,1,1105,0
09-30-2017,730,2,1803,0
09-30-2017,740,1,1083,0
09-30-2017,740,2,1666,1
09-30-2017,750,1,1104,0
09-30-2017,750,2,1752,0
09-30-2017,760,1,1111,0
09-30-2017,760,2,1592,0
09-30-2017,770,1,1141,0
09-30-2017,770,2,1699,2
09-30-2017,780,1,1405,0
09-30-2017,780,2,1816,2
09-30-2017,790,1,1332,0
09-30-2017,790,2,1570,2
09-30-2017,800,1,1398,0
09-30-2017,800,2,1885,1
09-30-2017,810,1,1766,1
09-30-2017,810,2,1983,0
09-30-2017,820,1,1813,0
09-30-2017,820,2,1912,0
09-30-2017,830,1,1444,0
09-30-2017,830,2,1399,0
09-30-2017,840,1,751,0
09-30-2017,840,2,751,0
09-30-2017,850,1,521,0
09-30-2017,850,2,449,0
09-30-2017,860,1,208,0
09-30-2017,860,2,157,0
09-30-2017,870,1,147,0
09-30-2017,870,2,110,0
09-30-2017,880,1,9,0
09-30-2017,880,2,7,0
10-31-2017,650,1,494,0
10-31-2017,650,2,937,1
10-31-2017,660,1,542,0
10-31-2017,660,2,1150,1
10-31-2017,670,1,671,0
10-31-2017,670,2,1374,0
10-31-2017,680,1,674,2
10-31-2017,680,2,1298,1
10-31-2017,690,1,1063,1
10-31-2017,690,2,1902,1
10-31-2017,700,1,1200,1
10-31-2017,700,2,2137,2
10-31-2017,710,1,1245,0
10-31-2017,710,2,2088,1
10-31-2017,720,1,1255,0
10-31-2017,720,2,2131,1
10-31-2017,730,1,1101,0
10-31-2017,730,2,1800,0
10-31-2017,740,1,1082,0
10-31-2017,740,2,1660,1
10-31-2017,750,1,1104,1
10-31-2017,750,2,1743,0
10-31-2017,760,1,1107,0
10-31-2017,760,2,1585,0
10-31-2017,770,1,1139,1
10-31-2017,770,2,1692,0
10-31-2017,780,1,1405,0
10-31-2017,780,2,1810,0
10-31-2017,790,1,1331,0
10-31-2017,790,2,1566,1
10-31-2017,800,1,1393,1
10-31-2017,800,2,1875,0
10-31-2017,810,1,1759,0
10-31-2017,810,2,1976,0
10-31-2017,820,1,1806,0
10-31-2017,820,2,1902,0
10-31-2017,830,1,1437,0
10-31-2017,830,2,1394,0
10-31-2017,840,1,750,0
10-31-2017,840,2,750,0
10-31-2017,850,1,519,0
10-31-2017,850,2,448,0
10-31-2017,860,1,207,0
10-31-2017,860,2,157,0
10-31-2017,870,1,147,0
10-31-2017,870,2,110,0
10-31-2017,880,1,9,0
10-31-2017,880,2,7,0
11-30-2017,650,1,490,2
11-30-2017,650,2,923,0
11-30-2017,660,1,537,1
11-30-2017,660,2,1138,1
11-30-2017,670,1,663,3
11-30-2017,670,2,1351,0
11-30-2017,680,1,663,0
11-30-2017,680,2,1289,1
11-30-2017,690,1,1046,0
11-30-2017,690,2,1879,2
11-30-2017,700,1,1183,0
11-30-2017,700,2,2116,1
11-30-2017,710,1,1235,0
11-30-2017,710,2,2063,3
11-30-2017,720,1,1237,0
11-30-2017,720,2,2113,0
11-30-2017,730,1,1083,0
11-30-2017,730,2,1777,0
11-30-2017,740,1,1070,0
11-30-2017,740,2,1638,0
11-30-2017,750,1,1089,0
11-30-2017,750,2,1713,0
11-30-2017,760,1,1092,0
11-30-2017,760,2,1566,0
11-30-2017,770,1,1127,0
11-30-2017,770,2,1670,0
11-30-2017,780,1,1385,0
11-30-2017,780,2,1788,2
11-30-2017,790,1,1315,0
11-30-2017,790,2,1550,0
11-30-2017,800,1,1370,0
11-30-2017,800,2,1852,0
11-30-2017,810,1,1728,2
11-30-2017,810,2,1950,0
11-30-2017,820,1,1785,0
11-30-2017,820,2,1878,0
11-30-2017,830,1,1414,0
11-30-2017,830,2,1380,1
11-30-2017,840,1,737,0
11-30-2017,840,2,743,0
11-30-2017,850,1,512,0
11-30-2017,850,2,442,0
11-30-2017,860,1,205,0
11-30-2017,860,2,156,0
11-30-2017,870,1,143,0
11-30-2017,870,2,106,0
11-30-2017,880,1,9,0
11-30-2017,880,2,7,0
12-31-2017,650,1,484,0
12-31-2017,650,2,915,1
12-31-2017,660,1,536,0
12-31-2017,660,2,1124,1
12-31-2017,670,1,654,2
12-31-2017,670,2,1338,0
12-31-2017,680,1,648,1
12-31-2017,680,2,1281,0
12-31-2017,690,1,1030,0
12-31-2017,690,2,1847,0
12-31-2017,700,1,1171,1
12-31-2017,700,2,2089,4
12-31-2017,710,1,1222,1
12-31-2017,710,2,2037,2
12-31-2017,720,1,1216,1
12-31-2017,720,2,2081,1
12-31-2017,730,1,1069,0
12-31-2017,730,2,1754,0
12-31-2017,740,1,1052,0
12-31-2017,740,2,1616,2
12-31-2017,750,1,1069,0
12-31-2017,750,2,1690,0
12-31-2017,760,1,1072,0
12-31-2017,760,2,1553,0
12-31-2017,770,1,1103,0
12-31-2017,770,2,1643,0
12-31-2017,780,1,1369,0
12-31-2017,780,2,1758,0
12-31-2017,790,1,1288,0
12-31-2017,790,2,1527,3
12-31-2017,800,1,1347,0
12-31-2017,800,2,1823,0
12-31-2017,810,1,1698,0
12-31-2017,810,2,1923,2
12-31-2017,820,1,1748,1
12-31-2017,820,2,1854,0
12-31-2017,830,1,1399,0
12-31-2017,830,2,1352,0
12-31-2017,840,1,726,0
12-31-2017,840,2,729,0
12-31-2017,850,1,503,0
12-31-2017,850,2,438,0
12-31-2017,860,1,204,0
12-31-2017,860,2,154,0
12-31-2017,870,1,142,0
12-31-2017,870,2,105,0
12-31-2017,880,1,9,0
12-31-2017,880,2,7,0
01-31-2018,650,1,474,0
01-31-2018,650,2,908,1
01-31-2018,660,1,529,0
01-31-2018,660,2,1110,0
01-31-2018,670,1,646,0
01-31-2018,670,2,1324,3
01-31-2018,680,1,641,1
01-31-2018,680,2,1272,1
01-31-2018,690,1,1018,1
01-31-2018,690,2,1819,3
01-31-2018,700,1,1155,3
01-31-2018,700,2,2058,1
01-31-2018,710,1,1205,1
01-31-2018,710,2,2011,0
01-31-2018,720,1,1206,3
01-31-2018,720,2,2062,3
01-31-2018,730,1,1057,0
01-31-2018,730,2,1728,0
01-31-2018,740,1,1028,0
01-31-2018,740,2,1594,0
01-31-2018,750,1,1058,0
01-31-2018,750,2,1667,1
01-31-2018,760,1,1054,1
01-31-2018,760,2,1533,0
01-31-2018,770,1,1089,0
01-31-2018,770,2,1620,1
01-31-2018,780,1,1355,0
01-31-2018,780,2,1731,3
01-31-2018,790,1,1272,0
01-31-2018,790,2,1504,1
01-31-2018,800,1,1328,0
01-31-2018,800,2,1799,0
01-31-2018,810,1,1670,0
01-31-2018,810,2,1893,1
01-31-2018,820,1,1721,0
01-31-2018,820,2,1831,0
01-31-2018,830,1,1376,0
01-31-2018,830,2,1338,0
01-31-2018,840,1,719,0
01-31-2018,840,2,716,0
01-31-2018,850,1,494,0
01-31-2018,850,2,435,0
01-31-2018,860,1,204,0
01-31-2018,860,2,152,0
01-31-2018,870,1,140,0
01-31-2018,870,2,104,0
01-31-2018,880,1,9,0
01-31-2018,880,2,7,0
02-28-2018,650,1,468,2
02-28-2018,650,2,898,0
02-28-2018,660,1,520,0
02-28-2018,660,2,1099,1
02-28-2018,670,1,635,0
02-28-2018,670,2,1310,2
02-28-2018,680,1,634,1
02-28-2018,680,2,1253,1
02-28-2018,690,1,1005,2
02-28-2018,690,2,1790,4
02-28-2018,700,1,1140,0
02-28-2018,700,2,2033,3
02-28-2018,710,1,1188,2
02-28-2018,710,2,1986,1
02-28-2018,720,1,1188,0
02-28-2018,720,2,2037,2
02-28-2018,730,1,1044,1
02-28-2018,730,2,1707,0
02-28-2018,740,1,1011,0
02-28-2018,740,2,1579,0
02-28-2018,750,1,1041,0
02-28-2018,750,2,1650,0
02-28-2018,760,1,1037,0
02-28-2018,760,2,1520,2
02-28-2018,770,1,1073,1
02-28-2018,770,2,1600,0
02-28-2018,780,1,1333,0
02-28-2018,780,2,1703,0
02-28-2018,790,1,1254,1
02-28-2018,790,2,1486,0
02-28-2018,800,1,1304,0
02-28-2018,800,2,1776,0
02-28-2018,810,1,1643,1
02-28-2018,810,2,1862,0
02-28-2018,820,1,1698,0
02-28-2018,820,2,1804,0
02-28-2018,830,1,1353,0
02-28-2018,830,2,1319,0
02-28-2018,840,1,714,0
02-28-2018,840,2,705,0
02-28-2018,850,1,486,0
02-28-2018,850,2,432,0
02-28-2018,860,1,200,0
02-28-2018,860,2,150,0
02-28-2018,870,1,139,0
02-28-2018,870,2,103,0
02-28-2018,880,1,9,0
02-28-2018,880,2,7,0
03-31-2018,650,1,462,0
03-31-2018,650,2,881,0
03-31-2018,660,1,514,0
03-31-2018,660,2,1090,1
03-31-2018,670,1,627,1
03-31-2018,670,2,1292,0
03-31-2018,680,1,626,0
03-31-2018,680,2,1234,2
03-31-2018,690,1,993,1
03-31-2018,690,2,1765,1
03-31-2018,700,1,1116,3
03-31-2018,700,2,2008,1
03-31-2018,710,1,1169,2
03-31-2018,710,2,1970,2
03-31-2018,720,1,1171,0
03-31-2018,720,2,2015,0
03-31-2018,730,1,1033,0
03-31-2018,730,2,1682,1
03-31-2018,740,1,995,1
03-31-2018,740,2,1566,2
03-31-2018,750,1,1021,0
03-31-2018,750,2,1634,1
03-31-2018,760,1,1020,1
03-31-2018,760,2,1502,1
03-31-2018,770,1,1053,0
03-31-2018,770,2,1582,0
03-31-2018,780,1,1310,0
03-31-2018,780,2,1684,0
03-31-2018,790,1,1233,1
03-31-2018,790,2,1464,0
03-31-2018,800,1,1279,0
03-31-2018,800,2,1736,1
03-31-2018,810,1,1616,0
03-31-2018,810,2,1823,0
03-31-2018,820,1,1663,0
03-31-2018,820,2,1772,0
03-31-2018,830,1,1333,0
03-31-2018,830,2,1309,0
03-31-2018,840,1,703,0
03-31-2018,840,2,693,0
03-31-2018,850,1,478,0
03-31-2018,850,2,426,0
03-31-2018,860,1,198,0
03-31-2018,860,2,146,0
03-31-2018,870,1,138,0
03-31-2018,870,2,101,0
03-31-2018,880,1,9,0
03-31-2018,880,2,7,0
04-30-2018,650,1,458,1
04-30-2018,650,2,875,2
04-30-2018,660,1,508,2
04-30-2018,660,2,1079,3
04-30-2018,670,1,619,0
04-30-2018,670,2,1276,4
04-30-2018,680,1,612,1
04-30-2018,680,2,1214,1
04-30-2018,690,1,980,1
04-30-2018,690,2,1743,0
04-30-2018,700,1,1100,1
04-30-2018,700,2,1986,0
04-30-2018,710,1,1148,0
04-30-2018,710,2,1945,1
04-30-2018,720,1,1157,1
04-30-2018,720,2,1985,1
04-30-2018,730,1,1012,3
04-30-2018,730,2,1654,3
04-30-2018,740,1,981,0
04-30-2018,740,2,1547,0
04-30-2018,750,1,1004,0
04-30-2018,750,2,1613,1
04-30-2018,760,1,1010,0
04-30-2018,760,2,1490,0
04-30-2018,770,1,1041,0
04-30-2018,770,2,1558,0
04-30-2018,780,1,1296,1
04-30-2018,780,2,1660,1
04-30-2018,790,1,1220,1
04-30-2018,790,2,1438,0
04-30-2018,800,1,1258,0
04-30-2018,800,2,1705,0
04-30-2018,810,1,1590,0
04-30-2018,810,2,1783,0
04-30-2018,820,1,1632,1
04-30-2018,820,2,1751,0
04-30-2018,830,1,1313,0
04-30-2018,830,2,1288,0
04-30-2018,840,1,694,0
04-30-2018,840,2,687,0
04-30-2018,850,1,468,0
04-30-2018,850,2,417,1
04-30-2018,860,1,198,0
04-30-2018,860,2,144,0
04-30-2018,870,1,135,0
04-30-2018,870,2,99,0
04-30-2018,880,1,9,0
04-30-2018,880,2,7,0
05-31-2018,650,1,453,1
05-31-2018,650,2,870,0
05-31-2018,660,1,503,0
05-31-2018,660,2,1067,1
05-31-2018,670,1,614,0
05-31-2018,670,2,1261,2
05-31-2018,680,1,609,1
05-31-2018,680,2,1192,4
05-31-2018,690,1,960,0
05-31-2018,690,2,1716,0
05-31-2018,700,1,1085,1
05-31-2018,700,2,1957,2
05-31-2018,710,1,1135,0
05-31-2018,710,2,1915,2
05-31-2018,720,1,1139,0
05-31-2018,720,2,1959,1
05-31-2018,730,1,994,0
05-31-2018,730,2,1614,2
05-31-2018,740,1,964,1
05-31-2018,740,2,1513,2
05-31-2018,750,1,990,1
05-31-2018,750,2,1587,1
05-31-2018,760,1,993,0
05-31-2018,760,2,1464,1
05-31-2018,770,1,1021,0
05-31-2018,770,2,1526,0
05-31-2018,780,1,1262,0
05-31-2018,780,2,1629,2
05-31-2018,790,1,1194,0
05-31-2018,790,2,1405,0
05-31-2018,800,1,1238,0
05-31-2018,800,2,1673,0
05-31-2018,810,1,1553,0
05-31-2018,810,2,1756,0
05-31-2018,820,1,1597,0
05-31-2018,820,2,1718,1
05-31-2018,830,1,1287,0
05-31-2018,830,2,1255,0
05-31-2018,840,1,684,0
05-31-2018,840,2,676,1
05-31-2018,850,1,462,0
05-31-2018,850,2,412,0
05-31-2018,860,1,192,0
05-31-2018,860,2,137,0
05-31-2018,870,1,133,0
05-31-2018,870,2,98,0
05-31-2018,880,1,9,0
05-31-2018,880,2,7,0
06-30-2018,650,1,447,0
06-30-2018,650,2,855,0
06-30-2018,660,1,497,0
06-30-2018,660,2,1057,0
06-30-2018,670,1,602,0
06-30-2018,670,2,1245,2
06-30-2018,680,1,597,1
06-30-2018,680,2,1173,0
06-30-2018,690,1,943,1
06-30-2018,690,2,1686,2
06-30-2018,700,1,1064,0
06-30-2018,700,2,1934,0
06-30-2018,710,1,1110,0
06-30-2018,710,2,1887,1
06-30-2018,720,1,1118,2
06-30-2018,720,2,1924,3
06-30-2018,730,1,978,0
06-30-2018,730,2,1595,2
06-30-2018,740,1,947,1
