reporting_date,fico_low,new_used,active_loans,new_repos
06-30-2021,600,1,430,0
06-30-2021,600,2,5,0
06-30-2021,610,1,390,0
06-30-2021,610,2,8,0
06-30-2021,620,1,1007,0
06-30-2021,620,2,169,0
06-30-2021,630,1,846,0
06-30-2021,630,2,150,0
06-30-2021,640,1,1127,0
06-30-2021,640,2,361,0
06-30-2021,650,1,1042,0
06-30-2021,650,2,295,0
06-30-2021,660,1,1233,0
06-30-2021,660,2,373,0
06-30-2021,670,1,1226,0
06-30-2021,670,2,266,0
06-30-2021,680,1,1768,0
06-30-2021,680,2,347,0
06-30-2021,690,1,1545,0
06-30-2021,690,2,290,0
06-30-2021,700,1,2293,0
06-30-2021,700,2,359,0
06-30-2021,710,1,2085,0
06-30-2021,710,2,286,0
06-30-2021,720,1,2906,0
06-30-2021,720,2,303,0
06-30-2021,730,1,2497,0
06-30-2021,730,2,235,0
06-30-2021,740,1,2998,0
06-30-2021,740,2,300,0
06-30-2021,750,1,1701,0
06-30-2021,750,2,287,0
06-30-2021,760,1,1480,0
06-30-2021,760,2,232,0
06-30-2021,770,1,1603,1
06-30-2021,770,2,201,0
06-30-2021,780,1,1683,0
06-30-2021,780,2,193,0
06-30-2021,790,1,1648,0
06-30-2021,790,2,159,0
06-30-2021,800,1,1206,0
06-30-2021,800,2,156,0
06-30-2021,810,1,1162,0
06-30-2021,810,2,123,0
06-30-2021,820,1,2647,0
06-30-2021,820,2,118,0
06-30-2021,830,1,3595,0
06-30-2021,830,2,120,0
06-30-2021,840,1,3501,0
06-30-2021,840,2,105,0
06-30-2021,850,1,3726,0
06-30-2021,850,2,86,0
06-30-2021,860,1,2913,0
06-30-2021,860,2,65,0
06-30-2021,870,1,2040,0
06-30-2021,870,2,40,0
06-30-2021,880,1,746,0
06-30-2021,880,2,17,0
06-30-2021,890,1,224,0
06-30-2021,890,2,10,0
