reporting_date,fico_low,new_used,active_loans,new_repos
02-28-2017,410,2,1,0
02-28-2017,420,1,1,0
02-28-2017,420,2,1,0
02-28-2017,430,2,1,0
02-28-2017,440,2,2,0
02-28-2017,450,1,2,0
02-28-2017,450,2,4,0
02-28-2017,460,1,2,0
02-28-2017,460,2,12,0
02-28-2017,470,1,6,0
02-28-2017,470,2,11,0
02-28-2017,480,1,9,0
02-28-2017,480,2,9,0
02-28-2017,490,1,11,0
02-28-2017,490,2,17,0
02-28-2017,500,1,13,0
02-28-2017,500,2,23,0
02-28-2017,510,1,24,0
02-28-2017,510,2,34,0
02-28-2017,520,1,19,0
02-28-2017,520,2,28,0
02-28-2017,530,1,27,0
02-28-2017,530,2,34,0
02-28-2017,540,1,32,0
02-28-2017,540,2,45,0
02-28-2017,550,1,50,0
02-28-2017,550,2,43,0
02-28-2017,560,1,65,0
02-28-2017,560,2,53,0
02-28-2017,570,1,64,0
02-28-2017,570,2,54,0
02-28-2017,580,1,81,0
02-28-2017,580,2,60,0
02-28-2017,590,1,116,0
02-28-2017,590,2,78,0
02-28-2017,600,1,178,0
02-28-2017,600,2,65,0
02-28-2017,610,1,316,0
02-28-2017,610,2,86,0
02-28-2017,620,1,354,0
02-28-2017,620,2,106,0
02-28-2017,630,1,540,0
02-28-2017,630,2,133,0
02-28-2017,640,1,679,0
02-28-2017,640,2,144,0
02-28-2017,650,1,964,0
02-28-2017,650,2,150,0
02-28-2017,660,1,1336,0
02-28-2017,660,2,166,0
02-28-2017,670,1,1777,0
02-28-2017,670,2,219,0
02-28-2017,680,1,2157,0
02-28-2017,680,2,230,0
02-28-2017,690,1,2478,0
02-28-2017,690,2,274,0
02-28-2017,700,1,2501,0
02-28-2017,700,2,234,0
02-28-2017,710,1,2845,0
02-28-2017,710,2,272,0
02-28-2017,720,1,3068,0
02-28-2017,720,2,265,0
02-28-2017,730,1,3121,0
02-28-2017,730,2,287,0
02-28-2017,740,1,3264,0
02-28-2017,740,2,232,0
02-28-2017,750,1,3180,0
02-28-2017,750,2,236,0
02-28-2017,760,1,3107,0
02-28-2017,760,2,254,0
02-28-2017,770,1,3373,0
02-28-2017,770,2,218,0
02-28-2017,780,1,3886,0
02-28-2017,780,2,289,0
02-28-2017,790,1,3939,0
02-28-2017,790,2,230,0
02-28-2017,800,1,4095,0
02-28-2017,800,2,246,0
02-28-2017,810,1,4249,0
02-28-2017,810,2,222,0
02-28-2017,820,1,4616,0
02-28-2017,820,2,204,0
02-28-2017,830,1,4045,0
02-28-2017,830,2,239,0
02-28-2017,840,1,3159,0
02-28-2017,840,2,226,0
02-28-2017,850,1,3596,0
02-28-2017,850,2,230,0
02-28-2017,860,1,2541,0
02-28-2017,860,2,148,0
02-28-2017,870,1,1633,0
02-28-2017,870,2,104,0
02-28-2017,880,1,614,0
02-28-2017,880,2,52,0
02-28-2017,890,1,157,0
02-28-2017,890,2,19,0
03-31-2017,410,2,1,0
03-31-2017,420,1,1,0
03-31-2017,420,2,1,0
03-31-2017,430,2,1,0
03-31-2017,440,2,2,0
03-31-2017,450,1,2,0
03-31-2017,450,2,4,1
03-31-2017,460,1,2,0
03-31-2017,460,2,12,0
03-31-2017,470,1,6,0
03-31-2017,470,2,11,0
03-31-2017,480,1,9,0
03-31-2017,480,2,9,0
03-31-2017,490,1,11,0
03-31-2017,490,2,17,0
03-31-2017,500,1,13,0
03-31-2017,500,2,23,0
03-31-2017,510,1,24,0
03-31-2017,510,2,34,0
03-31-2017,520,1,19,0
03-31-2017,520,2,28,0
03-31-2017,530,1,27,0
03-31-2017,530,2,34,0
03-31-2017,540,1,32,0
03-31-2017,540,2,45,0
03-31-2017,550,1,50,0
03-31-2017,550,2,43,0
03-31-2017,560,1,65,0
03-31-2017,560,2,53,0
03-31-2017,570,1,64,0
03-31-2017,570,2,54,0
03-31-2017,580,1,81,1
03-31-2017,580,2,60,0
03-31-2017,590,1,116,0
03-31-2017,590,2,78,0
03-31-2017,600,1,178,0
03-31-2017,600,2,65,0
03-31-2017,610,1,316,0
03-31-2017,610,2,86,0
03-31-2017,620,1,354,0
03-31-2017,620,2,106,0
03-31-2017,630,1,540,1
03-31-2017,630,2,133,0
03-31-2017,640,1,679,0
03-31-2017,640,2,144,0
03-31-2017,650,1,964,1
03-31-2017,650,2,150,0
03-31-2017,660,1,1336,1
03-31-2017,660,2,166,0
03-31-2017,670,1,1777,1
03-31-2017,670,2,219,0
03-31-2017,680,1,2157,0
03-31-2017,680,2,230,0
03-31-2017,690,1,2478,0
03-31-2017,690,2,274,0
03-31-2017,700,1,2501,0
03-31-2017,700,2,234,0
03-31-2017,710,1,2845,2
03-31-2017,710,2,272,0
03-31-2017,720,1,3068,0
03-31-2017,720,2,265,0
03-31-2017,730,1,3121,0
03-31-2017,730,2,287,0
03-31-2017,740,1,3264,0
03-31-2017,740,2,232,0
03-31-2017,750,1,3180,0
03-31-2017,750,2,236,0
03-31-2017,760,1,3107,0
03-31-2017,760,2,254,0
03-31-2017,770,1,3373,1
03-31-2017,770,2,218,0
03-31-2017,780,1,3886,0
03-31-2017,780,2,289,0
03-31-2017,790,1,3939,0
03-31-2017,790,2,230,0
03-31-2017,800,1,4095,0
03-31-2017,800,2,246,0
03-31-2017,810,1,4249,0
03-31-2017,810,2,222,0
03-31-2017,820,1,4616,0
03-31-2017,820,2,204,0
03-31-2017,830,1,4045,0
03-31-2017,830,2,239,0
03-31-2017,840,1,3159,0
03-31-2017,840,2,226,0
03-31-2017,850,1,3596,0
03-31-2017,850,2,230,0
03-31-2017,860,1,2541,0
03-31-2017,860,2,148,0
03-31-2017,870,1,1633,0
03-31-2017,870,2,104,0
03-31-2017,880,1,614,0
03-31-2017,880,2,52,0
03-31-2017,890,1,157,0
03-31-2017,890,2,19,0
04-30-2017,410,2,1,0
04-30-2017,420,1,1,0
04-30-2017,420,2,1,0
04-30-2017,430,2,1,0
04-30-2017,440,2,2,0
04-30-2017,450,1,2,0
04-30-2017,450,2,4,0
04-30-2017,460,1,2,0
04-30-2017,460,2,12,0
04-30-2017,470,1,6,0
04-30-2017,470,2,10,0
04-30-2017,480,1,9,0
04-30-2017,480,2,9,0
04-30-2017,490,1,10,0
04-30-2017,490,2,17,0
04-30-2017,500,1,13,0
04-30-2017,500,2,23,0
04-30-2017,510,1,23,0
04-30-2017,510,2,34,0
04-30-2017,520,1,19,0
04-30-2017,520,2,28,0
04-30-2017,530,1,26,0
04-30-2017,530,2,33,0
04-30-2017,540,1,31,0
04-30-2017,540,2,45,0
04-30-2017,550,1,47,0
04-30-2017,550,2,42,0
04-30-2017,560,1,64,0
04-30-2017,560,2,51,0
04-30-2017,570,1,62,0
04-30-2017,570,2,54,0
04-30-2017,580,1,81,0
04-30-2017,580,2,59,0
04-30-2017,590,1,113,0
04-30-2017,590,2,77,0
04-30-2017,600,1,176,0
04-30-2017,600,2,65,1
04-30-2017,610,1,308,0
04-30-2017,610,2,83,0
04-30-2017,620,1,345,0
04-30-2017,620,2,105,0
04-30-2017,630,1,532,1
04-30-2017,630,2,131,1
04-30-2017,640,1,673,0
04-30-2017,640,2,142,1
04-30-2017,650,1,949,0
04-30-2017,650,2,145,0
04-30-2017,660,1,1315,0
04-30-2017,660,2,165,0
04-30-2017,670,1,1759,1
04-30-2017,670,2,216,0
04-30-2017,680,1,2139,0
04-30-2017,680,2,226,0
04-30-2017,690,1,2455,0
04-30-2017,690,2,271,0
04-30-2017,700,1,2470,0
04-30-2017,700,2,233,0
04-30-2017,710,1,2818,0
04-30-2017,710,2,270,0
04-30-2017,720,1,3047,0
04-30-2017,720,2,264,0
04-30-2017,730,1,3097,0
04-30-2017,730,2,285,0
04-30-2017,740,1,3227,0
04-30-2017,740,2,227,0
04-30-2017,750,1,3137,0
04-30-2017,750,2,234,0
04-30-2017,760,1,3053,0
04-30-2017,760,2,251,0
04-30-2017,770,1,3333,0
04-30-2017,770,2,217,0
04-30-2017,780,1,3832,1
04-30-2017,780,2,286,0
04-30-2017,790,1,3872,0
04-30-2017,790,2,225,0
04-30-2017,800,1,4036,0
04-30-2017,800,2,246,0
04-30-2017,810,1,4190,0
04-30-2017,810,2,219,0
04-30-2017,820,1,4553,0
04-30-2017,820,2,201,0
04-30-2017,830,1,3987,0
04-30-2017,830,2,238,0
04-30-2017,840,1,3134,0
04-30-2017,840,2,219,0
04-30-2017,850,1,3569,0
04-30-2017,850,2,229,0
04-30-2017,860,1,2519,0
04-30-2017,860,2,147,0
04-30-2017,870,1,1620,0
04-30-2017,870,2,104,0
04-30-2017,880,1,610,0
04-30-2017,880,2,51,0
04-30-2017,890,1,156,0
04-30-2017,890,2,19,0
05-31-2017,410,2,1,0
05-31-2017,420,1,1,0
05-31-2017,420,2,1,0
05-31-2017,430,2,1,0
05-31-2017,440,2,2,0
05-31-2017,450,1,2,0
05-31-2017,450,2,4,0
05-31-2017,460,1,2,0
05-31-2017,460,2,12,0
