reporting_date,fico_low,new_used,active_loans,new_repos
06-30-2018,650,1,267,0
06-30-2018,650,2,628,0
06-30-2018,660,1,350,0
06-30-2018,660,2,801,1
06-30-2018,670,1,428,0
06-30-2018,670,2,886,0
06-30-2018,680,1,456,0
06-30-2018,680,2,959,0
06-30-2018,690,1,506,0
06-30-2018,690,2,950,0
06-30-2018,700,1,523,0
06-30-2018,700,2,1040,0
06-30-2018,710,1,576,0
06-30-2018,710,2,995,0
06-30-2018,720,1,569,0
06-30-2018,720,2,1164,0
06-30-2018,730,1,625,0
06-30-2018,730,2,1136,0
06-30-2018,740,1,618,0
06-30-2018,740,2,1138,0
06-30-2018,750,1,624,0
06-30-2018,750,2,1047,0
06-30-2018,760,1,570,0
06-30-2018,760,2,1040,0
06-30-2018,770,1,561,0
06-30-2018,770,2,1010,0
06-30-2018,780,1,661,0
06-30-2018,780,2,1084,0
06-30-2018,790,1,569,0
06-30-2018,790,2,1006,1
06-30-2018,800,1,661,0
06-30-2018,800,2,1112,0
06-30-2018,810,1,595,0
06-30-2018,810,2,1091,0
06-30-2018,820,1,648,0
06-30-2018,820,2,1168,0
06-30-2018,830,1,630,0
06-30-2018,830,2,1112,0
06-30-2018,840,1,666,0
06-30-2018,840,2,1192,0
06-30-2018,850,1,668,0
06-30-2018,850,2,1209,0
06-30-2018,860,1,604,0
06-30-2018,860,2,1041,0
06-30-2018,870,1,468,0
06-30-2018,870,2,768,0
06-30-2018,880,1,225,0
06-30-2018,880,2,367,0
06-30-2018,890,1,51,0
06-30-2018,890,2,84,0
07-31-2018,650,1,370,0
07-31-2018,650,2,871,0
07-31-2018,660,1,491,0
07-31-2018,660,2,1094,0
07-31-2018,670,1,581,0
07-31-2018,670,2,1238,1
07-31-2018,680,1,659,1
07-31-2018,680,2,1280,0
07-31-2018,690,1,699,0
07-31-2018,690,2,1320,0
07-31-2018,700,1,692,0
07-31-2018,700,2,1422,0
07-31-2018,710,1,803,0
07-31-2018,710,2,1392,0
07-31-2018,720,1,794,0
07-31-2018,720,2,1586,0
07-31-2018,730,1,850,0
07-31-2018,730,2,1585,0
07-31-2018,740,1,853,0
07-31-2018,740,2,1574,0
07-31-2018,750,1,816,0
07-31-2018,750,2,1441,0
07-31-2018,760,1,804,0
07-31-2018,760,2,1408,0
07-31-2018,770,1,769,0
07-31-2018,770,2,1366,0
07-31-2018,780,1,911,0
07-31-2018,780,2,1485,0
07-31-2018,790,1,802,0
07-31-2018,790,2,1407,0
07-31-2018,800,1,906,0
07-31-2018,800,2,1533,0
07-31-2018,810,1,805,0
07-31-2018,810,2,1475,0
07-31-2018,820,1,875,0
07-31-2018,820,2,1581,0
07-31-2018,830,1,854,0
07-31-2018,830,2,1577,0
07-31-2018,840,1,926,0
07-31-2018,840,2,1633,0
07-31-2018,850,1,886,0
07-31-2018,850,2,1652,0
07-31-2018,860,1,790,0
07-31-2018,860,2,1414,0
07-31-2018,870,1,653,0
07-31-2018,870,2,1029,0
07-31-2018,880,1,304,0
07-31-2018,880,2,512,0
07-31-2018,890,1,69,0
07-31-2018,890,2,116,0
08-31-2018,650,1,361,0
08-31-2018,650,2,846,0
08-31-2018,660,1,472,0
08-31-2018,660,2,1069,0
08-31-2018,670,1,567,0
08-31-2018,670,2,1208,1
08-31-2018,680,1,638,1
08-31-2018,680,2,1244,1
08-31-2018,690,1,684,0
08-31-2018,690,2,1289,0
08-31-2018,700,1,672,1
08-31-2018,700,2,1392,0
08-31-2018,710,1,786,1
08-31-2018,710,2,1365,0
08-31-2018,720,1,774,0
08-31-2018,720,2,1536,0
08-31-2018,730,1,823,1
08-31-2018,730,2,1548,0
08-31-2018,740,1,834,1
08-31-2018,740,2,1540,0
08-31-2018,750,1,795,0
08-31-2018,750,2,1397,0
08-31-2018,760,1,779,0
08-31-2018,760,2,1384,0
08-31-2018,770,1,755,0
08-31-2018,770,2,1336,0
08-31-2018,780,1,894,0
08-31-2018,780,2,1452,0
08-31-2018,790,1,782,1
08-31-2018,790,2,1369,0
08-31-2018,800,1,882,0
08-31-2018,800,2,1484,0
08-31-2018,810,1,785,0
08-31-2018,810,2,1428,0
08-31-2018,820,1,848,0
08-31-2018,820,2,1544,1
