reporting_date,fico_low,new_used,active_loans,new_repos
02-28-2017,660,1,597,0
02-28-2017,670,1,654,0
02-28-2017,680,1,1697,0
02-28-2017,690,1,1415,0
02-28-2017,700,1,2684,0
02-28-2017,700,2,177,0
02-28-2017,710,1,2138,0
02-28-2017,710,2,168,0
02-28-2017,720,1,3253,0
02-28-2017,720,2,166,0
02-28-2017,730,1,2899,0
02-28-2017,730,2,191,0
02-28-2017,740,1,2998,0
02-28-2017,740,2,280,0
02-28-2017,750,1,2826,0
02-28-2017,750,2,237,0
02-28-2017,760,1,2431,0
02-28-2017,760,2,205,0
02-28-2017,770,1,2348,0
02-28-2017,770,2,202,0
02-28-2017,780,1,2408,0
02-28-2017,780,2,198,0
02-28-2017,790,1,2211,0
02-28-2017,790,2,172,0
02-28-2017,800,1,2315,0
02-28-2017,800,2,197,0
02-28-2017,810,1,2388,0
02-28-2017,810,2,194,0
02-28-2017,820,1,2385,0
02-28-2017,820,2,226,0
02-28-2017,830,1,2246,0
02-28-2017,830,2,184,0
02-28-2017,840,1,2085,0
02-28-2017,840,2,175,0
02-28-2017,850,1,1961,0
02-28-2017,850,2,195,0
02-28-2017,860,1,1533,0
02-28-2017,860,2,148,0
02-28-2017,870,1,1070,0
02-28-2017,870,2,112,0
02-28-2017,880,1,399,0
02-28-2017,880,2,38,0
02-28-2017,890,1,87,0
02-28-2017,890,2,5,0
03-31-2017,660,1,597,0
03-31-2017,670,1,654,0
03-31-2017,680,1,1697,0
03-31-2017,690,1,1415,0
03-31-2017,700,1,2684,0
03-31-2017,700,2,177,0
03-31-2017,710,1,2139,0
03-31-2017,710,2,168,0
03-31-2017,720,1,3253,0
03-31-2017,720,2,166,0
03-31-2017,730,1,2899,0
03-31-2017,730,2,191,0
03-31-2017,740,1,2998,0
03-31-2017,740,2,280,0
03-31-2017,750,1,2826,0
03-31-2017,750,2,237,0
03-31-2017,760,1,2431,0
03-31-2017,760,2,205,0
03-31-2017,770,1,2348,0
03-31-2017,770,2,202,0
03-31-2017,780,1,2408,0
03-31-2017,780,2,198,0
03-31-2017,790,1,2211,0
03-31-2017,790,2,172,0
03-31-2017,800,1,2315,0
03-31-2017,800,2,197,0
03-31-2017,810,1,2388,0
03-31-2017,810,2,194,0
03-31-2017,820,1,2385,0
03-31-2017,820,2,226,0
03-31-2017,830,1,2246,0
03-31-2017,830,2,184,0
03-31-2017,840,1,2085,0
03-31-2017,840,2,175,0
03-31-2017,850,1,1961,0
03-31-2017,850,2,195,0
03-31-2017,860,1,1533,0
03-31-2017,860,2,148,0
03-31-2017,870,1,1070,0
03-31-2017,870,2,112,0
03-31-2017,880,1,399,0
03-31-2017,880,2,38,0
03-31-2017,890,1,87,0
03-31-2017,890,2,5,0
04-30-2017,660,1,590,0
04-30-2017,670,1,645,0
04-30-2017,680,1,1671,0
04-30-2017,690,1,1395,0
04-30-2017,700,1,2643,0
04-30-2017,700,2,177,0
04-30-2017,710,1,2104,0
04-30-2017,710,2,166,0
04-30-2017,720,1,3211,0
04-30-2017,720,2,163,0
04-30-2017,730,1,2864,0
04-30-2017,730,2,190,0
04-30-2017,740,1,2966,0
04-30-2017,740,2,279,0
04-30-2017,750,1,2799,0
04-30-2017,750,2,234,0
04-30-2017,760,1,2405,0
04-30-2017,760,2,203,0
04-30-2017,770,1,2325,0
04-30-2017,770,2,200,0
04-30-2017,780,1,2373,0
04-30-2017,780,2,197,0
04-30-2017,790,1,2178,0
04-30-2017,790,2,169,0
04-30-2017,800,1,2291,0
04-30-2017,800,2,195,0
04-30-2017,810,1,2362,0
04-30-2017,810,2,192,0
04-30-2017,820,1,2355,0
04-30-2017,820,2,224,0
04-30-2017,830,1,2219,0
04-30-2017,830,2,183,0
04-30-2017,840,1,2061,0
04-30-2017,840,2,172,0
04-30-2017,850,1,1936,0
04-30-2017,850,2,192,0
04-30-2017,860,1,1518,0
04-30-2017,860,2,148,0
04-30-2017,870,1,1058,0
04-30-2017,870,2,112,0
04-30-2017,880,1,393,0
04-30-2017,880,2,38,0
04-30-2017,890,1,84,0
04-30-2017,890,2,5,0
05-31-2017,660,1,580,0
05-31-2017,670,1,636,0
05-31-2017,680,1,1649,0
05-31-2017,690,1,1371,0
05-31-2017,700,1,2604,0
05-31-2017,700,2,173,0
05-31-2017,710,1,2065,0
05-31-2017,710,2,163,0
05-31-2017,720,1,3177,0
05-31-2017,720,2,161,0
05-31-2017,730,1,2829,0
05-31-2017,730,2,189,0
05-31-2017,740,1,2937,0
05-31-2017,740,2,275,0
05-31-2017,750,1,2762,0
05-31-2017,750,2,230,0
05-31-2017,760,1,2382,0
05-31-2017,760,2,201,0
05-31-2017,770,1,2289,0
