reporting_date,fico_low,new_used,active_loans,new_repos
01-31-2017,380,1,1,0
01-31-2017,390,2,1,0
01-31-2017,400,1,2,1
01-31-2017,400,2,3,0
01-31-2017,410,1,2,0
01-31-2017,410,2,20,3
01-31-2017,420,1,8,2
01-31-2017,420,2,27,1
01-31-2017,430,1,11,1
01-31-2017,430,2,53,5
01-31-2017,440,1,21,1
01-31-2017,440,2,78,7
01-31-2017,450,1,31,2
01-31-2017,450,2,163,13
01-31-2017,460,1,49,1
01-31-2017,460,2,214,21
01-31-2017,470,1,92,3
01-31-2017,470,2,302,19
01-31-2017,480,1,127,5
01-31-2017,480,2,414,28
01-31-2017,490,1,157,8
01-31-2017,490,2,521,41
01-31-2017,500,1,266,11
01-31-2017,500,2,695,36
01-31-2017,510,1,340,8
01-31-2017,510,2,889,38
01-31-2017,520,1,466,13
01-31-2017,520,2,1111,46
01-31-2017,530,1,618,11
01-31-2017,530,2,1476,47
01-31-2017,540,1,684,21
01-31-2017,540,2,1533,66
01-31-2017,550,1,971,23
01-31-2017,550,2,2108,64
01-31-2017,560,1,977,24
01-31-2017,560,2,1989,57
01-31-2017,570,1,1246,21
01-31-2017,570,2,2481,63
01-31-2017,580,1,1265,24
01-31-2017,580,2,2434,64
01-31-2017,590,1,1543,16
01-31-2017,590,2,2808,55
01-31-2017,600,1,1494,28
01-31-2017,600,2,2865,54
01-31-2017,610,1,1574,26
01-31-2017,610,2,2839,42
01-31-2017,620,1,1333,15
01-31-2017,620,2,2392,26
01-31-2017,630,1,792,7
01-31-2017,630,2,2025,20
01-31-2017,640,1,675,3
01-31-2017,640,2,1879,16
01-31-2017,650,1,703,7
01-31-2017,650,2,1798,22
01-31-2017,660,1,454,3
01-31-2017,660,2,1211,9
01-31-2017,670,1,339,2
01-31-2017,670,2,979,4
01-31-2017,680,1,238,2
01-31-2017,680,2,786,7
01-31-2017,690,1,210,1
01-31-2017,690,2,624,3
01-31-2017,700,1,160,1
01-31-2017,700,2,528,4
01-31-2017,710,1,114,0
01-31-2017,710,2,397,1
01-31-2017,720,1,103,1
01-31-2017,720,2,339,0
01-31-2017,730,1,86,1
01-31-2017,730,2,237,2
01-31-2017,740,1,49,1
01-31-2017,740,2,214,1
01-31-2017,750,1,48,0
01-31-2017,750,2,180,1
01-31-2017,760,1,28,0
01-31-2017,760,2,149,1
01-31-2017,770,1,20,0
01-31-2017,770,2,114,1
01-31-2017,780,1,29,0
01-31-2017,780,2,94,0
01-31-2017,790,1,24,2
01-31-2017,790,2,93,0
01-31-2017,800,1,21,0
01-31-2017,800,2,93,0
01-31-2017,810,1,18,0
01-31-2017,810,2,100,0
01-31-2017,820,1,29,0
01-31-2017,820,2,112,0
01-31-2017,830,1,26,0
01-31-2017,830,2,92,0
01-31-2017,840,1,17,0
01-31-2017,840,2,82,0
01-31-2017,850,1,15,0
01-31-2017,850,2,78,0
01-31-2017,860,1,9,0
01-31-2017,860,2,41,0
01-31-2017,870,1,3,0
01-31-2017,870,2,27,0
01-31-2017,880,1,1,0
01-31-2017,880,2,19,0
01-31-2017,890,1,1,0
01-31-2017,890,2,6,0
02-28-2017,380,1,1,0
02-28-2017,390,2,1,0
02-28-2017,400,1,2,0
02-28-2017,400,2,3,0
02-28-2017,410,1,2,0
02-28-2017,410,2,20,0
02-28-2017,420,1,8,0
02-28-2017,420,2,27,0
02-28-2017,430,1,11,0
02-28-2017,430,2,53,0
02-28-2017,440,1,21,0
02-28-2017,440,2,78,0
02-28-2017,450,1,31,0
02-28-2017,450,2,163,0
02-28-2017,460,1,49,0
02-28-2017,460,2,214,1
02-28-2017,470,1,92,0
02-28-2017,470,2,302,0
02-28-2017,480,1,127,1
02-28-2017,480,2,414,0
02-28-2017,490,1,157,0
02-28-2017,490,2,521,0
02-28-2017,500,1,266,0
02-28-2017,500,2,695,0
02-28-2017,510,1,340,0
02-28-2017,510,2,889,1
02-28-2017,520,1,466,0
02-28-2017,520,2,1111,0
02-28-2017,530,1,618,0
02-28-2017,530,2,1476,1
02-28-2017,540,1,684,1
02-28-2017,540,2,1533,0
02-28-2017,550,1,971,0
02-28-2017,550,2,2108,2
02-28-2017,560,1,977,2
02-28-2017,560,2,1989,2
02-28-2017,570,1,1246,1
02-28-2017,570,2,2481,0
02-28-2017,580,1,1265,1
02-28-2017,580,2,2434,1
02-28-2017,590,1,1543,0
02-28-2017,590,2,2808,0
02-28-2017,600,1,1494,2
02-28-2017,600,2,2865,2
02-28-2017,610,1,1574,3
02-28-2017,610,2,2839,2
02-28-2017,620,1,1333,1
02-28-2017,620,2,2392,2
02-28-2017,630,1,792,2
02-28-2017,630,2,2025,1
02-28-2017,640,1,675,3
