reporting_date,fico_low,new_used,active_loans,new_repos
01-31-2017,620,1,554,0
01-31-2017,620,2,476,0
01-31-2017,630,1,703,0
01-31-2017,630,2,579,0
01-31-2017,640,1,846,0
01-31-2017,640,2,637,0
01-31-2017,650,1,1262,0
01-31-2017,650,2,869,0
01-31-2017,660,1,1372,0
01-31-2017,660,2,860,0
01-31-2017,670,1,1823,0
01-31-2017,670,2,1048,0
01-31-2017,680,1,1895,0
01-31-2017,680,2,970,0
01-31-2017,690,1,2741,0
01-31-2017,690,2,1360,0
01-31-2017,700,1,3114,0
01-31-2017,700,2,1384,0
01-31-2017,710,1,3044,0
01-31-2017,710,2,1271,0
01-31-2017,720,1,3516,0
01-31-2017,720,2,1382,0
01-31-2017,730,1,3281,0
01-31-2017,730,2,1248,0
01-31-2017,740,1,3185,0
01-31-2017,740,2,1102,0
01-31-2017,750,1,3075,0
01-31-2017,750,2,1013,0
01-31-2017,760,1,3165,0
01-31-2017,760,2,1030,0
01-31-2017,770,1,3305,0
01-31-2017,770,2,933,0
01-31-2017,780,1,3831,0
01-31-2017,780,2,1046,0
01-31-2017,790,1,3884,0
01-31-2017,790,2,963,0
01-31-2017,800,1,4381,0
01-31-2017,800,2,1074,0
01-31-2017,810,1,4894,0
01-31-2017,810,2,1099,0
01-31-2017,820,1,5292,0
01-31-2017,820,2,1012,0
01-31-2017,830,1,4228,0
01-31-2017,830,2,848,0
01-31-2017,840,1,2373,0
01-31-2017,840,2,546,0
01-31-2017,850,1,1853,0
01-31-2017,850,2,335,0
01-31-2017,860,1,1047,0
01-31-2017,860,2,279,0
01-31-2017,870,1,629,0
01-31-2017,870,2,141,0
01-31-2017,880,1,202,0
01-31-2017,880,2,55,0
01-31-2017,890,1,82,0
01-31-2017,890,2,14,0
03-31-2017,620,1,1201,0
03-31-2017,620,2,1037,0
03-31-2017,630,1,1542,0
03-31-2017,630,2,1255,1
03-31-2017,640,1,1816,0
03-31-2017,640,2,1403,0
03-31-2017,650,1,2720,0
03-31-2017,650,2,1855,0
03-31-2017,660,1,2895,0
03-31-2017,660,2,1885,0
03-31-2017,670,1,3886,0
03-31-2017,670,2,2212,1
03-31-2017,680,1,3943,0
03-31-2017,680,2,2117,0
03-31-2017,690,1,5973,1
03-31-2017,690,2,2859,2
03-31-2017,700,1,6644,1
03-31-2017,700,2,3009,0
03-31-2017,710,1,6469,2
