reporting_date,fico_low,new_used,active_loans,new_repos
07-31-2017,600,1,26,0
07-31-2017,600,2,33,0
07-31-2017,610,1,43,0
07-31-2017,610,2,73,0
07-31-2017,620,1,73,0
07-31-2017,620,2,104,0
07-31-2017,630,1,110,0
07-31-2017,630,2,162,0
07-31-2017,640,1,175,0
07-31-2017,640,2,267,0
07-31-2017,650,1,266,0
07-31-2017,650,2,418,0
07-31-2017,660,1,371,0
07-31-2017,660,2,547,0
07-31-2017,670,1,406,0
07-31-2017,670,2,748,0
07-31-2017,680,1,488,0
07-31-2017,680,2,918,0
07-31-2017,690,1,595,0
07-31-2017,690,2,1160,0
07-31-2017,700,1,618,0
07-31-2017,700,2,1266,0
07-31-2017,710,1,634,0
07-31-2017,710,2,1373,0
07-31-2017,720,1,722,0
07-31-2017,720,2,1563,0
07-31-2017,730,1,734,0
07-31-2017,730,2,1588,0
07-31-2017,740,1,771,0
07-31-2017,740,2,1606,0
07-31-2017,750,1,808,0
07-31-2017,750,2,1513,0
07-31-2017,760,1,910,0
07-31-2017,760,2,1463,0
07-31-2017,770,1,988,0
07-31-2017,770,2,1409,0
07-31-2017,780,1,1072,0
07-31-2017,780,2,1377,0
07-31-2017,790,1,1102,0
07-31-2017,790,2,1260,0
07-31-2017,800,1,972,0
07-31-2017,800,2,1108,0
07-31-2017,810,1,500,0
07-31-2017,810,2,640,0
07-31-2017,820,1,152,0
07-31-2017,820,2,248,0
07-31-2017,830,1,59,0
07-31-2017,830,2,62,0
07-31-2017,840,1,1,0
07-31-2017,840,2,1,0
09-30-2017,600,1,26,0
09-30-2017,600,2,33,0
09-30-2017,610,1,43,0
09-30-2017,610,2,73,0
09-30-2017,620,1,73,0
09-30-2017,620,2,104,0
09-30-2017,630,1,110,0
09-30-2017,630,2,162,0
09-30-2017,640,1,175,0
09-30-2017,640,2,267,0
09-30-2017,650,1,266,0
09-30-2017,650,2,418,0
09-30-2017,660,1,371,0
09-30-2017,660,2,547,0
09-30-2017,670,1,406,0
09-30-2017,670,2,748,0
09-30-2017,680,1,488,0
09-30-2017,680,2,918,0
09-30-2017,690,1,595,0
09-30-2017,690,2,1160,1
09-30-2017,700,1,618,0
09-30-2017,700,2,1266,0
09-30-2017,710,1,634,0
09-30-2017,710,2,1373,0
09-30-2017,720,1,722,0
09-30-2017,720,2,1563,0
09-30-2017,730,1,734,0
09-30-2017,730,2,1588,1
09-30-2017,740,1,771,0
09-30-2017,740,2,1606,0
09-30-2017,750,1,808,0
09-30-2017,750,2,1513,0
09-30-2017,760,1,910,0
09-30-2017,760,2,1463,0
09-30-2017,770,1,988,0
09-30-2017,770,2,1409,0
09-30-2017,780,1,1072,0
09-30-2017,780,2,1377,0
09-30-2017,790,1,1102,0
09-30-2017,790,2,1260,0
09-30-2017,800,1,972,0
09-30-2017,800,2,1108,0
09-30-2017,810,1,500,0
09-30-2017,810,2,640,0
09-30-2017,820,1,152,0
09-30-2017,820,2,248,0
09-30-2017,830,1,59,0
09-30-2017,830,2,62,0
09-30-2017,840,1,1,0
09-30-2017,840,2,1,0
10-31-2017,600,1,26,0
10-31-2017,600,2,33,0
10-31-2017,610,1,43,0
10-31-2017,610,2,73,0
10-31-2017,620,1,73,0
10-31-2017,620,2,104,0
10-31-2017,630,1,110,0
10-31-2017,630,2,162,0
10-31-2017,640,1,175,0
10-31-2017,640,2,267,0
10-31-2017,650,1,266,0
10-31-2017,650,2,418,0
10-31-2017,660,1,371,0
10-31-2017,660,2,547,0
10-31-2017,670,1,406,0
10-31-2017,670,2,748,0
10-31-2017,680,1,488,0
10-31-2017,680,2,918,0
10-31-2017,690,1,595,0
10-31-2017,690,2,1160,0
10-31-2017,700,1,618,0
10-31-2017,700,2,1266,0
10-31-2017,710,1,634,0
10-31-2017,710,2,1373,0
10-31-2017,720,1,722,0
10-31-2017,720,2,1563,0
10-31-2017,730,1,734,0
10-31-2017,730,2,1588,0
10-31-2017,740,1,771,0
10-31-2017,740,2,1606,0
10-31-2017,750,1,808,0
10-31-2017,750,2,1513,0
10-31-2017,760,1,910,0
10-31-2017,760,2,1463,0
10-31-2017,770,1,988,0
10-31-2017,770,2,1409,0
10-31-2017,780,1,1072,0
10-31-2017,780,2,1377,0
10-31-2017,790,1,1102,0
10-31-2017,790,2,1260,0
10-31-2017,800,1,972,0
10-31-2017,800,2,1108,0
10-31-2017,810,1,500,0
10-31-2017,810,2,640,0
10-31-2017,820,1,152,0
10-31-2017,820,2,248,0
10-31-2017,830,1,59,0
10-31-2017,830,2,62,0
10-31-2017,840,1,1,0
10-31-2017,840,2,1,0
11-30-2017,600,1,26,0
11-30-2017,600,2,28,0
11-30-2017,610,1,41,0
11-30-2017,610,2,66,0
11-30-2017,620,1,68,0
11-30-2017,620,2,101,0
11-30-2017,630,1,105,0
11-30-2017,630,2,156,0
11-30-2017,640,1,165,0
11-30-2017,640,2,255,0
11-30-2017,650,1,258,0
11-30-2017,650,2,390,0
11-30-2017,660,1,357,0
11-30-2017,660,2,527,0
11-30-2017,670,1,390,0
11-30-2017,670,2,710,0
11-30-2017,680,1,465,0
11-30-2017,680,2,881,0
11-30-2017,690,1,574,0
11-30-2017,690,2,1112,0
11-30-2017,700,1,593,0
11-30-2017,700,2,1219,0
11-30-2017,710,1,611,0
11-30-2017,710,2,1302,0
11-30-2017,720,1,696,0
11-30-2017,720,2,1504,0
11-30-2017,730,1,706,0
11-30-2017,730,2,1523,0
11-30-2017,740,1,742,0
11-30-2017,740,2,1546,0
11-30-2017,750,1,781,0
11-30-2017,750,2,1448,0
11-30-2017,760,1,863,0
11-30-2017,760,2,1407,1
11-30-2017,770,1,947,0
11-30-2017,770,2,1356,0
11-30-2017,780,1,1030,0
11-30-2017,780,2,1316,0
11-30-2017,790,1,1051,0
11-30-2017,790,2,1205,0
11-30-2017,800,1,930,0
11-30-2017,800,2,1056,0
11-30-2017,810,1,486,0
11-30-2017,810,2,612,0
11-30-2017,820,1,150,0
11-30-2017,820,2,238,0
11-30-2017,830,1,57,0
11-30-2017,830,2,58,0
11-30-2017,840,1,1,0
11-30-2017,840,2,1,0
12-31-2017,600,1,26,0
12-31-2017,600,2,24,0
12-31-2017,610,1,39,0
12-31-2017,610,2,62,0
12-31-2017,620,1,67,0
12-31-2017,620,2,94,0
12-31-2017,630,1,99,0
12-31-2017,630,2,147,0
12-31-2017,640,1,156,0
12-31-2017,640,2,236,0
12-31-2017,650,1,241,0
12-31-2017,650,2,369,0
12-31-2017,660,1,344,0
12-31-2017,660,2,495,0
12-31-2017,670,1,375,0
12-31-2017,670,2,677,0
12-31-2017,680,1,443,0
12-31-2017,680,2,828,0
12-31-2017,690,1,548,0
12-31-2017,690,2,1063,0
12-31-2017,700,1,568,0
12-31-2017,700,2,1153,0
12-31-2017,710,1,587,0
12-31-2017,710,2,1249,0
12-31-2017,720,1,669,0
12-31-2017,720,2,1429,0
12-31-2017,730,1,680,0
12-31-2017,730,2,1442,0
12-31-2017,740,1,714,0
12-31-2017,740,2,1458,0
12-31-2017,750,1,752,0
12-31-2017,750,2,1375,0
12-31-2017,760,1,824,0
12-31-2017,760,2,1341,0
12-31-2017,770,1,903,0
12-31-2017,770,2,1294,0
12-31-2017,780,1,989,0
12-31-2017,780,2,1232,1
12-31-2017,790,1,998,0
12-31-2017,790,2,1160,0
12-31-2017,800,1,896,0
12-31-2017,800,2,994,0
12-31-2017,810,1,473,0
12-31-2017,810,2,588,0
12-31-2017,820,1,141,0
12-31-2017,820,2,226,0
12-31-2017,830,1,55,0
12-31-2017,830,2,58,0
12-31-2017,840,1,1,0
12-31-2017,840,2,1,0
01-31-2018,600,1,26,0
01-31-2018,600,2,24,0
01-31-2018,610,1,39,0
01-31-2018,610,2,62,0
01-31-2018,620,1,67,0
01-31-2018,620,2,94,0
01-31-2018,630,1,99,0
01-31-2018,630,2,147,0
