series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
BMW Vehicle Lease Trust 2017-1,2017-01-31,32963,32963,0,0,1166613112.2295938,1166613112.2295938,889436315.9099858,1878682928.05,32963,0,0,0
BMW Vehicle Lease Trust 2017-1,2018-01-31,29341,29190,95,56,914013691.6043035,914013691.6043035,788443820.9299815,1667059074.05,29341,0,0,12
BMW Vehicle Lease Trust 2017-1,2019-01-31,19818,19674,85,59,546922209.5182983,546922209.5182983,531386847.4500088,1135831060.05,19818,0,0,24
BMW Vehicle Lease Trust 2017-1,2018-02-28,28938,28790,89,59,891544614.7664015,891544614.7664015,777205967.5499904,1643800814.05,28938,0,0,13
BMW Vehicle Lease Trust 2017-1,2019-02-28,18741,18612,83,46,510971460.10270065,510971460.10270065,501256366.8200118,1073317537.05,18741,0,0,25
BMW Vehicle Lease Trust 2017-1,2017-03-31,32809,32771,35,3,1135683064.8115048,1135683064.8115048,884893429.5999897,1869046785.05,32809,0,0,2
BMW Vehicle Lease Trust 2017-1,2018-03-31,28387,28228,101,58,865261407.6907985,865261407.6907985,761940813.8399966,1612269689.05,28387,0,0,14
BMW Vehicle Lease Trust 2017-1,2019-03-31,17356,17210,94,52,467684237.0289017,467684237.0289017,462961558.35000986,994944047.05,17356,0,0,26
BMW Vehicle Lease Trust 2017-1,2017-04-30,32702,32653,43,6,1119813180.499698,1119813180.499698,881908765.8899982,1862826360.05,32702,0,0,3
BMW Vehicle Lease Trust 2017-1,2018-04-30,27779,27636,86,57,837392862.2800065,837392862.2800065,745045954.4299816,1577705840.05,27779,0,0,15
BMW Vehicle Lease Trust 2017-1,2019-04-30,15779,15662,64,53,419672035.92630017,419672035.92630017,418830793.4600062,903875527.05,15779,0,0,27
BMW Vehicle Lease Trust 2017-1,2017-05-31,32547,32479,53,15,1102178579.1952033,1102178579.1952033,877580650.0099832,1853700954.05,32547,0,0,4
BMW Vehicle Lease Trust 2017-1,2018-05-31,26992,26848,90,54,805743454.8472039,805743454.8472039,723527306.5800031,1533758505.05,26992,0,0,16
BMW Vehicle Lease Trust 2017-1,2019-05-31,14159,14048,63,48,371625080.1639009,371625080.1639009,374162110.9400084,810278802.05,14159,0,0,28
BMW Vehicle Lease Trust 2017-1,2017-06-30,32349,32269,57,23,1083785040.4029984,1083785040.4029984,872186828.800013,1842352821.05,32349,0,0,5
BMW Vehicle Lease Trust 2017-1,2018-06-30,26197,26056,80,61,774667122.389102,774667122.389102,702083544.3999865,1489632250.05,26197,0,0,17
BMW Vehicle Lease Trust 2017-1,2019-06-30,12653,12534,72,47,327518759.054801,327518759.054801,332828237.4499997,722001097.05,12653,0,0,29
BMW Vehicle Lease Trust 2017-1,2017-07-31,32113,32005,83,25,1064360732.0218922,1064360732.0218922,865817075.9099753,1828849413.05,32113,0,0,6
BMW Vehicle Lease Trust 2017-1,2018-07-31,25330,25195,90,45,741920245.515295,741920245.515295,678788278.4999965,1441449815.05,25330,0,0,18
BMW Vehicle Lease Trust 2017-1,2019-07-31,10767,10660,65,42,275430387.9061989,275430387.9061989,282268648.6800059,613238835.05,10767,0,0,30
BMW Vehicle Lease Trust 2017-1,2017-08-31,31717,31606,74,37,1040796518.0174016,1040796518.0174016,854950456.8199857,1806100154.05,31717,0,0,7
BMW Vehicle Lease Trust 2017-1,2018-08-31,24402,24277,75,50,708766214.9495038,708766214.9495038,654389885.2799947,1390968800.05,24402,0,0,19
BMW Vehicle Lease Trust 2017-1,2019-08-31,8751,8648,58,45,221358935.54150158,221358935.54150158,228370165.40000138,497020010.05,8751,0,0,31
BMW Vehicle Lease Trust 2017-1,2017-09-30,31284,31172,78,34,1016696202.1878065,1016696202.1878065,843200453.7999828,1781363520.05,31284,0,0,8
BMW Vehicle Lease Trust 2017-1,2018-09-30,23606,23454,99,53,679281473.6798,679281473.6798,633377461.490006,1347019963.05,23606,0,0,20
BMW Vehicle Lease Trust 2017-1,2017-10-31,30833,30712,84,37,991683596.8801999,991683596.8801999,830480668.8900092,1754540442.05,30833,0,0,9
BMW Vehicle Lease Trust 2017-1,2018-10-31,22813,22662,96,55,650102575.1521044,650102575.1521044,612834363.2099981,1304060928.05,22813,0,0,21
BMW Vehicle Lease Trust 2017-1,2017-11-30,30382,30268,73,41,966890147.3895934,966890147.3895934,817768451.9000059,1727976731.05,30382,0,0,10
BMW Vehicle Lease Trust 2017-1,2018-11-30,21999,21841,100,58,620272776.9389021,620272776.9389021,590992968.4300054,1258859238.05,21999,0,0,22
BMW Vehicle Lease Trust 2017-1,2017-12-31,29842,29712,84,46,940061833.8858037,940061833.8858037,802730547.3599825,1696745939.05,29842,0,0,11
BMW Vehicle Lease Trust 2017-1,2018-12-31,20951,20791,100,60,584819777.7063001,584819777.7063001,562634261.7000087,1200286358.05,20951,0,0,23
BMW Vehicle Lease Trust 2017-2,2018-01-31,32352,32219,93,40,1091468712.5443027,1091468712.5443027,873982959.9100065,1865714229.0,32352,0,0,5
BMW Vehicle Lease Trust 2017-2,2019-01-31,26001,25826,108,67,775790481.613,775790481.613,697813129.8700019,1501937839.0,26001,0,0,17
BMW Vehicle Lease Trust 2017-2,2020-01-31,10968,10831,82,55,292295645.57329875,292295645.57329875,294550464.139998,640596617.0,10968,0,0,29
BMW Vehicle Lease Trust 2017-2,2018-02-28,32134,32017,71,46,1071807628.345306,1071807628.345306,867703194.5100026,1852711429.0,32134,0,0,6
BMW Vehicle Lease Trust 2017-2,2019-02-28,25302,25151,97,54,746194754.1194966,746194754.1194966,678088767.5200127,1461612374.0,25302,0,0,18
BMW Vehicle Lease Trust 2017-2,2020-02-29,9303,9196,69,38,246583445.8886004,246583445.8886004,250973114.5399987,545394357.0,9303,0,0,30
BMW Vehicle Lease Trust 2017-2,2018-03-31,31779,31666,72,41,1048495491.8073957,1048495491.8073957,857553791.3200111,1831878767.0,31779,0,0,7
BMW Vehicle Lease Trust 2017-2,2019-03-31,24399,24236,110,53,711253480.3556037,711253480.3556037,652414996.2000111,1409172684.0,24399,0,0,19
BMW Vehicle Lease Trust 2017-2,2020-03-31,7837,7736,64,37,206170552.8656999,206170552.8656999,212000508.34000042,460460457.0,7837,0,0,31
BMW Vehicle Lease Trust 2017-2,2018-04-30,31397,31274,86,37,1024772785.1877007,1024772785.1877007,846597696.8699809,1809399637.0,31397,0,0,8
BMW Vehicle Lease Trust 2017-2,2019-04-30,23420,23273,90,57,674526871.3279971,674526871.3279971,624660303.5200026,1351615484.0,23420,0,0,20
BMW Vehicle Lease Trust 2017-2,2018-05-31,30897,30780,83,34,998435149.8351997,998435149.8351997,832501114.070004,1780616082.0,30897,0,0,9
BMW Vehicle Lease Trust 2017-2,2019-05-31,22462,22301,109,52,639091431.5808009,639091431.5808009,597820863.9100064,1295592944.0,22462,0,0,21
BMW Vehicle Lease Trust 2017-2,2018-06-30,30384,30254,87,43,972442094.6754035,972442094.6754035,818168332.770014,1751071132.0,30384,0,0,10
BMW Vehicle Lease Trust 2017-2,2019-06-30,21536,21369,104,63,605352472.5387008,605352472.5387008,572051476.2300028,1241137789.0,21536,0,0,22
BMW Vehicle Lease Trust 2017-2,2018-07-31,29810,29661,102,47,945180945.1617999,945180945.1617999,802311904.6100049,1718246603.0,29810,0,0,11
BMW Vehicle Lease Trust 2017-2,2019-07-31,20370,20197,106,67,566043507.8833997,566043507.8833997,540102216.0100011,1172227369.0,20370,0,0,23
BMW Vehicle Lease Trust 2017-2,2017-08-31,42751,42696,55,0,1523774609.1413972,1523774609.1413972,1157722368.1300027,2468130566.0,42751,0,0,0
BMW Vehicle Lease Trust 2017-2,2018-08-31,29140,29001,86,53,915932360.5585009,915932360.5585009,784198167.6500123,1680406888.0,29140,0,0,12
BMW Vehicle Lease Trust 2017-2,2019-08-31,19051,18888,106,57,523863966.1735996,523863966.1735996,504371351.2000005,1095055979.0,19051,0,0,24
BMW Vehicle Lease Trust 2017-2,2018-09-30,28635,28489,98,48,891610716.0382012,891610716.0382012,770801826.8700047,1652461304.0,28635,0,0,13
BMW Vehicle Lease Trust 2017-2,2019-09-30,17849,17683,111,55,486377796.730901,486377796.730901,472791609.5999995,1026301461.0,17849,0,0,25
BMW Vehicle Lease Trust 2017-2,2017-10-31,32887,32828,54,5,1147956514.976999,1147956514.976999,889184576.1899992,1896817269.0,32887,0,0,2
BMW Vehicle Lease Trust 2017-2,2018-10-31,28027,27869,108,50,864137126.299799,864137126.299799,754507933.6300129,1618272574.0,28027,0,0,14
BMW Vehicle Lease Trust 2017-2,2019-10-31,16320,16166,93,61,442004702.59439725,442004702.59439725,433512423.67000014,941710445.0,16320,0,0,26
BMW Vehicle Lease Trust 2017-2,2017-11-30,32744,32670,58,16,1129890242.764496,1129890242.764496,885037076.1900085,1888351184.0,32744,0,0,3
BMW Vehicle Lease Trust 2017-2,2018-11-30,27448,27279,115,54,837258334.0626076,837258334.0626076,738473766.5900114,1585176319.0,27448,0,0,15
BMW Vehicle Lease Trust 2017-2,2019-11-30,14894,14758,83,53,400403610.36249954,400403610.36249954,396691469.88000244,862473881.0,14894,0,0,27
BMW Vehicle Lease Trust 2017-2,2017-12-31,32553,32450,77,26,1110701638.293106,1110701638.293106,879589646.8400018,1877274139.0,32553,0,0,4
BMW Vehicle Lease Trust 2017-2,2018-12-31,26763,26575,128,60,807493606.5018008,807493606.5018008,719279072.660003,1545844244.0,26763,0,0,16
BMW Vehicle Lease Trust 2017-2,2019-12-31,12890,12738,95,57,345073651.1426982,345073651.1426982,344572385.98000014,749354372.0,12890,0,0,28
BMW Vehicle Lease Trust 2018-1,2019-01-31,33014,32931,62,21,1075486304.2914982,1075486304.2914982,862285486.3899983,1928205113.23,33014,0,0,5
BMW Vehicle Lease Trust 2018-1,2020-01-31,25113,24978,74,61,719792432.194901,719792432.194901,649920441.120004,1470158980.23,25113,0,0,17
BMW Vehicle Lease Trust 2018-1,2021-01-31,9092,9024,36,32,232498653.25380036,232498653.25380036,232968470.4699987,532907150.0,9092,0,0,29
BMW Vehicle Lease Trust 2018-1,2019-02-28,32795,32692,77,26,1055811631.7495975,1055811631.7495975,856020093.090012,1915043528.23,32795,0,0,6
BMW Vehicle Lease Trust 2018-1,2020-02-29,24149,24028,76,45,685312044.4407009,685312044.4407009,624919946.8700086,1415088710.23,24149,0,0,18
BMW Vehicle Lease Trust 2018-1,2019-03-31,32416,32307,89,20,1031432208.4150954,1031432208.4150954,845037095.9100057,1892419483.23,32416,0,0,7
BMW Vehicle Lease Trust 2018-1,2020-03-31,23330,23193,84,53,654033521.4395003,654033521.4395003,602952555.4600064,1366918817.03,23330,0,0,19
