series,reporting_date,vintage_month,cum_co_amount,cnl_rate,original_balance
BMW Vehicle Lease Trust 2017-1,2017-03-31,0,6647.6839,5.698276343984431e-06,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2017-04-30,1,9773.3722,8.377560733327749e-06,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2017-05-31,2,28704.7143,2.4605170299466497e-05,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2017-06-30,3,55790.1785,4.782234822766149e-05,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2017-07-31,4,79472.4486,6.812236873295053e-05,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2017-08-31,5,81921.4067,7.022157203722303e-05,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2017-09-30,6,171445.3079,0.00014695986707395896,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2017-10-31,7,194953.2626,0.00016711046752029902,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2017-11-30,8,218726.5584,0.00018748851363583176,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2017-12-31,9,264257.1789,0.00022651655131404965,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2018-01-31,10,285088.95160000003,0.0002443731761724715,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2018-02-28,11,337482.0669,0.00028928362227560804,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2018-03-31,12,385485.2392,0.0003304310873578902,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2018-04-30,13,631117.5902,0.0005409827676236412,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2018-05-31,14,789183.5458,0.0006764740919907299,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2018-06-30,15,832258.9813999999,0.0007133975888625208,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2018-07-31,16,881658.8717,0.0007557422957598983,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2018-08-31,17,910033.2809,0.0007800643344054023,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2018-09-30,18,938705.3386,0.0008046415120484708,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2018-10-31,19,965036.8025999999,0.0008272123744226095,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2018-11-30,20,972122.1819,0.0008332858354747132,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2018-12-31,21,997131.8099,0.0008547236435516362,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2019-01-31,22,1013450.3826,0.0008687116336821537,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2019-02-28,23,1043297.6501,0.0008942961802530015,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2019-03-31,24,1089041.6108,0.0009335070893542846,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2019-04-30,25,1102662.7398,0.0009451828787459946,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2019-05-31,26,1146878.0001,0.0009830834130675203,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2019-06-30,27,1167768.6601,0.0010009905150716065,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2019-07-31,28,1224517.8105,0.0010496348769471063,1166613112.2296028
BMW Vehicle Lease Trust 2017-1,2019-08-31,29,1247215.091,0.0010690905818951002,1166613112.2296028
BMW Vehicle Lease Trust 2017-2,2017-11-30,0,37701.9577,3.454240810266898e-05,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2017-12-31,1,57887.69929999999,5.303651734098639e-05,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2018-01-31,2,75695.1733,6.935166572347123e-05,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2018-02-28,3,99622.20479999999,9.127353231021391e-05,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2018-03-31,4,157920.97999999998,0.00014468667602195694,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2018-04-30,5,211404.7051,0.00019368828686550105,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2018-05-31,6,239099.718,0.00021906236546409015,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2018-06-30,7,279340.4456,0.00025593078609540223,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2018-07-31,8,283686.6686,0.00025991278113570766,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2018-08-31,9,319329.0168,0.00029256818187267864,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2018-09-30,10,359179.5361,0.00032907909495886805,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2018-10-31,11,385208.7469,0.00035292697122031743,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2018-11-30,12,421328.2597,0.0003860195485749192,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2018-12-31,13,457388.2516,0.00041905759307913704,1091468712.5443027
BMW Vehicle Lease Trust 2017-2,2019-01-31,14,478046.0832,0.00043798422960346296,1091468712.5443027
