series,reporting_date,n_returned,n_retained,n_chargeoff,n_other,scheduled_returned,realized_returned,excess_fees_returned,cum_n_returned,cum_n_retained,cum_n_chargeoff,cum_n_other,cum_scheduled_returned,cum_realized_returned,cum_excess_fees_returned,initial_pool_balance
BMW Vehicle Lease Trust 2017-1,2017-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2017-03-31,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2017-04-30,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2017-05-31,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2017-06-30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2017-07-31,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2017-08-31,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2017-09-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2017-10-31,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2017-11-30,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2017-12-31,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2018-01-31,2657.0,854.0,65.0,6.0,73336751.94,0.0,428095.62,2657.0,854.0,65.0,51.0,73336751.94,0.0,428095.62,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2018-02-28,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2657.0,854.0,65.0,54.0,73336751.94,0.0,428095.62,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2018-03-31,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2657.0,854.0,65.0,58.0,73336751.94,0.0,428095.62,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2018-04-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2657.0,854.0,65.0,59.0,73336751.94,0.0,428095.62,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2018-05-31,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2657.0,854.0,65.0,61.0,73336751.94,0.0,428095.62,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2018-06-30,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2657.0,854.0,65.0,68.0,73336751.94,0.0,428095.62,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2018-07-31,0.0,0.0,0.0,33.0,0.0,0.0,0.0,2657.0,854.0,65.0,101.0,73336751.94,0.0,428095.62,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2018-08-31,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2657.0,854.0,65.0,105.0,73336751.94,0.0,428095.62,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2018-09-30,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2657.0,854.0,65.0,122.0,73336751.94,0.0,428095.62,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2018-10-31,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2657.0,854.0,65.0,128.0,73336751.94,0.0,428095.62,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2018-11-30,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2657.0,854.0,65.0,133.0,73336751.94,0.0,428095.62,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2018-12-31,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2657.0,854.0,65.0,141.0,73336751.94,0.0,428095.62,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2019-01-31,8453.0,857.0,102.0,21.0,228270359.85,0.0,1447435.75,11110.0,1711.0,167.0,162.0,301607111.78999996,0.0,1875531.37,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2019-02-28,995.0,70.0,6.0,6.0,27938302.05,0.0,210077.19,12105.0,1781.0,173.0,168.0,329545413.84,0.0,2085608.56,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2019-03-31,1295.0,76.0,8.0,6.0,35904401.22,0.0,273426.03,13400.0,1857.0,181.0,174.0,365449815.06,0.0,2359034.5900000003,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2019-04-30,1512.0,58.0,3.0,4.0,42431585.589999996,0.0,222988.24,14912.0,1915.0,184.0,178.0,407881400.65,0.0,2582022.83,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2019-05-31,1523.0,86.0,5.0,6.0,41996026.370000005,0.0,247162.56,16435.0,2001.0,189.0,184.0,449877427.02,0.0,2829185.39,1166613112.2295997
BMW Vehicle Lease Trust 2017-1,2019-06-30,1444.0,52.0,4.0,6.0,39716194.239999995,0.0,250688.18,17879.0,2053.0,193.0,190.0,489593621.26,0.0,3079873.5700000003,1166613112.2295997
