series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
BMW Vehicle Lease Trust 2017-1,2017-03-31,4,13,397729.25,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2017-04-30,4,4,92154.35,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2017-05-31,4,2,52079.850000000006,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2017-06-30,4,2,70385.7,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2017-07-31,4,2,43247.399999999994,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2017-08-31,4,6,197232.39999999997,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2017-09-30,4,1,21777.8,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2017-10-31,4,6,143680.25,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2017-11-30,4,6,169255.44999999998,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2017-12-31,4,3,70005.1,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2018-01-31,1,854,24622679.68,0.0,70027.84
BMW Vehicle Lease Trust 2017-1,2018-01-31,2,2657,73336751.94,0.0,428095.62
BMW Vehicle Lease Trust 2017-1,2018-01-31,3,65,1777119.21,2122603.6199999996,0.0
BMW Vehicle Lease Trust 2017-1,2018-01-31,4,6,153803.5,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2018-02-28,4,3,89397.7,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2018-03-31,4,4,85398.1,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2018-04-30,4,1,21390.35,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2018-05-31,4,2,45277.75,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2018-06-30,4,7,179032.8,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2018-07-31,4,33,925547.2300000001,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2018-08-31,4,4,91734.70000000001,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2018-09-30,4,17,406928.8,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2018-10-31,4,6,162813.05,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2018-11-30,4,5,118285.1,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2018-12-31,4,8,201282.0,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2019-01-31,1,857,23041993.4,0.0,172825.91999999998
BMW Vehicle Lease Trust 2017-1,2019-01-31,2,8453,228270359.85,0.0,1447435.75
BMW Vehicle Lease Trust 2017-1,2019-01-31,3,102,2849150.3500000006,2985909.51,0.0
BMW Vehicle Lease Trust 2017-1,2019-01-31,4,13,322627.5,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2019-01-31,98,8,245754.8,479.12,0.0
BMW Vehicle Lease Trust 2017-1,2019-02-28,1,70,1902060.8299999998,0.0,9331.89
BMW Vehicle Lease Trust 2017-1,2019-02-28,2,995,27938302.049999997,0.0,210077.19
BMW Vehicle Lease Trust 2017-1,2019-02-28,3,6,146059.0,128814.31,0.0
BMW Vehicle Lease Trust 2017-1,2019-02-28,4,6,144058.75,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2019-03-31,1,76,2060449.7000000002,0.0,18544.5
BMW Vehicle Lease Trust 2017-1,2019-03-31,2,1295,35904401.22,0.0,273426.03
BMW Vehicle Lease Trust 2017-1,2019-03-31,3,8,197662.9,172377.86,0.0
BMW Vehicle Lease Trust 2017-1,2019-03-31,4,6,132294.65,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2019-04-30,1,58,1514712.65,0.0,7860.870000000001
BMW Vehicle Lease Trust 2017-1,2019-04-30,2,1512,42431585.589999996,0.0,222988.24
BMW Vehicle Lease Trust 2017-1,2019-04-30,3,3,87144.85,75882.95999999999,0.0
BMW Vehicle Lease Trust 2017-1,2019-04-30,4,4,97321.8,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2019-05-31,1,86,2382479.1500000004,0.0,32925.399999999994
BMW Vehicle Lease Trust 2017-1,2019-05-31,2,1523,41996026.370000005,0.0,247162.56
BMW Vehicle Lease Trust 2017-1,2019-05-31,3,5,127111.4,87255.15999999999,0.0
BMW Vehicle Lease Trust 2017-1,2019-05-31,4,6,163065.6,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2019-06-30,1,52,1349054.4999999998,0.0,9860.119999999999
BMW Vehicle Lease Trust 2017-1,2019-06-30,2,1444,39716194.239999995,0.0,250688.18000000002
BMW Vehicle Lease Trust 2017-1,2019-06-30,3,4,109134.0,85787.7,0.0
BMW Vehicle Lease Trust 2017-1,2019-06-30,4,6,159490.75,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2019-07-31,1,58,1531199.8800000001,0.0,14601.949999999999
BMW Vehicle Lease Trust 2017-1,2019-07-31,2,1813,48622775.94,0.0,308779.04
BMW Vehicle Lease Trust 2017-1,2019-07-31,3,4,102931.8,76223.28,0.0
BMW Vehicle Lease Trust 2017-1,2019-07-31,4,10,275877.75,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2019-07-31,98,1,26803.4,0.0,0.0
BMW Vehicle Lease Trust 2017-1,2019-08-31,1,48,1200924.5,0.0,4048.55
BMW Vehicle Lease Trust 2017-1,2019-08-31,2,1958,52452364.03,0.0,176895.95
BMW Vehicle Lease Trust 2017-1,2019-08-31,3,5,133739.55000000002,104932.05,0.0
BMW Vehicle Lease Trust 2017-1,2019-08-31,4,5,111455.2,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2017-08-31,1,86,2447754.3999999994,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2017-08-31,2,13,339038.45,0.0,620.2
BMW Vehicle Lease Trust 2017-2,2017-10-31,4,11,293264.85000000003,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2017-11-30,4,2,65874.75,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2017-12-31,4,5,143574.95,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2018-01-31,1,318,9006576.979999999,0.0,11398.79
