series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
Ford Credit Auto Lease Trust 2017-A,2018-01-31,41361,40963,312,86,1066496896.6900076,874429361.0500007,723596740.2099983,1551418367.9100156,39405,0,1956,11
Ford Credit Auto Lease Trust 2017-A,2019-01-31,24466,24184,219,63,546627977.0499982,460820793.49999964,426527010.79000086,925108272.4700058,23404,0,1062,23
Ford Credit Auto Lease Trust 2017-A,2017-02-28,47870,47827,43,0,1415189850.8000047,1126132554.0800023,839871051.8599962,1790840200.9100184,45529,0,2341,0
Ford Credit Auto Lease Trust 2017-A,2018-02-28,40419,40058,292,69,1029831285.8899992,845914486.5599947,706343836.8000011,1516489439.9400077,38533,0,1886,12
Ford Credit Auto Lease Trust 2017-A,2019-02-28,22343,22077,220,46,494553336.8400021,417647057.22999763,390239767.4400011,845481784.6500045,21332,0,1011,24
Ford Credit Auto Lease Trust 2017-A,2017-03-31,47756,47538,211,7,1391720834.3099976,1111653287.7700033,837751134.4599981,1786422800.9100127,45421,0,2335,1
Ford Credit Auto Lease Trust 2017-A,2018-03-31,39343,38997,296,50,989757938.0100014,814918011.8199984,686826516.77,1477016778.6500063,37538,0,1805,13
Ford Credit Auto Lease Trust 2017-A,2019-03-31,20243,19991,203,49,443299492.1500021,375317384.3700002,353871701.1900006,766051424.3900033,19303,0,940,25
Ford Credit Auto Lease Trust 2017-A,2017-04-30,47590,47337,219,34,1369578600.5999992,1096041859.1599965,834587246.2099997,1779957916.740008,45267,0,2323,2
Ford Credit Auto Lease Trust 2017-A,2018-04-30,38224,37915,257,52,950288739.5599976,783751463.3299961,666722868.8100008,1435815315.0400095,36517,0,1707,14
Ford Credit Auto Lease Trust 2017-A,2019-04-30,18128,17901,177,50,392977392.9599995,334549648.4700014,317649919.49000037,686916449.810002,17257,0,871,26
Ford Credit Auto Lease Trust 2017-A,2017-05-31,47313,46995,282,36,1342705878.530003,1078624432.1700015,829846494.7600002,1770015537.010011,45002,0,2311,3
Ford Credit Auto Lease Trust 2017-A,2018-05-31,37018,36672,292,54,908958239.1500056,751040100.8999977,644931663.5899988,1391223986.6500123,35410,0,1608,15
Ford Credit Auto Lease Trust 2017-A,2019-05-31,15695,15480,177,38,337307527.39000064,288133468.6700009,275648193.3900002,596323700.0700005,14908,0,787,27
Ford Credit Auto Lease Trust 2017-A,2017-06-30,46889,46584,257,48,1313477198.6099815,1058267466.1199943,822291698.7499976,1754491772.490016,44602,0,2287,4
