series,rnk,make,model,n,pct_of_pool
Ford Credit Auto Lease Trust 2017-A,1,FORD,Escape,10733,0.22421140589095467
Ford Credit Auto Lease Trust 2017-A,2,FORD,Fusion,8620,0.18007102569458952
Ford Credit Auto Lease Trust 2017-A,3,FORD,Explorer,6428,0.13428034259452684
Ford Credit Auto Lease Trust 2017-B,1,FORD,Escape,12613,0.2390365007770155
Ford Credit Auto Lease Trust 2017-B,2,FORD,Fusion,8796,0.16669825266269947
Ford Credit Auto Lease Trust 2017-B,3,FORD,Explorer,7865,0.149054315278778
Ford Credit Auto Lease Trust 2018-A,1,FORD,Escape,12772,0.23325297684272042
Ford Credit Auto Lease Trust 2018-A,2,FORD,Fusion,9085,0.16591789027686463
Ford Credit Auto Lease Trust 2018-A,3,FORD,Explorer,8324,0.1520198699685879
Ford Credit Auto Lease Trust 2018-B,1,FORD,Escape,12023,0.23070133358917777
Ford Credit Auto Lease Trust 2018-B,2,FORD,Explorer,8625,0.16549937637916148
Ford Credit Auto Lease Trust 2018-B,3,FORD,F-150,7996,0.15342991461191596
Ford Credit Auto Lease Trust 2019-A,1,FORD,Escape,10813,0.20556643409821107
Ford Credit Auto Lease Trust 2019-A,2,FORD,F-150,8634,0.16414136613372368
Ford Credit Auto Lease Trust 2019-A,3,FORD,Explorer,8111,0.15419858938043002
Ford Credit Auto Lease Trust 2019-B,1,FORD,F-150,10278,0.20643943198023582
Ford Credit Auto Lease Trust 2019-B,2,FORD,Escape,10160,0.20406933536867053
Ford Credit Auto Lease Trust 2019-B,3,FORD,Explorer,7635,0.15335328499407475
Ford Credit Auto Lease Trust 2020-A,1,FORD,Escape,10531,0.20879927036243953
Ford Credit Auto Lease Trust 2020-A,2,FORD,F-150,8317,0.1649020540883496
Ford Credit Auto Lease Trust 2020-A,3,FORD,Explorer,7730,0.1532635419145055
Ford Credit Auto Lease Trust 2020-B,1,FORD,Escape,10911,0.18137238605006814
Ford Credit Auto Lease Trust 2020-B,2,FORD,Explorer,10270,0.17071711160610392
Ford Credit Auto Lease Trust 2020-B,3,FORD,F-150,9138,0.1518999966754214
Ford Credit Auto Lease Trust 2021-A,1,FORD,Explorer,10359,0.18128204679488302
Ford Credit Auto Lease Trust 2021-A,2,FORD,Escape,9574,0.16754458113854714
Ford Credit Auto Lease Trust 2021-A,3,FORD,F-150,8787,0.15377211556971107
Ford Credit Auto Lease Trust 2021-B,1,FORD,Explorer,11225,0.21103194149386173
Ford Credit Auto Lease Trust 2021-B,2,FORD,F-150,8228,0.15468782312797277
Ford Credit Auto Lease Trust 2021-B,3,FORD,Escape,7577,0.14244891052997688
Ford Credit Auto Lease Trust 2022-A,1,FORD,Explorer,12149,0.22854509198991685
Ford Credit Auto Lease Trust 2022-A,2,FORD,Escape,6766,0.1272809360773543
Ford Credit Auto Lease Trust 2022-A,3,FORD,F-150,6698,0.1260017306896422
Ford Credit Auto Lease Trust 2023-A,1,FORD,Explorer,24809,0.25402139968258847
Ford Credit Auto Lease Trust 2023-A,2,FORD,F-150,17546,0.17965494291711462
Ford Credit Auto Lease Trust 2023-A,3,FORD,Escape,12189,0.12480417754569191
Ford Credit Auto Lease Trust 2023-B,1,FORD,Explorer,19351,0.21626061689763076
Ford Credit Auto Lease Trust 2023-B,2,FORD,F-150,18752,0.20956638354939652
Ford Credit Auto Lease Trust 2023-B,3,FORD,Escape,9498,0.1061466249441216
Ford Credit Auto Lease Trust 2024-A,1,FORD,F-150,12529,0.23483655720497826
Ford Credit Auto Lease Trust 2024-A,2,FORD,Explorer,10015,0.18771554955765482
Ford Credit Auto Lease Trust 2024-A,3,FORD,Escape,6119,0.11469110811216074
Ford Credit Auto Lease Trust 2024-B,1,FORD,F-150,11779,0.25553193335647345
Ford Credit Auto Lease Trust 2024-B,2,FORD,Edge,6240,0.13536966331135022
Ford Credit Auto Lease Trust 2024-B,3,FORD,Escape,5747,0.12467459215550156
Ford Credit Auto Lease Trust 2025-A,1,FORD,F-150,19528,0.2398987727423496
Ford Credit Auto Lease Trust 2025-A,2,FORD,Explorer,13501,0.16585791329344848
Ford Credit Auto Lease Trust 2025-A,3,FORD,Escape,9894,0.12154641834866893
Ford Credit Auto Lease Trust 2025-B,1,FORD,F-150,10966,0.24550563055499586
Ford Credit Auto Lease Trust 2025-B,2,FORD,Explorer,6692,0.14981977746434727
Ford Credit Auto Lease Trust 2025-B,3,FORD,Mach E,4880,0.10925291602301475
Ford Credit Auto Lease Trust 2026-A,1,FORD,F-150,11167,0.2535822149556055
Ford Credit Auto Lease Trust 2026-A,2,FORD,Explorer,7121,0.1617049299452733
Ford Credit Auto Lease Trust 2026-A,3,FORD,Mach E,4991,0.11333651247814339
Ford Credit Auto Lease Two LLC,1,FORD,F-150,158918,0.17629465939824768
Ford Credit Auto Lease Two LLC,2,FORD,Explorer,155903,0.17294998857376137
Ford Credit Auto Lease Two LLC,3,FORD,Escape,150507,0.16696397073995434
