series,term_ind,n_assets,n_paired,avg_proceeds_paired,avg_base_residual_paired,avg_gain_loss,sum_proceeds_paired,sum_base_residual_paired
Ford Credit Auto Lease Trust 2017-A,1,2122,2,514.65,15065.65,-14551.0,1029.3,30131.3
Ford Credit Auto Lease Trust 2017-A,2,6146,4125,17394.730315151515,17310.25409939394,84.4762157575757,71753262.55,71404798.16
Ford Credit Auto Lease Trust 2017-A,3,200,98,16955.6643877551,15668.122959183675,1287.5414285714285,1661655.1099999999,1535476.05
Ford Credit Auto Lease Trust 2017-A,4,5,0,,,,0.0,0.0
Ford Credit Auto Lease Trust 2017-A,98,19,0,,,,0.0,0.0
Ford Credit Auto Lease Trust 2017-B,1,1070,0,,,,0.0,0.0
Ford Credit Auto Lease Trust 2017-B,2,5639,2756,16777.779818577645,17558.211230043536,-780.4314114658922,46239561.17999999,48390430.14999999
Ford Credit Auto Lease Trust 2017-B,3,100,17,17584.679411764708,17354.117647058825,230.5617647058823,298939.55000000005,295020.0
Ford Credit Auto Lease Trust 2017-B,4,5,0,,,,0.0,0.0
Ford Credit Auto Lease Trust 2017-B,98,23,0,,,,0.0,0.0
Ford Credit Auto Lease Trust 2018-A,1,2195,4,286.0,21140.5,-20854.5,1144.0,84562.0
Ford Credit Auto Lease Trust 2018-A,2,5383,3279,17499.310677035683,17326.050835620616,173.25984141506547,57380239.71000001,56812120.69
Ford Credit Auto Lease Trust 2018-A,3,152,68,18393.15544117647,15825.814705882352,2567.3407352941176,1250734.57,1076155.4
Ford Credit Auto Lease Trust 2018-A,4,5,0,,,,0.0,0.0
Ford Credit Auto Lease Trust 2018-A,98,21,0,,,,0.0,0.0
