series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
GM Financial Automobile Leasing Trust 2017-1,2017-01-31,54680,53716,964,0,1779403355.869992,1364563787.8899918,982786473.8000007,2095706394.3099997,54336,0,344,0
GM Financial Automobile Leasing Trust 2017-1,2018-01-31,48810,47330,1097,383,1389388276.9799914,1085860947.0899994,875448562.6799994,1885928868.33,48549,0,261,12
GM Financial Automobile Leasing Trust 2017-1,2019-01-31,32089,31232,595,262,809132123.3200035,646023507.7099999,584346282.830003,1261496002.02,31914,0,175,24
GM Financial Automobile Leasing Trust 2017-1,2017-02-28,54524,54242,280,2,1754196074.9700096,1348129517.760006,979819891.6999998,2089568194.31,54181,0,343,1
GM Financial Automobile Leasing Trust 2017-1,2018-02-28,48062,47385,487,190,1353009663.7300017,1059074646.3999925,862723382.8200054,1860498096.3299997,47805,0,257,13
GM Financial Automobile Leasing Trust 2017-1,2019-02-28,30619,30178,316,125,763914329.0600039,611127304.8999962,558359387.4299982,1204400747.01,30454,0,165,25
GM Financial Automobile Leasing Trust 2017-1,2017-03-31,54271,53427,818,26,1725170854.6499882,1325432758.920001,972132492.0,2080520579.31,53968,0,303,2
GM Financial Automobile Leasing Trust 2017-1,2018-03-31,46583,45366,1070,147,1297824712.5699973,1018075839.5299982,836874599.5699961,1807819967.33,46333,0,250,14
GM Financial Automobile Leasing Trust 2017-1,2019-03-31,28768,28058,592,118,706256745.4299997,567518121.639999,525159081.6799974,1133041592.01,28619,0,149,26
GM Financial Automobile Leasing Trust 2017-1,2017-04-30,53941,53600,208,133,1697285550.2499967,1306670608.4499948,966387624.0,2068949759.31,53644,0,297,3
GM Financial Automobile Leasing Trust 2017-1,2018-04-30,45470,44885,284,301,1254531062.4899993,985532335.1100049,817465157.2299967,1768094262.33,45225,0,245,15
GM Financial Automobile Leasing Trust 2017-1,2019-04-30,26765,26387,187,191,648958061.8300016,522141872.72000074,488192472.61999834,1054352087.0,26647,0,118,27
GM Financial Automobile Leasing Trust 2017-1,2017-05-31,53560,52432,966,162,1666521099.4099936,1285410573.5199935,959471887.6599969,2055214281.31,53268,0,292,4
GM Financial Automobile Leasing Trust 2017-1,2018-05-31,43894,42506,1086,302,1199975571.4800036,944018534.7700005,789569628.8899977,1711196012.3200002,43652,0,242,16
GM Financial Automobile Leasing Trust 2017-1,2019-05-31,24373,23725,474,174,583088677.080002,469645203.5399969,443836937.8199963,959792801.9999999,24271,0,102,28
GM Financial Automobile Leasing Trust 2017-1,2017-06-30,53047,52615,254,178,1631899368.5300074,1260963653.3200078,950412681.0800066,2036839396.3099995,52756,0,291,5
GM Financial Automobile Leasing Trust 2017-1,2018-06-30,42311,41694,306,311,1146125855.3900068,903084127.0300041,762027591.7799957,1653997079.3200002,42078,0,233,17
GM Financial Automobile Leasing Trust 2017-1,2019-06-30,22077,21688,193,196,521453202.9499972,420161580.9899983,400844526.1799974,868988128.6399999,21982,0,95,29
GM Financial Automobile Leasing Trust 2017-1,2017-07-31,52564,51372,982,210,1598222981.95,1237256846.5099971,941710598.9299972,2019141130.3099997,52277,0,287,6
GM Financial Automobile Leasing Trust 2017-1,2018-07-31,40684,39495,878,311,1092275995.160001,862435871.2099993,733805130.2799982,1593458444.3199997,40456,0,228,18
GM Financial Automobile Leasing Trust 2017-1,2019-07-31,19261,18671,407,183,450755996.9200003,363163768.9700006,349675041.76000017,760372918.64,19182,0,79,30
GM Financial Automobile Leasing Trust 2017-1,2017-08-31,51956,50811,924,221,1562674164.0000138,1211910112.4700048,931002829.4400022,1997768490.3099997,51671,0,285,7
GM Financial Automobile Leasing Trust 2017-1,2018-08-31,39142,38054,817,271,1039716914.9200097,822823650.6599989,706897310.1399976,1534215949.3200002,38919,0,223,19
GM Financial Automobile Leasing Trust 2017-1,2019-08-31,16117,15604,356,157,373928182.4099989,300944571.0599995,292303231.02000016,638071239.56,16057,0,60,31
GM Financial Automobile Leasing Trust 2017-1,2017-09-30,51344,50835,278,231,1529048258.1000013,1188197223.0999947,920512793.9999955,1976472668.33,51063,0,281,8
GM Financial Automobile Leasing Trust 2017-1,2018-09-30,37898,37367,252,279,996934693.9400038,790516131.7600071,685451199.6999989,1486550619.23,37682,0,216,20
GM Financial Automobile Leasing Trust 2017-1,2019-09-30,13423,13136,147,140,310450142.87999994,250217983.53000155,244818412.35000125,535546344.55999994,13373,0,50,32
