series,reporting_date,n_returned,n_retained,n_chargeoff,n_other,scheduled_returned,realized_returned,excess_fees_returned,cum_n_returned,cum_n_retained,cum_n_chargeoff,cum_n_other,cum_scheduled_returned,cum_realized_returned,cum_excess_fees_returned,initial_pool_balance
GM Financial Automobile Leasing Trust 2017-1,2017-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-02-28,25.0,98.0,20.0,13.0,479924.35,511056.63,0.0,25.0,98.0,20.0,13.0,479924.35,511056.63,0.0,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-03-31,94.0,85.0,46.0,28.0,1560251.7,1621667.6600000001,0.0,119.0,183.0,66.0,41.0,2040176.0499999998,2132724.29,0.0,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-04-30,149.0,119.0,34.0,27.0,2566430.55,2620705.92,1864.01,268.0,302.0,100.0,68.0,4606606.6,4753430.21,1864.01,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-05-31,200.0,122.0,38.0,23.0,3577479.42,3744706.9,3627.0299999999997,468.0,424.0,138.0,91.0,8184086.02,8498137.11,5491.04,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-06-30,244.0,172.0,64.0,34.0,4058503.13,4254597.529999999,4337.7,712.0,596.0,202.0,125.0,12242589.149999999,12752734.639999999,9828.74,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-07-31,244.0,153.0,53.0,29.0,4083950.0,4269042.0600000005,9006.929999999998,956.0,749.0,255.0,154.0,16326539.149999999,17021776.7,18835.67,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-08-31,335.0,176.0,64.0,32.0,5545978.550000001,5797250.2,13357.77,1291.0,925.0,319.0,186.0,21872517.7,22819026.9,32193.44,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-09-30,344.0,155.0,68.0,40.0,5752346.390000001,6073510.78,8993.26,1635.0,1080.0,387.0,226.0,27624864.09,28892537.68,41186.7,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-10-31,337.0,216.0,57.0,51.0,5763119.299999999,6028576.07,14797.64,1972.0,1296.0,444.0,277.0,33387983.39,34921113.75,55984.34,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-11-30,378.0,195.0,47.0,50.0,6328870.0,6568943.16,5764.4800000000005,2350.0,1491.0,491.0,327.0,39716853.39,41490056.91,61748.82,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-12-31,399.0,138.0,46.0,30.0,6830685.85,6929266.4399999995,7182.15,2749.0,1629.0,537.0,357.0,46547539.24,48419323.35,68930.97,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-01-31,463.0,45.0,49.0,18.0,7782082.65,8121063.899999999,22555.61,3212.0,1674.0,586.0,375.0,54329621.89,56540387.25,91486.58,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-02-28,586.0,101.0,45.0,28.0,9839244.649999999,10207434.469999999,17843.25,3798.0,1775.0,631.0,403.0,64168866.54,66747821.72,109329.83,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-03-31,955.0,418.0,71.0,43.0,15787115.79,16869942.14,23933.26,4753.0,2193.0,702.0,446.0,79955982.33,83617763.86,133263.09,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-04-30,780.0,239.0,54.0,37.0,13368502.8,14498212.780000001,23662.04,5533.0,2432.0,756.0,483.0,93324485.13,98115976.64,156925.13,1779403355.869992
