series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
GM Financial Automobile Leasing Trust 2017-1,2017-02-28,1,98,1990294.85,3408058.8600000003,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-02-28,2,25,479924.35000000003,511056.63,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-02-28,3,20,296751.00000000006,388477.53,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-02-28,98,13,200230.6,317767.4,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-03-31,1,85,1713134.72,2845658.72,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-03-31,2,94,1560251.7,1621667.6600000001,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-03-31,3,46,696098.7000000001,920328.98,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-03-31,98,28,441315.25000000006,697819.55,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-04-30,1,119,2271118.0500000003,3703443.0,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-04-30,2,149,2566430.55,2620705.92,1864.01
GM Financial Automobile Leasing Trust 2017-1,2017-04-30,3,34,529922.2,702747.0800000001,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-04-30,98,27,376696.85000000003,561445.7,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-05-31,1,122,2486168.15,4099512.27,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-05-31,2,200,3577479.42,3744706.9000000004,3627.0299999999997
GM Financial Automobile Leasing Trust 2017-1,2017-05-31,3,38,580124.6,760050.6000000001,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-05-31,98,23,296714.44999999995,431732.96,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-06-30,1,172,3576219.7,5726926.950000001,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-06-30,2,244,4058503.13,4254597.53,4337.7
GM Financial Automobile Leasing Trust 2017-1,2017-06-30,3,64,1029177.9,1310463.7999999998,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-06-30,98,34,428593.55,611392.9600000001,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-07-31,1,153,3368544.55,5439565.77,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-07-31,2,244,4083950.0,4269042.0600000005,9006.93
GM Financial Automobile Leasing Trust 2017-1,2017-07-31,3,53,734988.3999999999,922984.82,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-07-31,98,29,467713.1,626309.5299999999,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-08-31,1,176,3719916.8499999996,5987241.17,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-08-31,2,335,5545978.55,5797250.199999999,13357.77
GM Financial Automobile Leasing Trust 2017-1,2017-08-31,3,64,959813.8,1247525.21,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-08-31,98,32,462924.75,638431.23,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-09-30,1,155,3072388.5,4816188.54,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-09-30,2,344,5752346.390000001,6073510.78,8993.26
GM Financial Automobile Leasing Trust 2017-1,2017-09-30,3,68,986438.15,1234848.6199999999,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-09-30,98,40,637229.6,939573.19,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-10-31,1,216,4506117.5,7021019.91,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-10-31,2,337,5763119.300000001,6028576.07,14797.64
GM Financial Automobile Leasing Trust 2017-1,2017-10-31,3,57,911014.0,1100446.22,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-10-31,98,51,788917.0,1072196.52,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-11-30,1,195,4350858.6,6814310.68,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-11-30,2,378,6328870.0,6568943.16,5764.48
GM Financial Automobile Leasing Trust 2017-1,2017-11-30,3,47,732413.5,847024.84,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-11-30,98,50,701537.3,914706.23,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-12-31,1,138,2977472.4000000004,4661907.33,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-12-31,2,399,6830685.85,6929266.4399999995,7182.15
GM Financial Automobile Leasing Trust 2017-1,2017-12-31,3,46,779140.1,862775.69,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-12-31,98,30,461275.49999999994,637817.49,0.0
