series,reporting_date,n_returned,n_retained,n_chargeoff,n_other,scheduled_returned,realized_returned,excess_fees_returned,cum_n_returned,cum_n_retained,cum_n_chargeoff,cum_n_other,cum_scheduled_returned,cum_realized_returned,cum_excess_fees_returned,initial_pool_balance
Mercedes-Benz Auto Lease Trust 2017-A,2017-03-31,0.0,144.0,0.0,8.0,0.0,0.0,0.0,0.0,144.0,0.0,8.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2017-04-30,0.0,332.0,3.0,26.0,0.0,0.0,0.0,0.0,476.0,3.0,34.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2017-05-31,0.0,444.0,7.0,38.0,0.0,0.0,0.0,0.0,920.0,10.0,72.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2017-06-30,0.0,556.0,6.0,38.0,0.0,0.0,0.0,0.0,1476.0,16.0,110.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2017-07-31,0.0,689.0,5.0,33.0,0.0,0.0,0.0,0.0,2165.0,21.0,143.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2017-08-31,0.0,900.0,11.0,34.0,0.0,0.0,0.0,0.0,3065.0,32.0,177.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2017-09-30,0.0,954.0,1.0,46.0,0.0,0.0,0.0,0.0,4019.0,33.0,223.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2017-10-31,0.0,1162.0,8.0,53.0,0.0,0.0,0.0,0.0,5181.0,41.0,276.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2017-11-30,0.0,1066.0,7.0,51.0,0.0,0.0,0.0,0.0,6247.0,48.0,327.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2017-12-31,0.0,1065.0,5.0,23.0,0.0,0.0,0.0,0.0,7312.0,53.0,350.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2018-01-31,0.0,1332.0,12.0,37.0,0.0,0.0,0.0,0.0,8644.0,65.0,387.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2018-02-28,0.0,1077.0,13.0,40.0,0.0,0.0,0.0,0.0,9721.0,78.0,427.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2018-03-31,0.0,1343.0,10.0,29.0,0.0,0.0,0.0,0.0,11064.0,88.0,456.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2018-04-30,0.0,1423.0,13.0,44.0,0.0,0.0,0.0,0.0,12487.0,101.0,500.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2018-05-31,0.0,1524.0,10.0,25.0,0.0,0.0,0.0,0.0,14011.0,111.0,525.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2018-06-30,0.0,1425.0,12.0,40.0,0.0,0.0,0.0,0.0,15436.0,123.0,565.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2018-07-31,0.0,1323.0,11.0,24.0,0.0,0.0,0.0,0.0,16759.0,134.0,589.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2018-08-31,0.0,1605.0,9.0,27.0,0.0,0.0,0.0,0.0,18364.0,143.0,616.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2018-09-30,0.0,1457.0,7.0,30.0,0.0,0.0,0.0,0.0,19821.0,150.0,646.0,0.0,0.0,0.0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,2018-10-31,0.0,1826.0,7.0,31.0,0.0,0.0,0.0,0.0,21647.0,157.0,677.0,0.0,0.0,0.0,1967798940.3856277
