series,rnk,make,model,n,pct_of_pool
Mercedes-Benz Auto Lease Trust 2017-A,1,Mercedes-Benz,C300W4,7542,0.13371866245877806
Mercedes-Benz Auto Lease Trust 2017-A,2,Mercedes-Benz,C300W,6229,0.11043934612247792
Mercedes-Benz Auto Lease Trust 2017-A,3,Mercedes-Benz,CLA250C,2984,0.0529059253217971
Mercedes-Benz Auto Lease Trust 2018-A,1,Mercedes-Benz,C300W4,5572,0.09983337215344096
Mercedes-Benz Auto Lease Trust 2018-A,2,Mercedes-Benz,C300W,5291,0.09479870281117303
Mercedes-Benz Auto Lease Trust 2018-A,3,Mercedes-Benz,GLE350W4,3473,0.06222564635479189
Mercedes-Benz Auto Lease Trust 2018-B,1,Mercedes-Benz,C300W,2816,0.09532191456231806
Mercedes-Benz Auto Lease Trust 2018-B,2,Mercedes-Benz,C300W4,2629,0.08899194367341412
Mercedes-Benz Auto Lease Trust 2018-B,3,Mercedes-Benz,GLC300W4,1944,0.06580461715523661
Mercedes-Benz Auto Lease Trust 2019-A,1,Mercedes-Benz,C300W,3765,0.09849059565228765
Mercedes-Benz Auto Lease Trust 2019-A,2,Mercedes-Benz,C300W4,3341,0.08739895885107385
Mercedes-Benz Auto Lease Trust 2019-A,3,Mercedes-Benz,GLC300W4,2813,0.07358673189107176
Mercedes-Benz Auto Lease Trust 2019-B,1,Mercedes-Benz,GLC300W4,2505,0.07294275231494962
Mercedes-Benz Auto Lease Trust 2019-B,2,Mercedes-Benz,C300W,2456,0.07151592801817017
Mercedes-Benz Auto Lease Trust 2019-B,3,Mercedes-Benz,GLC300W,2279,0.06636188923184438
Mercedes-Benz Auto Lease Trust 2020-A,1,Mercedes-Benz,C300W,3649,0.08747872365929087
Mercedes-Benz Auto Lease Trust 2020-A,2,Mercedes-Benz,GLE350W4,3258,0.07810514707645098
Mercedes-Benz Auto Lease Trust 2020-A,3,Mercedes-Benz,C300W4,3178,0.07618727974492365
Mercedes-Benz Auto Lease Trust 2020-B,1,Mercedes-Benz,GLE350W4,4234,0.1465204000415268
Mercedes-Benz Auto Lease Trust 2020-B,2,Mercedes-Benz,GLC300W4,2423,0.0838495345537599
Mercedes-Benz Auto Lease Trust 2020-B,3,Mercedes-Benz,GLE350W,2155,0.07457521542028585
Mercedes-Benz Auto Lease Trust 2021-A,1,Mercedes-Benz,GLC300W4,2947,0.08263698053950984
Mercedes-Benz Auto Lease Trust 2021-A,2,Mercedes-Benz,GLE350W4,2505,0.07024283551118837
Mercedes-Benz Auto Lease Trust 2021-A,3,Mercedes-Benz,C300W,2418,0.06780326397846448
Mercedes-Benz Auto Lease Trust 2021-B,1,Mercedes-Benz,GLC300W4,3065,0.09288441723740833
Mercedes-Benz Auto Lease Trust 2021-B,2,Mercedes-Benz,GLE350W4,2106,0.06382204982120128
Mercedes-Benz Auto Lease Trust 2021-B,3,Mercedes-Benz,GLC300W,2091,0.06336747681677678
Mercedes-Benz Auto Lease Trust 2023-A,1,Mercedes-Benz,GLC300W4,3605,0.10302649252664971
Mercedes-Benz Auto Lease Trust 2023-A,2,Mercedes-Benz,C300W,2673,0.07639107198994027
Mercedes-Benz Auto Lease Trust 2023-A,3,Mercedes-Benz,GLE350W4,2553,0.07296161870195193
Mercedes-Benz Auto Lease Trust 2024-A,1,Mercedes-Benz,GLC300W4,2674,0.10166527260284389
Mercedes-Benz Auto Lease Trust 2024-A,2,Mercedes-Benz,GLE350W4,1875,0.07128735457379667
Mercedes-Benz Auto Lease Trust 2024-A,3,Mercedes-Benz,C300W,1673,0.06360733024104631
Mercedes-Benz Auto Lease Trust 2024-B,1,Mercedes-Benz,GLC300W4,3181,0.10787073145918817
Mercedes-Benz Auto Lease Trust 2024-B,2,Mercedes-Benz,GLE350W4,2208,0.07487537725931703
Mercedes-Benz Auto Lease Trust 2024-B,3,Mercedes-Benz,C300W4,1968,0.06673674929634779
Mercedes-Benz Auto Lease Trust 2025-A,1,Mercedes-Benz,GLC300W4,2900,0.10714153766579229
Mercedes-Benz Auto Lease Trust 2025-A,2,Mercedes-Benz,GLE350W4,1857,0.06860752946392286
Mercedes-Benz Auto Lease Trust 2025-A,3,Mercedes-Benz,C300W4,1795,0.06631691727934386
Mercedes-Benz Auto Lease Trust 2025-B,1,Mercedes-Benz,GLC300W4,2525,0.08532423208191127
Mercedes-Benz Auto Lease Trust 2025-B,2,Mercedes-Benz,GLE350W4,1726,0.05832460379143716
Mercedes-Benz Auto Lease Trust 2025-B,3,Mercedes-Benz,C300W4,1712,0.057851518940289934
Mercedes-Benz Auto Lease Trust 2026-A,1,Mercedes-Benz,GLC350E4,2153,0.07554651040387382
Mercedes-Benz Auto Lease Trust 2026-A,2,Mercedes-Benz,GLC300W4,1847,0.06480929155408961
Mercedes-Benz Auto Lease Trust 2026-A,3,Mercedes-Benz,GLS450W4,1674,0.0587389031194077
