series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
Nissan Auto Lease Trust 2017-A,2018-01-31,67539,66710,601,228,1585755032.35,1250023204.309992,956030245.7100054,2142281800.5300002,67253,0,286,8
Nissan Auto Lease Trust 2017-A,2019-01-31,46366,45624,539,203,937794164.5200005,755571321.1300063,670886692.4799994,1492443813.66,46158,0,208,20
Nissan Auto Lease Trust 2017-A,2018-02-28,66965,66434,384,147,1549947721.3599906,1224005184.2699957,948561420.5100019,2125236330.5300002,66682,0,283,9
Nissan Auto Lease Trust 2017-A,2019-02-28,42837,42366,346,125,861059637.8300054,694862182.3499938,623115787.2900021,1385441110.0500002,42639,0,198,21
Nissan Auto Lease Trust 2017-A,2018-03-31,66142,65462,567,113,1509198867.9600112,1193902246.8000033,937571518.2600063,2100353305.5300002,65864,0,278,10
Nissan Auto Lease Trust 2017-A,2019-03-31,38597,37970,517,110,773171671.7700008,624923924.81,565289656.7299988,1256627744.1,38411,0,186,22
Nissan Auto Lease Trust 2017-A,2018-04-30,65318,64913,263,142,1469364798.8400095,1164434572.7800026,926681396.060003,2075531090.5300002,65045,0,273,11
Nissan Auto Lease Trust 2017-A,2019-04-30,34332,34005,193,134,685268675.3000009,554996035.4199983,506275427.3199983,1125003797.1,34152,0,180,23
Nissan Auto Lease Trust 2017-A,2017-05-31,70867,70867,0,0,1860698827.4300125,1444959096.9399927,1000357667.4099996,2243338753.0,70556,0,311,0
Nissan Auto Lease Trust 2017-A,2018-05-31,64249,63538,570,141,1425525271.6600044,1131602564.3299952,912536711.0599998,2043394113.53,63979,0,270,12
Nissan Auto Lease Trust 2017-A,2019-05-31,30103,29622,357,124,600023468.599999,486986706.19000083,448007404.0899989,995184802.1,29933,0,170,24
Nissan Auto Lease Trust 2017-A,2017-06-30,70567,70367,200,0,1827942369.6799874,1422276966.099994,996310163.6100018,2234114052.9999995,70259,0,308,1
Nissan Auto Lease Trust 2017-A,2018-06-30,63003,62494,318,191,1378860809.1600065,1096488855.7600074,895743063.6000063,2005291261.5300002,62740,0,263,13
Nissan Auto Lease Trust 2017-A,2019-06-30,26399,26042,206,151,524333043.39000344,426661343.9100016,396124807.13999873,879568732.1,26240,0,159,25
Nissan Auto Lease Trust 2017-A,2017-07-31,70272,69608,569,95,1795603637.7599933,1399784136.1799946,992317784.3600013,2225028913.0,69969,0,303,2
Nissan Auto Lease Trust 2017-A,2018-07-31,61511,60735,583,193,1328396327.6799958,1058198600.8300015,875580071.8499999,1959444636.53,61254,0,257,14
Nissan Auto Lease Trust 2017-A,2019-07-31,22613,22216,273,124,448523391.6300023,366095385.0399963,342923704.18999803,760255534.1,22466,0,147,26
Nissan Auto Lease Trust 2017-A,2017-08-31,69887,69164,566,157,1761317644.8500082,1375672582.4399984,987158685.1600053,2213270412.0,69586,0,301,3
Nissan Auto Lease Trust 2017-A,2018-08-31,59615,58858,565,192,1271721558.760007,1014875496.8300042,850421308.1000057,1901823130.0700002,59364,0,251,15
Nissan Auto Lease Trust 2017-A,2019-08-31,19081,18700,246,135,378293488.1400027,309626865.04000014,292723320.0100006,647316994.1,18941,0,140,27
Nissan Auto Lease Trust 2017-A,2017-09-30,69546,69043,344,159,1728280609.139997,1352444074.4499984,982580095.1100051,2202753852.0,69250,0,296,4
Nissan Auto Lease Trust 2017-A,2018-09-30,57709,57156,361,192,1215497326.800011,971859195.3000016,824538055.7000012,1842436443.07,57468,0,241,16
Nissan Auto Lease Trust 2017-A,2019-09-30,15734,15481,147,106,311987537.88999885,256298267.08999845,244532843.74000064,538809464.1,15608,0,126,28
Nissan Auto Lease Trust 2017-A,2017-10-31,69074,68266,670,138,1692420659.6500063,1326837450.159999,976229676.5499952,2188352882.0,68781,0,293,5
Nissan Auto Lease Trust 2017-A,2018-10-31,55327,54523,628,176,1152203111.7599943,923154860.2399997,792757398.7800038,1769133251.0700002,55092,0,235,17
Nissan Auto Lease Trust 2017-A,2019-10-31,12246,11962,200,84,243552548.97999996,200890702.6499999,193236217.89000016,423890043.1,12136,0,110,29
Nissan Auto Lease Trust 2017-A,2017-11-30,68591,68026,372,193,1657075784.75001,1301573304.8400013,969965504.6800065,2173919623.0,68300,0,291,6
Nissan Auto Lease Trust 2017-A,2018-11-30,52686,52181,320,185,1085265115.180001,871234019.440002,757026345.5100027,1687313439.0700002,52461,0,225,18
Nissan Auto Lease Trust 2017-A,2017-12-31,68141,67064,859,218,1622980790.329999,1277100542.6700065,964101332.4199978,2160576384.53,67852,0,289,7
Nissan Auto Lease Trust 2017-A,2018-12-31,49923,49107,617,199,1017131298.6400043,818050707.7700028,718965397.9600006,1600968450.21,49704,0,219,19
Nissan Auto Lease Trust 2017-B,2018-01-31,70047,69347,545,155,1753424207.9499965,1388384934.3699965,1018563209.5200019,2269476412.6600003,69616,0,431,5
Nissan Auto Lease Trust 2017-B,2019-01-31,57243,56479,596,168,1223697577.5900044,990431913.8700013,846495618.140002,1884144449.3200002,56992,0,251,17
Nissan Auto Lease Trust 2017-B,2020-01-31,18640,18325,196,119,375923028.500002,312641426.99000037,296655064.38999933,654291804.95,18581,0,59,29
Nissan Auto Lease Trust 2017-B,2018-02-28,69641,69102,417,122,1718894484.9900007,1363762888.6100051,1013091889.3200063,2257243772.6600003,69215,0,426,6
Nissan Auto Lease Trust 2017-B,2019-02-28,54761,54142,459,160,1161133887.0299957,941228803.1300014,813435539.9899956,1810849271.3200002,54541,0,220,18
Nissan Auto Lease Trust 2017-B,2020-02-29,16307,16086,139,82,324495814.1400004,270357345.1800009,259287281.32999933,572662269.95,16261,0,46,30
Nissan Auto Lease Trust 2017-B,2018-03-31,69141,68573,471,97,1682884802.84,1337810177.4900036,1006411478.1199946,2242317421.6600003,68726,0,415,7
Nissan Auto Lease Trust 2017-B,2019-03-31,51419,50756,523,140,1084775279.6499903,880375273.1999964,768281439.4899998,1711295202.3200002,51231,0,188,19
Nissan Auto Lease Trust 2017-B,2020-03-31,13126,12885,175,66,259044532.67999974,215864371.1099993,208794744.3700002,463157604.0,13098,0,28,31
Nissan Auto Lease Trust 2017-B,2018-04-30,68620,68116,377,127,1646899701.0299842,1311703306.3600068,999514889.1200049,2226882636.6600003,68220,0,400,8
Nissan Auto Lease Trust 2017-B,2019-04-30,47667,47134,373,160,1002211072.4499995,814308077.2199998,716973998.1399978,1598279299.3200002,47518,0,149,20
Nissan Auto Lease Trust 2017-B,2018-05-31,67974,67312,514,148,1608214536.949997,1283359010.9399924,990721644.4699967,2207252746.6600003,67583,0,391,9
Nissan Auto Lease Trust 2017-B,2019-05-31,43317,42778,396,143,910751785.2499939,740854740.4899967,656862151.359996,1465659212.3200002,43193,0,124,21
Nissan Auto Lease Trust 2017-B,2018-06-30,67297,66696,443,158,1569786902.4299872,1255020870.069991,981611805.3200018,2187012722.66,66920,0,377,10
Nissan Auto Lease Trust 2017-B,2019-06-30,39472,39001,348,123,828935074.1999922,675321664.6600037,603203308.1699942,1346792249.7900002,39360,0,112,22
Nissan Auto Lease Trust 2017-B,2018-07-31,66497,65708,640,149,1529426335.10999,1224964373.7200098,970828752.9100003,2162993613.6600003,66135,0,362,11
Nissan Auto Lease Trust 2017-B,2019-07-31,35444,34908,408,128,744783812.1500034,607853340.5299945,546497768.4099967,1220345167.79,35342,0,102,23
Nissan Auto Lease Trust 2017-B,2017-08-31,71721,71721,0,0,1921433276.6099882,1506036234.5899854,1041063083.569999,2319961344.78,71245,0,476,0
Nissan Auto Lease Trust 2017-B,2018-08-31,65548,64780,567,201,1487119969.139987,1193238765.7500005,958212717.5500013,2134809725.66,65196,0,352,12
Nissan Auto Lease Trust 2017-B,2019-08-31,31871,31325,373,173,669801949.949994,547999933.8700024,496179658.8599962,1106981257.79,31777,0,94,24
Nissan Auto Lease Trust 2017-B,2017-09-30,71484,71083,395,6,1889581046.7099895,1484126013.590006,1037817469.7700075,2312737324.78,71020,0,464,1
Nissan Auto Lease Trust 2017-B,2018-09-30,64531,63781,526,224,1443933738.8899937,1160703001.679993,944497013.0500036,2104067064.6600003,64188,0,343,13
Nissan Auto Lease Trust 2017-B,2019-09-30,28656,28217,291,148,600753775.1099993,493139964.97000206,449957107.0599969,1001754348.79,28566,0,90,25
Nissan Auto Lease Trust 2017-B,2017-10-31,71139,70517,554,68,1855450374.9400022,1460318288.8599977,1033195414.8199973,2302366374.78,70684,0,455,2
Nissan Auto Lease Trust 2017-B,2018-10-31,63056,62273,601,182,1393545173.229993,1122129217.2399957,924934352.0500004,2060098514.6600003,62737,0,319,14
Nissan Auto Lease Trust 2017-B,2019-10-31,25621,25183,297,141,534646985.5499991,440191960.79000026,405008726.32999796,898632199.79,25539,0,82,26
Nissan Auto Lease Trust 2017-B,2017-11-30,70809,70258,412,139,1822075547.4899998,1436978959.520013,1028847607.7200015,2292518349.78,70361,0,448,3
Nissan Auto Lease Trust 2017-B,2018-11-30,61445,60828,444,173,1341808986.4999733,1082386039.2900012,903513996.3000017,2011897240.66,61134,0,311,15
Nissan Auto Lease Trust 2017-B,2019-11-30,23394,23040,220,134,484154249.9599996,400140467.9600021,371908276.87999606,822419531.79,23322,0,72,27
Nissan Auto Lease Trust 2017-B,2017-12-31,70465,69579,729,157,1788699566.4800112,1413506475.2400105,1024370845.070003,2282480224.83,70024,0,441,4
Nissan Auto Lease Trust 2017-B,2018-12-31,59586,58774,649,163,1286187113.6899962,1039357339.019999,878226810.8199941,1955095324.66,59302,0,284,16
Nissan Auto Lease Trust 2017-B,2019-12-31,21117,20724,274,119,431661031.1400025,358127110.3300026,336324535.0899969,741975464.9,21050,0,67,28
Nissan Auto Lease Trust 2018-A,2019-01-31,42428,42027,305,96,1067587643.9499933,844232191.3299984,605550381.0999854,1401922818.03,42279,0,149,4
Nissan Auto Lease Trust 2018-A,2020-01-31,33184,32770,302,112,709086282.9899969,573068156.0400015,476362248.49999744,1106227619.0,33083,0,101,16
Nissan Auto Lease Trust 2018-A,2021-01-31,11247,11039,136,72,213400532.62000015,176907706.0199996,166694588.7000029,383647930.0,11215,0,32,28
Nissan Auto Lease Trust 2018-A,2019-02-28,42205,41996,153,56,1046542862.8499988,829181911.5999986,602595133.0499943,1394880889.03,42057,0,148,5
Nissan Auto Lease Trust 2018-A,2021-02-28,9343,9207,97,39,175833495.3600004,146025352.57000008,138986388.09999934,319128580.0,9319,0,24,29
Nissan Auto Lease Trust 2018-A,2020-02-29,31729,31489,178,62,669576102.1799994,541743715.3300034,455022142.0500014,1058884703.0,31638,0,91,17
