series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
Nissan Auto Lease Trust 2017-A,2017-06-30,1,242,3295281.5999999996,4289477.41,0.0
Nissan Auto Lease Trust 2017-A,2017-06-30,2,48,626021.2000000001,202249.88,755.8299999999999
Nissan Auto Lease Trust 2017-A,2017-06-30,3,10,126201.0,0.0,0.0
Nissan Auto Lease Trust 2017-A,2017-07-31,1,218,3002517.95,4075899.63,0.0
Nissan Auto Lease Trust 2017-A,2017-07-31,2,65,823505.7000000001,287787.56,4544.7300000000005
Nissan Auto Lease Trust 2017-A,2017-07-31,3,11,141854.0,635.89,0.0
Nissan Auto Lease Trust 2017-A,2017-07-31,98,1,24501.6,0.0,0.0
Nissan Auto Lease Trust 2017-A,2017-08-31,1,253,3510900.8000000003,4600542.6,0.0
Nissan Auto Lease Trust 2017-A,2017-08-31,2,67,793961.9,260834.72000000003,2917.53
Nissan Auto Lease Trust 2017-A,2017-08-31,3,47,629506.2500000001,11682.24,0.0
Nissan Auto Lease Trust 2017-A,2017-09-30,1,216,3065029.15,3726628.5700000003,0.0
Nissan Auto Lease Trust 2017-A,2017-09-30,2,60,717976.2000000001,209463.27000000002,3381.73
Nissan Auto Lease Trust 2017-A,2017-09-30,3,46,559982.5,3394.3300000000004,0.0
Nissan Auto Lease Trust 2017-A,2017-09-30,98,6,64583.75000000001,31969.58,0.0
Nissan Auto Lease Trust 2017-A,2017-10-31,1,279,3990036.1500000004,4641693.859999999,0.0
Nissan Auto Lease Trust 2017-A,2017-10-31,2,106,1306128.5999999999,478277.1599999999,7372.74
Nissan Auto Lease Trust 2017-A,2017-10-31,3,51,631912.9099999999,10995.18,0.0
Nissan Auto Lease Trust 2017-A,2017-10-31,98,8,80085.8,40041.25,0.0
Nissan Auto Lease Trust 2017-A,2017-11-30,1,280,3786889.0,5034188.76,0.0
Nissan Auto Lease Trust 2017-A,2017-11-30,2,121,1505256.8,438942.31000000006,4515.08
Nissan Auto Lease Trust 2017-A,2017-11-30,3,37,429951.32,4914.05,0.0
Nissan Auto Lease Trust 2017-A,2017-11-30,98,4,52630.0,8843.449999999999,0.0
