series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
Volkswagen Auto Lease Trust 2019-A,2021-01-29,47681,47233,304,144,1222594500.1873019,993446194.1374984,798825110.0399953,1867843646.0,47301,0,380,17
Volkswagen Auto Lease Trust 2019-A,2020-01-31,58325,57879,323,123,1711409278.4021044,1401187882.2311053,968633889.205,2267368801.0,57874,0,451,5
Volkswagen Auto Lease Trust 2019-A,2022-01-31,19850,19651,143,56,451040066.17549783,366073968.0779993,335441805.18500245,787594387.0,19708,0,142,29
Volkswagen Auto Lease Trust 2019-A,2021-02-26,46198,45823,253,122,1171663559.7915976,951375499.7370986,773216799.979998,1809349055.0,45829,0,369,18
Volkswagen Auto Lease Trust 2019-A,2020-02-28,57916,57531,271,114,1680719061.361194,1376208314.3268967,962988603.9400005,2253204264.0,57468,0,448,6
Volkswagen Auto Lease Trust 2019-A,2022-02-28,17669,17510,106,53,395985822.6881975,320699967.9534987,296895986.2250011,698627676.0,17547,0,122,30
Volkswagen Auto Lease Trust 2019-A,2020-03-31,57475,56982,358,135,1646704963.3140237,1347385877.3320165,956646831.8799981,2237583046.0,57031,0,444,7
Volkswagen Auto Lease Trust 2019-A,2021-03-31,43771,43447,227,97,1096696181.5574887,888755613.3622953,732395409.1149968,1715798006.0,43416,0,355,19
Volkswagen Auto Lease Trust 2019-A,2020-04-30,57175,56408,605,162,1619239688.2222922,1324250484.3337908,952469486.3549995,2227196466.0,56733,0,442,8
Volkswagen Auto Lease Trust 2019-A,2021-04-30,41519,41255,184,80,1028954544.8338917,832932164.2810059,694136269.8399998,1628006178.0,41181,0,338,20
Volkswagen Auto Lease Trust 2019-A,2020-05-29,56751,56390,226,135,1590091531.1452012,1300102839.9713054,946099616.3349905,2211774832.0,56312,0,439,9
Volkswagen Auto Lease Trust 2019-A,2021-05-31,39163,38861,226,76,960030391.2685951,776649050.2781,654135878.0700045,1536004333.0,38853,0,310,21
Volkswagen Auto Lease Trust 2019-A,2020-06-30,55942,55563,245,134,1550649365.5255945,1267078957.048099,933851748.5250013,2182494457.0,55507,0,435,10
Volkswagen Auto Lease Trust 2019-A,2021-06-30,36785,36476,220,89,892734337.8281963,721862463.8339946,614969132.910001,1444818258.0,36493,0,292,22
Volkswagen Auto Lease Trust 2019-A,2021-07-30,34519,34204,215,100,829045042.6125026,670587291.2150954,577583829.0700042,1356948679.0,34251,0,268,23
