series,rnk,make,model,n,pct_of_pool
Volkswagen Auto Lease Trust 2019-A,1,VOLKSWAGEN,TIGUAN,15727,0.2627165360907405
Volkswagen Auto Lease Trust 2019-A,2,VOLKSWAGEN,JETTA,10512,0.1756009555150928
Volkswagen Auto Lease Trust 2019-A,3,AUDI,Q5,7680,0.12829293553614085
Volkswagen Auto Lease Trust 2020-A,1,VOLKSWAGEN,TIGUAN,9866,0.23641330393942298
Volkswagen Auto Lease Trust 2020-A,2,VOLKSWAGEN,JETTA,7568,0.181347646889677
Volkswagen Auto Lease Trust 2020-A,3,AUDI,Q5,6020,0.14425381002587942
Volkswagen Auto Lease Trust 2022-A,1,VOLKSWAGEN,TIGUAN,10124,0.2484356212117494
Volkswagen Auto Lease Trust 2022-A,2,VOLKSWAGEN,ATLAS,7188,0.17638830948933767
Volkswagen Auto Lease Trust 2022-A,3,AUDI,Q5,5338,0.13099065053618317
Volkswagen Auto Lease Trust 2023-A,1,VOLKSWAGEN,TIGUAN,13860,0.2306693738974137
Volkswagen Auto Lease Trust 2023-A,2,VOLKSWAGEN,ATLAS,10005,0.16651133375495122
Volkswagen Auto Lease Trust 2023-A,3,AUDI,Q5,9611,0.15995406583896415
Volkswagen Auto Lease Trust 2024-A,1,VOLKSWAGEN,ATLAS,10101,0.18977210814060533
Volkswagen Auto Lease Trust 2024-A,2,AUDI,Q5,9051,0.17004527777255904
Volkswagen Auto Lease Trust 2024-A,3,VOLKSWAGEN,TIGUAN,8438,0.1585285663291187
Volkswagen Auto Lease Trust 2025-A,1,VOLKSWAGEN,TIGUAN,10363,0.2238035590877678
Volkswagen Auto Lease Trust 2025-A,2,VOLKSWAGEN,ATLAS,8622,0.18620421561852107
Volkswagen Auto Lease Trust 2025-A,3,VOLKSWAGEN,TAOS,6493,0.14022546648237733
Volkswagen Auto Lease Trust 2025-B,1,VOLKSWAGEN,TIGUAN,11377,0.2071671795618843
Volkswagen Auto Lease Trust 2025-B,2,VOLKSWAGEN,ATLAS,10311,0.18775606824844765
Volkswagen Auto Lease Trust 2025-B,3,VOLKSWAGEN,TAOS,7923,0.1442722654187228
Volkswagen Auto Lease Trust 2026-A,1,VOLKSWAGEN,TIGUAN,12213,0.20306602597143475
Volkswagen Auto Lease Trust 2026-A,2,VOLKSWAGEN,ATLAS,10083,0.1676504331343631
Volkswagen Auto Lease Trust 2026-A,3,AUDI,Q5,6936,0.11532514174550654
