series,reporting_date,vintage_month,cum_co_amount,cnl_rate,original_balance
World Omni Automobile Lease Securitization Trust 2017-A,2017-02-28,0,37705.07,3.7407539408605215e-05,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2017-03-31,1,306047.97,0.00030363294641008823,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2017-04-30,2,1027276.94,0.0010191707008262117,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2017-05-31,3,1890952.24,0.0018760307416904492,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2017-06-30,4,3291987.2800000003,0.003266010218499186,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2017-07-31,5,4470589.28,0.004435311873742391,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2017-08-31,6,6080068.450000001,0.006032090648562441,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2017-09-30,7,7359217.28,0.007301145719079383,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2017-10-31,8,8946653.31,0.008876055296249371,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2017-11-30,9,10299156.22,0.01021788560994666,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2017-12-31,10,11399552.120000001,0.011309598289284416,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2018-01-31,11,12758573.18,0.012657895318280103,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2018-02-28,12,14664391.98,0.014548675307991319,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2018-03-31,13,16457857.82,0.016327988914564315,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2018-04-30,14,17494906.7,0.017356854445042043,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2018-05-31,15,19693546.75,0.019538145033170185,1007953760.0200013
World Omni Automobile Lease Securitization Trust 2017-A,2018-06-30,16,21095876.71,0.020929409211769185,1007953760.0200013
