series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
World Omni Automobile Lease Securitization Trust 2017-A,2018-01-31,1,1506,30579708.55,4165091.22,0.0
World Omni Automobile Lease Securitization Trust 2017-A,2018-01-31,2,180,2782487.79,3272012.14,25228.940000000002
World Omni Automobile Lease Securitization Trust 2017-A,2018-01-31,3,452,6886575.130000001,7687684.140000001,0.0
World Omni Automobile Lease Securitization Trust 2017-A,2018-01-31,98,232,3362192.47,4207689.71,0.0
World Omni Automobile Lease Securitization Trust 2017-A,2019-01-31,1,2198,45021264.76,0.0,0.0
World Omni Automobile Lease Securitization Trust 2017-A,2019-01-31,2,1585,21667051.98,23344773.21,212386.11000000002
World Omni Automobile Lease Securitization Trust 2017-A,2019-01-31,3,503,7833100.609999999,8103200.0,0.0
World Omni Automobile Lease Securitization Trust 2017-A,2019-01-31,98,241,3467799.0199999996,4002305.46,0.0
World Omni Automobile Lease Securitization Trust 2017-A,2020-01-31,1,4348,84138098.84,0.0,0.0
World Omni Automobile Lease Securitization Trust 2017-A,2020-01-31,2,17472,263833974.15,262163197.4,2700832.59
World Omni Automobile Lease Securitization Trust 2017-A,2020-01-31,3,369,5890031.039999999,5490401.02,0.0
World Omni Automobile Lease Securitization Trust 2017-A,2020-01-31,98,144,2186088.89,2123647.49,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2019-01-31,1,2216,46310082.980000004,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2019-01-31,2,453,6886472.41,7579948.23,107166.65
World Omni Automobile Lease Securitization Trust 2018-A,2019-01-31,3,489,8243268.32,9252712.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2019-01-31,98,231,3521503.1100000003,4494996.72,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-01-31,1,3508,72851474.36000001,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-01-31,2,4980,78307719.48,83529724.19,1004666.47
World Omni Automobile Lease Securitization Trust 2018-A,2020-01-31,3,557,9671946.809999999,9615916.67,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-01-31,98,228,3498812.3200000003,4031474.8,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-02-29,1,401,7675207.220000001,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-02-29,2,1359,22272397.18,23905922.520000003,300796.07
World Omni Automobile Lease Securitization Trust 2018-A,2020-02-29,3,34,574037.73,611650.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-02-29,98,17,311684.26,355966.36,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-03-31,1,542,10686047.44,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-03-31,2,1853,31007332.299999997,31262953.83,330667.26
World Omni Automobile Lease Securitization Trust 2018-A,2020-03-31,3,28,490548.2899999999,447225.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-03-31,98,14,228654.63,201948.48,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-04-30,1,368,7379290.59,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-04-30,2,1699,28977466.58,29596516.5,269048.56999999995
World Omni Automobile Lease Securitization Trust 2018-A,2020-04-30,3,26,447661.36,421300.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-04-30,98,15,251961.07,157462.93,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-05-31,1,343,6973910.16,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-05-31,2,1871,31632557.08,34640457.75,366684.5
World Omni Automobile Lease Securitization Trust 2018-A,2020-05-31,3,16,319827.78,347500.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-05-31,98,4,80111.64,39754.18,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-06-30,1,467,9242728.64,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-06-30,2,2152,35537561.06,41747714.25,329962.93000000005
World Omni Automobile Lease Securitization Trust 2018-A,2020-06-30,3,20,338776.55,376500.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-06-30,98,30,526917.59,115234.70999999999,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-07-31,1,675,13757305.780000001,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-07-31,2,1733,27901555.41,33574430.68,267663.76999999996
World Omni Automobile Lease Securitization Trust 2018-A,2020-07-31,3,14,267710.06,335100.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-07-31,98,23,397095.41000000003,88732.15,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-08-31,1,848,17533362.95,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-08-31,2,1360,22321145.6,25636725.810000002,140816.47999999998
World Omni Automobile Lease Securitization Trust 2018-A,2020-08-31,3,29,507311.18,518650.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-08-31,98,8,137360.12,57418.61,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-09-30,1,892,18239838.22,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-09-30,2,1277,20671577.61,20091308.88,106347.91
World Omni Automobile Lease Securitization Trust 2018-A,2020-09-30,3,20,388162.14,264550.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-09-30,98,11,191989.81000000003,11710.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-10-31,1,675,14527201.719999999,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-10-31,2,967,15947691.259999998,3424258.4299999997,21482.61
World Omni Automobile Lease Securitization Trust 2018-A,2020-10-31,3,17,355841.6,97400.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-10-31,98,8,158301.8,31337.47,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2019-01-31,1,835,16928509.41,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2019-01-31,2,110,2090076.37,2390662.3600000003,25054.53
World Omni Automobile Lease Securitization Trust 2018-B,2019-01-31,3,219,3712905.8900000006,4427925.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2019-01-31,98,122,1912886.8800000001,3671819.5,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2020-01-31,1,2489,50978208.36,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2020-01-31,2,880,14744848.48,16142963.85,200924.01
World Omni Automobile Lease Securitization Trust 2018-B,2020-01-31,3,647,11001186.760000002,11402281.33,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2020-01-31,98,254,3870118.21,4609096.98,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-01-31,1,6598,135460711.23999998,0.0,0.0
