series,reporting_period_end_date,lease_count_current,lease_count_30_59,lease_count_60_plus,balance
World Omni Automobile Lease Securitization Trust 2017-A,01-31-2017,32504,18,0,1007953760.0199964
World Omni Automobile Lease Securitization Trust 2017-A,01-31-2018,29961,267,73,811220361.279993
World Omni Automobile Lease Securitization Trust 2017-A,01-31-2019,25662,278,102,589194195.3700027
World Omni Automobile Lease Securitization Trust 2017-A,01-31-2020,4410,89,38,107177842.93999955
World Omni Automobile Lease Securitization Trust 2017-A,02-28-2017,32348,99,2,994626156.7499969
World Omni Automobile Lease Securitization Trust 2017-A,02-28-2018,29802,199,51,793880047.5900003
World Omni Automobile Lease Securitization Trust 2017-A,02-28-2019,25172,222,61,568151564.339999
World Omni Automobile Lease Securitization Trust 2017-A,03-31-2017,32217,130,14,980233392.1299989
World Omni Automobile Lease Securitization Trust 2017-A,03-31-2018,29461,247,49,775422486.0899969
World Omni Automobile Lease Securitization Trust 2017-A,03-31-2019,24401,296,48,544647585.979999
World Omni Automobile Lease Securitization Trust 2017-A,04-30-2017,32085,113,31,965548413.9000043
World Omni Automobile Lease Securitization Trust 2017-A,04-30-2018,29327,144,65,758889785.4100025
World Omni Automobile Lease Securitization Trust 2017-A,04-30-2019,23592,178,79,518147920.47000015
World Omni Automobile Lease Securitization Trust 2017-A,05-31-2017,31819,198,37,948525457.1400026
World Omni Automobile Lease Securitization Trust 2017-A,05-31-2018,28898,229,51,739588052.6
World Omni Automobile Lease Securitization Trust 2017-A,05-31-2019,22347,247,79,487047225.9699986
World Omni Automobile Lease Securitization Trust 2017-A,06-30-2017,31670,137,45,930991022.820004
World Omni Automobile Lease Securitization Trust 2017-A,06-30-2018,28586,185,73,721390453.6900012
World Omni Automobile Lease Securitization Trust 2017-A,06-30-2019,20759,194,94,448313925.93000185
World Omni Automobile Lease Securitization Trust 2017-A,07-31-2017,31379,222,58,914023983.6999986
World Omni Automobile Lease Securitization Trust 2017-A,07-31-2018,28143,265,85,702823564.000003
World Omni Automobile Lease Securitization Trust 2017-A,07-31-2019,18261,238,89,394719118.1500006
World Omni Automobile Lease Securitization Trust 2017-A,08-31-2017,31104,265,61,896323174.8899962
World Omni Automobile Lease Securitization Trust 2017-A,08-31-2018,27744,251,86,682912648.5700059
World Omni Automobile Lease Securitization Trust 2017-A,08-31-2019,15656,185,82,338124376.71999997
World Omni Automobile Lease Securitization Trust 2017-A,09-30-2017,30982,176,75,879982553.56001
World Omni Automobile Lease Securitization Trust 2017-A,09-30-2018,27444,221,83,666023805.3699974
World Omni Automobile Lease Securitization Trust 2017-A,09-30-2019,13486,159,68,292096744.42000055
World Omni Automobile Lease Securitization Trust 2017-A,10-31-2017,30664,265,63,862459510.4999981
World Omni Automobile Lease Securitization Trust 2017-A,10-31-2018,26905,287,82,644722353.2500012
World Omni Automobile Lease Securitization Trust 2017-A,10-31-2019,10934,163,66,240206109.93999884
World Omni Automobile Lease Securitization Trust 2017-A,11-30-2017,30528,180,72,846002868.700001
World Omni Automobile Lease Securitization Trust 2017-A,11-30-2018,26573,214,93,626400745.1999986
World Omni Automobile Lease Securitization Trust 2017-A,11-30-2019,8938,105,62,197971903.47999996
World Omni Automobile Lease Securitization Trust 2017-A,12-31-2017,30164,319,68,828920866.7100034
World Omni Automobile Lease Securitization Trust 2017-A,12-31-2018,26117,291,123,609321318.1500052
World Omni Automobile Lease Securitization Trust 2017-A,12-31-2019,6629,126,47,151979806.84999976
World Omni Automobile Lease Securitization Trust 2018-A,01-31-2018,37098,32,4,1166256967.6199918
World Omni Automobile Lease Securitization Trust 2018-A,01-31-2019,33460,308,104,914282496.2600026
World Omni Automobile Lease Securitization Trust 2018-A,01-31-2020,25709,291,113,599418432.8999975
World Omni Automobile Lease Securitization Trust 2018-A,02-28-2018,36905,116,1,1149385791.620009
World Omni Automobile Lease Securitization Trust 2018-A,02-28-2019,33265,214,83,894265775.0999986
World Omni Automobile Lease Securitization Trust 2018-A,02-29-2020,23846,242,83,551359301.6400017
