series,rnk,make,model,n,pct_of_pool
World Omni Automobile Lease Securitization Trust 2017-A,1,TOYOTA,COROLLA,7120,0.2189287251706537
World Omni Automobile Lease Securitization Trust 2017-A,2,TOYOTA,CAMRY,6471,0.19897300289035114
World Omni Automobile Lease Securitization Trust 2017-A,3,TOYOTA,RAV4,6156,0.18928725170653712
World Omni Automobile Lease Securitization Trust 2018-A,1,TOYOTA,RAV4,7003,0.18858727850487425
World Omni Automobile Lease Securitization Trust 2018-A,2,TOYOTA,COROLLA,6392,0.17213335487693218
World Omni Automobile Lease Securitization Trust 2018-A,3,TOYOTA,CAMRY,6180,0.16642430117951204
World Omni Automobile Lease Securitization Trust 2018-B,1,TOYOTA,RAV4,7464,0.20099636461559175
World Omni Automobile Lease Securitization Trust 2018-B,2,TOYOTA,CAMRY,7407,0.19946142453211257
World Omni Automobile Lease Securitization Trust 2018-B,3,TOYOTA,COROLLA,5599,0.1507742022350882
World Omni Automobile Lease Securitization Trust 2019-A,1,TOYOTA,RAV4,8284,0.2153198346892626
World Omni Automobile Lease Securitization Trust 2019-A,2,TOYOTA,CAMRY,7395,0.19221272060925845
World Omni Automobile Lease Securitization Trust 2019-A,3,TOYOTA,COROLLA,5949,0.15462792087957788
World Omni Automobile Lease Securitization Trust 2019-B,1,TOYOTA,COROLLA,6067,0.16860271231658516
World Omni Automobile Lease Securitization Trust 2019-B,2,TOYOTA,RAV4,6022,0.16735215651400623
World Omni Automobile Lease Securitization Trust 2019-B,3,TOYOTA,CAMRY,5882,0.16346153846153846
World Omni Automobile Lease Securitization Trust 2020-A,1,TOYOTA,COROLLA,7072,0.19142485924642702
World Omni Automobile Lease Securitization Trust 2020-A,2,TOYOTA,RAV4,7071,0.19139779125162407
World Omni Automobile Lease Securitization Trust 2020-A,3,TOYOTA,HIGHLANDER,5249,0.1420799047206583
World Omni Automobile Lease Securitization Trust 2020-B,1,TOYOTA,COROLLA,6665,0.1931940056233514
World Omni Automobile Lease Securitization Trust 2020-B,2,TOYOTA,RAV4,5825,0.16884547378184875
World Omni Automobile Lease Securitization Trust 2020-B,3,TOYOTA,CAMRY,5558,0.16110611901794256
World Omni Automobile Lease Securitization Trust 2021-A,1,TOYOTA,RAV4,5455,0.16133802608618497
World Omni Automobile Lease Securitization Trust 2021-A,2,TOYOTA,CAMRY,5412,0.1600662506284937
World Omni Automobile Lease Securitization Trust 2021-A,3,TOYOTA,COROLLA,5183,0.15329330691195173
World Omni Automobile Lease Securitization Trust 2022-A,1,TOYOTA,CAMRY,6478,0.17740168693175595
World Omni Automobile Lease Securitization Trust 2022-A,2,TOYOTA,RAV4,5870,0.16075145141855626
World Omni Automobile Lease Securitization Trust 2022-A,3,TOYOTA,HIGHLANDER,5669,0.15524701500712015
World Omni Automobile Lease Securitization Trust 2023-A,1,TOYOTA,RAV4,5348,0.1599808549463041
World Omni Automobile Lease Securitization Trust 2023-A,2,TOYOTA,HIGHLANDER,5074,0.15178437883275
World Omni Automobile Lease Securitization Trust 2023-A,3,TOYOTA,CAMRY,5056,0.15124592419755303
World Omni Automobile Lease Securitization Trust 2024-A,1,TOYOTA,CAMRY,4421,0.13945932304974606
World Omni Automobile Lease Securitization Trust 2024-A,2,TOYOTA,RAV4,4241,0.13378126872969306
World Omni Automobile Lease Securitization Trust 2024-A,3,TOYOTA,COROLLA,4141,0.1306267941074414
World Omni Automobile Lease Securitization Trust 2025-A,1,TOYOTA,CAMRY,4549,0.14170015263371025
World Omni Automobile Lease Securitization Trust 2025-A,2,TOYOTA,COROLLA,4128,0.12858611344734136
World Omni Automobile Lease Securitization Trust 2025-A,3,TOYOTA,RAV4,3646,0.11357194031710433
World Omni Automobile Lease Securitization Trust 2026-A,1,TOYOTA,CAMRY,8054,0.20132483439570054
World Omni Automobile Lease Securitization Trust 2026-A,2,TOYOTA,TACOMA SR5,6059,0.15145606799150108
World Omni Automobile Lease Securitization Trust 2026-A,3,TOYOTA,COROLLA,5397,0.13490813648293964
