series_label,reporting_date,vintage_month,bucket,dq_rate
NAROT 2017-A,2017-02-28,0,60+,0.0
NAROT 2017-A,2017-03-31,1,60+,0.0
NAROT 2017-A,2017-04-30,2,60+,0.00042636996731163586
NAROT 2017-A,2017-05-31,3,60+,0.0005545628196438475
NAROT 2017-A,2017-06-30,4,60+,0.0008114687584527996
NAROT 2017-A,2017-07-31,5,60+,0.00120207516133114
NAROT 2017-A,2017-08-31,6,60+,0.001497774734679904
NAROT 2017-A,2017-09-30,7,60+,0.0016248889659206621
NAROT 2017-A,2017-10-31,8,60+,0.001606089941036698
NAROT 2017-A,2017-11-30,9,60+,0.0017200169767909398
NAROT 2017-A,2017-12-31,10,60+,0.0021557103632939252
NAROT 2017-A,2018-01-31,11,60+,0.0024310620268111413
NAROT 2017-A,2018-02-28,12,60+,0.0020009887238400153
NAROT 2017-A,2018-03-31,13,60+,0.0014415107032169714
NAROT 2017-A,2018-04-30,14,60+,0.0017965250775212876
NAROT 2017-A,2018-05-31,15,60+,0.0017044315219570884
NAROT 2017-A,2018-06-30,16,60+,0.001657444475610067
NAROT 2017-A,2018-07-31,17,60+,0.0017625255955003758
NAROT 2017-A,2018-08-31,18,60+,0.0018221670583885704
NAROT 2017-A,2018-09-30,19,60+,0.0020629604822505025
NAROT 2017-A,2018-10-31,20,60+,0.0016689923116911544
NAROT 2017-A,2018-11-30,21,60+,0.0019738122376358734
NAROT 2017-A,2018-12-31,22,60+,0.0018944749194141266
NAROT 2017-A,2019-01-31,23,60+,0.0022200438242417253
NAROT 2017-A,2019-02-28,24,60+,0.0022558814050918467
NAROT 2017-A,2019-03-31,25,60+,0.0017353319570355744
NAROT 2017-A,2019-04-30,26,60+,0.0019242516799022602
NAROT 2017-A,2019-05-31,27,60+,0.0016833442438978772
NAROT 2017-A,2019-06-30,28,60+,0.0017807173747138134
NAROT 2017-A,2019-07-31,29,60+,0.0020805565488768245
NAROT 2017-A,2019-08-31,30,60+,0.002021809021908455
NAROT 2017-A,2019-09-30,31,60+,0.0019408219551227484
NAROT 2017-A,2019-10-31,32,60+,0.0013565689241364918
NAROT 2017-A,2019-11-30,33,60+,0.001951392584708178
NAROT 2017-A,2019-12-31,34,60+,0.0026487663280116112
NAROT 2017-A,2020-01-31,35,60+,0.002530138413454383
NAROT 2017-A,2020-02-29,36,60+,0.0019823872517250583
NAROT 2017-A,2020-03-31,37,60+,0.0021478501972117
NAROT 2017-A,2020-04-30,38,60+,0.002079002079002079
NAROT 2017-A,2020-05-31,39,60+,0.0017264767542237022
NAROT 2017-A,2020-06-30,40,60+,0.0023923444976076554
NAROT 2017-A,2020-07-31,41,60+,0.0018724921979491752
NAROT 2017-A,2020-08-31,42,60+,0.0016816929041902182
NAROT 2017-A,2020-09-30,43,60+,0.0020168232574155147
