series,reporting_date,vintage_month,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,520,530,1,0,0,36413.64
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,540,550,1,0,0,10294.42
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,550,560,1,0,0,16249.74
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,560,570,1,0,0,19959.0
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,570,580,0,1,0,16975.75
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,580,590,5,0,0,78754.99
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,590,600,6,0,0,88146.43
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,600,610,5,0,0,75848.51
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,610,620,10,0,0,156831.02000000002
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,620,630,37,3,0,500174.9199999999
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,630,640,54,2,0,836976.8599999999
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,640,650,83,1,0,1242630.1299999994
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,650,660,94,1,0,1631985.2999999998
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,660,670,4971,68,30,93994094.22999999
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,670,680,4766,57,21,91220771.20999995
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,680,690,3914,54,22,72706145.71000005
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,690,700,3526,48,16,65065382.76999998
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,700,710,3845,39,10,66449577.76999998
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,710,720,3292,26,15,57405179.73999999
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,720,730,3151,28,7,55835072.280000046
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,730,740,2651,15,8,45302940.67999993
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,740,750,2439,16,7,40103279.37999998
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,750,760,2144,6,7,36822577.32
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,760,770,1748,8,4,29399761.120000012
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,770,780,1754,6,1,29265566.55000004
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,780,790,1706,5,1,28429458.42
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,790,800,1545,4,0,25275984.16
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,800,810,1526,2,0,23956174.12999997
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,810,820,1542,2,0,24405000.119999982
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,820,830,1461,2,2,22127748.39
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,830,840,1187,4,0,19253865.02
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,840,850,739,0,0,12653897.850000001
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,850,860,640,2,2,11610895.289999992
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,860,870,420,3,0,8067740.799999998
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,870,880,268,0,0,4946335.540000001
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,880,890,105,0,0,1983426.48
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,890,900,31,0,0,645764.32
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,520,530,1,0,0,30394.09
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,540,550,1,0,0,6608.37
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,560,570,1,0,0,15952.92
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,570,580,1,0,0,10677.59
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,580,590,2,0,0,47667.729999999996
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,590,600,6,0,0,60207.31999999999
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,600,610,4,0,0,55949.8
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,610,620,8,1,0,113269.88
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,620,630,24,2,0,269742.27
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,630,640,37,0,1,520025.42000000004
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,640,650,47,1,0,699974.07
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,650,660,69,0,2,983765.9600000002
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,660,670,3794,83,40,61242468.22000022
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,670,680,3578,86,34,58945774.85000018
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,680,690,2952,68,31,46540764.87999998
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,690,700,2738,44,25,42346870.47999996
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,700,710,2904,41,24,42301390.270000026
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,710,720,2435,25,19,36493835.99000006
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,720,730,2404,25,14,36071435.029999964
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,730,740,1973,9,10,28083509.860000055
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,740,750,1843,17,7,25207538.31999997
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,750,760,1618,16,8,23091685.429999985
ALLY AUTO RECEIVABLES TRUST 2022-2,2024-01-31,17,760,770,1306,9,3,18459902.270000007
