series,reporting_date,vintage_month,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,400,410,1,0,0,15237.73
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,410,420,3,1,0,55304.54
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,420,430,4,0,0,65853.76999999999
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,430,440,10,2,0,224061.6
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,440,450,35,1,0,630042.3099999999
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,450,460,86,10,0,1616894.7200000002
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,460,470,155,11,0,2556340.8600000003
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,470,480,405,41,0,7035413.42
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,480,490,801,53,0,14277963.920000002
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,490,500,1107,72,2,19789801.30000001
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,500,510,1574,97,1,28900807.619999982
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,510,520,1878,130,3,35060362.28
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,520,530,2458,153,2,46768418.44000002
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,530,540,2760,153,2,52206523.83000004
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,540,550,3079,144,4,58879934.11000006
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,550,560,3294,176,1,66113879.83999994
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,560,570,3634,155,2,71006172.23999992
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,570,580,3976,165,0,80265615.73000005
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,580,590,3649,123,0,73792768.41000003
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,590,600,3727,109,1,78355324.27999999
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,600,610,3306,97,2,70024263.24000001
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,610,620,3095,71,1,67585392.86000004
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,620,630,3547,70,1,85037692.41999988
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,630,640,2987,52,0,74028918.77999993
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,640,650,829,17,0,19166704.169999987
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,650,660,636,12,0,14788071.709999997
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,660,670,432,10,0,10923642.529999997
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,670,680,346,2,0,8552544.460000003
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,680,690,136,1,0,2760525.3899999997
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,690,700,87,4,0,2033513.9199999995
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,700,710,53,1,0,1229699.27
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,710,720,18,0,0,333716.89
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,720,730,17,0,0,295948.48
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,730,740,13,0,0,171176.25
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,740,750,9,0,0,152744.09999999998
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,750,760,5,0,0,97649.17000000001
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,760,770,5,0,0,69976.27
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,770,780,2,0,0,19459.98
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,780,790,1,0,0,246.34
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,790,800,4,0,0,59390.71
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,800,810,1,0,0,18217.4
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,810,820,1,0,0,1291.11
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,820,830,1,0,0,1684.98
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,830,840,1,0,0,5749.97
AmeriCredit Automobile Receivables Trust 2017-1,2017-01-31,1,840,850,1,0,0,1672.4
AmeriCredit Automobile Receivables Trust 2017-1,2018-01-31,13,410,420,2,0,0,33072.06
AmeriCredit Automobile Receivables Trust 2017-1,2018-01-31,13,420,430,3,0,1,55896.08
AmeriCredit Automobile Receivables Trust 2017-1,2018-01-31,13,430,440,6,4,2,200680.02000000002
AmeriCredit Automobile Receivables Trust 2017-1,2018-01-31,13,440,450,21,10,0,482358.77
AmeriCredit Automobile Receivables Trust 2017-1,2018-01-31,13,450,460,56,14,6,1145068.42
AmeriCredit Automobile Receivables Trust 2017-1,2018-01-31,13,460,470,105,25,6,1842626.0299999998
AmeriCredit Automobile Receivables Trust 2017-1,2018-01-31,13,470,480,259,56,17,4883380.250000001
AmeriCredit Automobile Receivables Trust 2017-1,2018-01-31,13,480,490,519,112,45,10255451.609999996
AmeriCredit Automobile Receivables Trust 2017-1,2018-01-31,13,490,500,702,161,68,14011459.210000003
AmeriCredit Automobile Receivables Trust 2017-1,2018-01-31,13,500,510,1025,203,100,20825254.6
AmeriCredit Automobile Receivables Trust 2017-1,2018-01-31,13,510,520,1246,264,84,25395653.699999977
