series,reporting_date,vintage_month,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,600,610,187,2,1,4609101.41
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,610,620,249,3,0,6293570.949999999
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,620,630,233,0,2,5723120.759999999
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,630,640,224,1,0,5353484.480000002
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,640,650,579,4,1,15680505.249999994
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,650,660,568,6,0,14971233.050000006
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,660,670,568,3,1,14156205.359999985
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,670,680,1173,4,0,31420038.329999983
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,680,690,1523,3,0,41669595.25000003
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,690,700,1458,5,2,38698040.80000002
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,700,710,2203,4,2,62116468.28000003
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,710,720,2133,3,1,56469601.77
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,720,730,2060,6,0,56215584.12999995
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,730,740,2100,5,0,54521753.960000105
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,740,750,2287,5,1,60284282.54999999
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,750,760,2303,6,0,60007550.66999995
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,760,770,2264,6,2,58413927.619999945
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,770,780,2257,0,0,58962835.650000036
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,780,790,2337,1,0,57713382.76000008
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,790,800,2402,0,0,60530304.97000009
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,800,810,2549,0,1,64434748.480000004
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,810,820,2805,0,0,70260071.55999996
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,820,830,2864,0,0,70226876.45999993
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,830,840,2939,1,0,73120394.39999998
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,840,850,2910,0,0,70918233.45000003
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,850,860,2973,0,1,72857932.07999997
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,860,870,2408,0,0,59047440.36000003
