series,reporting_date,vintage_month,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
CarMax Select Receivables Trust 2024-A,2025-01-31,8,360,370,2,0,0,14100.67
CarMax Select Receivables Trust 2024-A,2025-01-31,8,380,390,2,0,0,36703.93
CarMax Select Receivables Trust 2024-A,2025-01-31,8,390,400,3,0,0,44652.61
CarMax Select Receivables Trust 2024-A,2025-01-31,8,400,410,7,2,1,169545.76
CarMax Select Receivables Trust 2024-A,2025-01-31,8,410,420,6,1,2,153384.95
CarMax Select Receivables Trust 2024-A,2025-01-31,8,420,430,10,5,2,282234.43
CarMax Select Receivables Trust 2024-A,2025-01-31,8,430,440,21,5,1,401577.06999999995
CarMax Select Receivables Trust 2024-A,2025-01-31,8,440,450,24,4,5,480184.52
CarMax Select Receivables Trust 2024-A,2025-01-31,8,450,460,25,5,1,422623.1799999999
CarMax Select Receivables Trust 2024-A,2025-01-31,8,460,470,45,10,4,891644.6700000002
CarMax Select Receivables Trust 2024-A,2025-01-31,8,470,480,63,10,6,1214849.4400000004
CarMax Select Receivables Trust 2024-A,2025-01-31,8,480,490,88,15,10,1844365.47
CarMax Select Receivables Trust 2024-A,2025-01-31,8,490,500,111,15,9,2155919.74
CarMax Select Receivables Trust 2024-A,2025-01-31,8,500,510,110,20,20,2539770.940000001
CarMax Select Receivables Trust 2024-A,2025-01-31,8,510,520,185,33,19,4431153.820000001
CarMax Select Receivables Trust 2024-A,2025-01-31,8,520,530,227,47,26,6257951.140000004
CarMax Select Receivables Trust 2024-A,2025-01-31,8,530,540,695,93,60,18025553.44000003
CarMax Select Receivables Trust 2024-A,2025-01-31,8,540,550,817,94,63,20782882.83000001
CarMax Select Receivables Trust 2024-A,2025-01-31,8,550,560,1024,125,58,24525343.500000015
CarMax Select Receivables Trust 2024-A,2025-01-31,8,560,570,1083,143,75,26821941.330000073
CarMax Select Receivables Trust 2024-A,2025-01-31,8,570,580,1390,125,62,31805987.73000001
CarMax Select Receivables Trust 2024-A,2025-01-31,8,580,590,1557,128,86,34955923.34000002
CarMax Select Receivables Trust 2024-A,2025-01-31,8,590,600,1885,137,76,41701755.27
CarMax Select Receivables Trust 2024-A,2025-01-31,8,600,610,2228,135,68,46586606.89000001
CarMax Select Receivables Trust 2024-A,2025-01-31,8,610,620,2396,120,80,50203948.369999975
CarMax Select Receivables Trust 2024-A,2025-01-31,8,620,630,2778,136,77,56041484.509999946
CarMax Select Receivables Trust 2024-A,2025-01-31,8,630,640,2919,122,63,57963122.49000005
CarMax Select Receivables Trust 2024-A,2025-01-31,8,640,650,3108,118,60,61157196.39999994
CarMax Select Receivables Trust 2024-A,2025-01-31,8,650,660,202,13,4,4559287.890000001
CarMax Select Receivables Trust 2024-A,2025-01-31,8,660,670,183,11,9,4519369.579999997
CarMax Select Receivables Trust 2024-A,2025-01-31,8,670,680,164,11,3,3784574.540000001
CarMax Select Receivables Trust 2024-A,2025-01-31,8,680,690,122,3,5,2640715.0999999987
CarMax Select Receivables Trust 2024-A,2025-01-31,8,690,700,121,2,5,2578404.1999999997
CarMax Select Receivables Trust 2024-A,2025-01-31,8,700,710,96,4,4,2110577.31
CarMax Select Receivables Trust 2024-A,2025-01-31,8,710,720,78,1,1,1546807.5000000005
CarMax Select Receivables Trust 2024-A,2025-01-31,8,720,730,75,2,1,1659021.3099999998
CarMax Select Receivables Trust 2024-A,2025-01-31,8,730,740,47,3,0,1056941.1800000004
CarMax Select Receivables Trust 2024-A,2025-01-31,8,740,750,32,0,0,681613.03
CarMax Select Receivables Trust 2024-A,2025-01-31,8,750,760,29,1,0,594801.9299999999
CarMax Select Receivables Trust 2024-A,2025-01-31,8,760,770,16,1,0,340592.23000000004
CarMax Select Receivables Trust 2024-A,2025-01-31,8,770,780,10,0,1,237683.24000000002
CarMax Select Receivables Trust 2024-A,2025-01-31,8,780,790,2,0,0,44678.33
CarMax Select Receivables Trust 2024-A,2025-01-31,8,790,800,4,0,0,64913.64
CarMax Select Receivables Trust 2024-A,2025-01-31,8,810,820,1,0,0,12004.02
CarMax Select Receivables Trust 2024-A,2025-01-31,8,860,870,1,0,0,23014.35
CarMax Select Receivables Trust 2024-A,2026-01-31,20,360,370,0,1,0,7390.2
CarMax Select Receivables Trust 2024-A,2026-01-31,20,380,390,2,0,0,32592.59
CarMax Select Receivables Trust 2024-A,2026-01-31,20,390,400,1,1,1,26718.269999999997
CarMax Select Receivables Trust 2024-A,2026-01-31,20,400,410,3,2,1,101629.62000000001
CarMax Select Receivables Trust 2024-A,2026-01-31,20,410,420,4,1,2,86200.08000000002
CarMax Select Receivables Trust 2024-A,2026-01-31,20,420,430,10,1,1,157594.66999999998
CarMax Select Receivables Trust 2024-A,2026-01-31,20,430,440,11,6,2,249968.58000000002
CarMax Select Receivables Trust 2024-A,2026-01-31,20,440,450,18,8,0,304490.07000000007
CarMax Select Receivables Trust 2024-A,2026-01-31,20,450,460,13,2,3,244398.4
CarMax Select Receivables Trust 2024-A,2026-01-31,20,460,470,24,7,8,505234.4699999999
CarMax Select Receivables Trust 2024-A,2026-01-31,20,470,480,40,4,8,763880.0599999998
CarMax Select Receivables Trust 2024-A,2026-01-31,20,480,490,49,18,8,1102243.02
CarMax Select Receivables Trust 2024-A,2026-01-31,20,490,500,59,16,19,1351140.72
CarMax Select Receivables Trust 2024-A,2026-01-31,20,500,510,63,15,20,1512939.3800000001
CarMax Select Receivables Trust 2024-A,2026-01-31,20,510,520,99,28,22,2681078.9100000015
CarMax Select Receivables Trust 2024-A,2026-01-31,20,520,530,148,36,39,4177309.3800000004
CarMax Select Receivables Trust 2024-A,2026-01-31,20,530,540,445,91,94,11892857.429999998
CarMax Select Receivables Trust 2024-A,2026-01-31,20,540,550,546,90,88,13899668.449999997
CarMax Select Receivables Trust 2024-A,2026-01-31,20,550,560,684,101,83,15933361.909999989
CarMax Select Receivables Trust 2024-A,2026-01-31,20,560,570,677,142,89,17539227.180000026
CarMax Select Receivables Trust 2024-A,2026-01-31,20,570,580,895,132,87,20777741.519999992
CarMax Select Receivables Trust 2024-A,2026-01-31,20,580,590,1018,139,88,22731548.44000001
CarMax Select Receivables Trust 2024-A,2026-01-31,20,590,600,1243,153,110,27563823.7
CarMax Select Receivables Trust 2024-A,2026-01-31,20,600,610,1421,168,103,30387291.58000002
CarMax Select Receivables Trust 2024-A,2026-01-31,20,610,620,1567,127,117,33156201.019999955
CarMax Select Receivables Trust 2024-A,2026-01-31,20,620,630,1821,135,99,36420812.75999994
CarMax Select Receivables Trust 2024-A,2026-01-31,20,630,640,1869,139,96,37489897.03999994
CarMax Select Receivables Trust 2024-A,2026-01-31,20,640,650,2059,121,81,39881032.65999998
CarMax Select Receivables Trust 2024-A,2026-01-31,20,650,660,145,13,7,2749933.5200000014
CarMax Select Receivables Trust 2024-A,2026-01-31,20,660,670,131,13,9,2852085.9899999998
CarMax Select Receivables Trust 2024-A,2026-01-31,20,670,680,113,13,7,2395306.109999999
CarMax Select Receivables Trust 2024-A,2026-01-31,20,680,690,76,7,4,1496496.2400000005
CarMax Select Receivables Trust 2024-A,2026-01-31,20,690,700,83,5,6,1637060.9400000002
CarMax Select Receivables Trust 2024-A,2026-01-31,20,700,710,72,6,5,1381713.0399999996
CarMax Select Receivables Trust 2024-A,2026-01-31,20,710,720,61,2,1,912860.2000000003
CarMax Select Receivables Trust 2024-A,2026-01-31,20,720,730,57,2,3,1052367.4400000002
CarMax Select Receivables Trust 2024-A,2026-01-31,20,730,740,30,3,2,536721.7099999998
CarMax Select Receivables Trust 2024-A,2026-01-31,20,740,750,20,0,1,359388.89999999997
CarMax Select Receivables Trust 2024-A,2026-01-31,20,750,760,26,0,1,387752.4800000001
CarMax Select Receivables Trust 2024-A,2026-01-31,20,760,770,14,1,0,243342.88999999996
CarMax Select Receivables Trust 2024-A,2026-01-31,20,770,780,8,0,1,143397.41999999998
CarMax Select Receivables Trust 2024-A,2026-01-31,20,780,790,1,0,0,13928.32
CarMax Select Receivables Trust 2024-A,2026-01-31,20,790,800,3,0,0,48335.89
CarMax Select Receivables Trust 2024-A,2026-01-31,20,810,820,1,0,0,9432.13
CarMax Select Receivables Trust 2024-A,2025-02-28,9,360,370,2,0,0,13223.49
CarMax Select Receivables Trust 2024-A,2025-02-28,9,380,390,2,0,0,36225.55
CarMax Select Receivables Trust 2024-A,2025-02-28,9,390,400,3,0,0,44053.590000000004
CarMax Select Receivables Trust 2024-A,2025-02-28,9,400,410,8,1,1,167089.96
CarMax Select Receivables Trust 2024-A,2025-02-28,9,410,420,6,2,0,131247.8
CarMax Select Receivables Trust 2024-A,2025-02-28,9,420,430,8,4,5,280613.5
CarMax Select Receivables Trust 2024-A,2025-02-28,9,430,440,22,2,3,396748.07
CarMax Select Receivables Trust 2024-A,2025-02-28,9,440,450,26,3,3,449380.41
CarMax Select Receivables Trust 2024-A,2025-02-28,9,450,460,21,6,2,398581.83
CarMax Select Receivables Trust 2024-A,2025-02-28,9,460,470,42,12,5,875812.8200000001
CarMax Select Receivables Trust 2024-A,2025-02-28,9,470,480,63,5,7,1169351.0200000003
CarMax Select Receivables Trust 2024-A,2025-02-28,9,480,490,85,21,6,1789334.8899999994
CarMax Select Receivables Trust 2024-A,2025-02-28,9,490,500,108,18,7,2091389.5399999996
CarMax Select Receivables Trust 2024-A,2025-02-28,9,500,510,110,28,8,2470814.660000001
CarMax Select Receivables Trust 2024-A,2025-02-28,9,510,520,184,30,18,4311558.980000001
CarMax Select Receivables Trust 2024-A,2025-02-28,9,520,530,230,45,23,6150159.159999998
CarMax Select Receivables Trust 2024-A,2025-02-28,9,530,540,687,105,45,17488594.999999996
CarMax Select Receivables Trust 2024-A,2025-02-28,9,540,550,814,95,45,20176778.960000016
CarMax Select Receivables Trust 2024-A,2025-02-28,9,550,560,1030,113,42,23866532.74
