series,reporting_date,vintage_month,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,360,370,1,0,0,19340.16
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,370,380,0,2,0,50173.32
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,380,390,2,0,0,49731.39
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,390,400,4,3,2,191052.81
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,400,410,5,0,2,171387.56999999998
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,410,420,24,7,2,680101.74
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,420,430,30,12,12,1167330.5299999998
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,430,440,60,20,13,2050542.0199999998
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,440,450,108,32,23,3681137.05
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,450,460,191,43,36,6226774.599999999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,460,470,292,76,42,9253490.599999998
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,470,480,427,104,62,14082351.540000007
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,480,490,512,116,82,17044007.510000017
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,490,500,734,150,120,23574617.6
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,500,510,956,248,166,32708462.68999997
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,510,520,1339,301,185,44660444.839999944
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,520,530,1416,314,196,47276555.91999997
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,530,540,1721,329,217,55706679.05
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,540,550,1752,325,231,57040182.140000075
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,550,560,2103,433,250,69472522.26999995
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,560,570,2045,371,268,66676825.2100001
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,570,580,2367,399,276,76255201.17000005
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,580,590,2246,352,276,73333107.6799999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,590,600,2173,339,270,69264463.19999988
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,600,610,2125,336,231,67683062.54
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,610,620,2049,309,197,65930639.93999996
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,620,630,1648,196,153,52805811.47999996
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,630,640,1453,172,122,46217151.83999998
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,640,650,962,127,118,31500057.76999999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,650,660,867,100,91,28221390.4
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,660,670,635,75,51,20885097.360000003
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,670,680,480,54,55,15396350.619999997
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,680,690,388,41,44,12464047.530000003
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,690,700,377,41,37,12339138.010000002
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,700,710,285,32,39,9877035.329999998
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,710,720,238,30,13,7494456.479999997
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,720,730,203,10,12,6342404.85
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,730,740,145,15,11,4471447.16
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,740,750,130,8,14,4125406.46
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,750,760,98,6,4,2969709.18
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,760,770,70,5,5,2185389.0
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,770,780,64,4,5,1984300.8800000001
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,780,790,62,6,1,2037344.8299999996
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,790,800,54,4,1,1690968.1800000002
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,800,810,46,4,1,1584816.8599999999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,810,820,54,2,1,1739678.7000000002
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,820,830,39,1,2,1149555.3400000003
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,830,840,28,2,1,1055642.43
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,840,850,24,1,0,726070.8200000001
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,850,860,20,0,0,513704.07000000007
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,860,870,12,2,2,471425.06999999995
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,870,880,10,0,0,312957.17
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,880,890,4,0,0,87512.39000000001
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,890,900,3,0,0,48925.36
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,360,370,1,0,0,22719.38
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,370,380,2,1,0,75273.0
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,380,390,2,0,0,53316.630000000005
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,390,400,9,0,0,208384.03
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,400,410,9,0,0,195552.47999999998
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,410,420,36,0,0,798506.9099999999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,420,430,59,0,0,1334077.5899999999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,430,440,109,1,0,2553770.6899999995
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,440,450,184,1,0,4487096.720000001
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,450,460,316,1,0,7646371.299999999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,460,470,456,3,0,11002771.439999998
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,470,480,682,2,0,17193334.35000001
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,480,490,801,9,0,20602690.130000003
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,490,500,1158,6,0,29321966.29
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,500,510,1589,8,0,40726585.35999997
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,510,520,2107,10,0,55217381.66
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,520,530,2233,6,0,58223966.94999999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,530,540,2662,8,0,69909256.16000004
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,540,550,2669,9,0,70153729.32000004
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,550,560,3265,10,0,86956309.1099999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,560,570,3203,11,0,85240521.25999996
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,570,580,3605,10,0,97222388.71000001
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,580,590,3389,12,0,93156861.59000002
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,590,600,3290,12,0,88696641.65000007
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,600,610,3212,6,0,86965387.99999996
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,610,620,3087,13,0,86373922.50000009
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,620,630,2397,9,0,68906182.28000009
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,630,640,2112,5,0,60648188.35999994
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,640,650,1460,6,0,41702674.66999996
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,650,660,1277,3,0,36846716.55999999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,660,670,952,1,0,28026501.640000038
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,670,680,722,5,0,20665762.340000004
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,680,690,590,2,0,17057829.39
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,690,700,545,4,0,16142559.86
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,700,710,428,1,0,13022331.48
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,710,720,350,0,0,10340231.330000002
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,720,730,271,2,0,8314949.920000002
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,730,740,226,1,0,6488333.300000003
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,740,750,182,0,0,5325318.779999999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,750,760,124,1,0,3831087.49
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,760,770,93,0,0,2787675.31
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,770,780,92,0,0,2806663.73
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,780,790,78,0,0,2594082.11
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,790,800,65,0,0,2059323.1599999997
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,800,810,52,0,0,1772202.92
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,810,820,65,0,0,2191390.2700000005
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,820,830,49,0,0,1496278.48
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,830,840,40,0,0,1462825.7299999997
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,840,850,28,0,0,874521.49
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,850,860,22,0,0,624255.34
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,860,870,19,0,0,642076.1499999999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,870,880,12,0,0,399298.41
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,880,890,4,0,0,95208.14
DRIVE AUTO RECEIVABLES TRUST 2025-1,2025-04-30,0,890,900,3,0,0,73593.38
