series,reporting_date,vintage_month,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,410,420,0,1,0,6600.02
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,420,430,2,0,0,32279.840000000004
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,430,440,1,0,0,8316.49
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,440,450,2,0,0,26308.5
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,450,460,4,0,0,54518.62
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,460,470,9,1,1,142087.66
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,470,480,13,0,0,192788.78000000003
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,480,490,13,1,0,190905.5
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,490,500,18,1,0,234409.25999999998
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,500,510,28,1,0,407947.6200000001
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,510,520,42,3,0,528149.98
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,520,530,38,2,0,565138.29
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,530,540,39,3,1,531574.33
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,540,550,60,3,1,769667.5499999999
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,550,560,67,4,0,1031809.5900000001
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,560,570,86,4,1,1176620.4399999997
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,570,580,96,2,0,1444883.43
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,580,590,108,3,1,1532826.8099999998
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,590,600,148,4,3,2170447.29
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,600,610,179,5,1,2781428.399999999
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,610,620,300,7,2,4677717.499999998
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,620,630,351,8,4,5701735.499999997
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,630,640,537,10,4,8389871.820000006
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,640,650,635,10,6,9939423.979999995
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,650,660,899,15,5,14142953.95000001
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,660,670,1232,11,11,17997082.93999999
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,670,680,1667,21,2,24502286.279999964
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,680,690,2002,13,6,27513722.629999977
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,690,700,2293,11,9,32087649.43000003
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,700,710,2287,13,4,31002907.629999984
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,710,720,2647,10,6,35669370.8899999
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,720,730,2818,5,4,37933680.96000005
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,730,740,2932,6,0,38254401.78000003
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,740,750,2915,6,1,37207556.14999988
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,750,760,2818,3,1,35342496.429999985
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,760,770,2790,4,1,34246326.100000076
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,770,780,3020,1,0,36267980.04000002
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,780,790,3468,10,5,39465896.52999999
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,790,800,3442,5,1,38449839.16000005
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,800,810,3589,6,0,39001976.40000007
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,810,820,3627,0,1,37046696.170000084
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,820,830,3955,2,0,40956478.56000004
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,830,840,3581,3,0,39620967.4299999
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,840,850,2965,1,0,37644505.63999997
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,850,860,3362,0,0,44104074.69999997
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,860,870,2358,0,0,31060840.409999974
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,870,880,1537,0,0,19684582.290000014
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,880,890,601,0,0,8083451.549999998
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,890,900,163,0,0,2133631.329999999
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,410,420,0,1,0,3067.69
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,420,430,1,0,1,26787.46
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,440,450,2,0,0,19389.03
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,450,460,3,1,0,43879.590000000004
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,460,470,4,1,0,48755.100000000006
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,470,480,8,1,0,96604.36000000002
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,480,490,8,0,2,97149.95
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,490,500,11,0,2,131675.07
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,500,510,17,2,2,220395.82
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,510,520,27,1,1,279727.21
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,520,530,26,3,0,342252.14999999997
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,530,540,33,1,1,316994.95
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,540,550,45,2,0,441529.18
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,550,560,46,6,1,629627.1599999999
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,560,570,53,1,1,530796.8799999999
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,570,580,71,3,1,817784.5199999999
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,580,590,68,1,4,862978.8900000004
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,590,600,100,4,1,1108292.1
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,600,610,124,8,1,1600348.1199999996
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,610,620,200,12,2,2735640.910000001
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,620,630,241,8,3,3214455.9099999988
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,630,640,367,14,3,4867627.200000004
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,640,650,438,11,1,5471507.619999996
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,650,660,595,16,2,7730556.6599999955
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,660,670,852,11,1,10154971.219999997
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,670,680,1181,15,1,13939482.730000008
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,680,690,1382,15,5,15454609.880000005
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,690,700,1610,8,9,18199724.49000001
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,700,710,1611,7,4,17759149.34999998
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,710,720,1824,8,4,20458164.41
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,720,730,1988,8,2,21855879.69
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,730,740,2069,8,4,21618984.92000002
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,740,750,2024,6,4,20860349.950000014
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,750,760,1930,9,1,19610397.639999986
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,760,770,1862,2,1,19206358.28999999
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,770,780,2055,1,1,20011922.52999998
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,780,790,2273,5,0,20892906.32999996
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,790,800,2198,2,0,20318273.43
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,800,810,2278,0,0,20429662.199999996
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,810,820,2153,1,0,18667862.389999982
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,820,830,2468,1,0,20931727.80000002
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,830,840,2317,1,0,20614137.73
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,840,850,2135,1,0,20480589.559999987
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,850,860,2598,0,0,24346141.71
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,860,870,1867,1,0,17376685.009999998
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,870,880,1217,0,0,10952385.490000017
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,880,890,502,0,0,4609965.300000003
Honda Auto Receivables 2017-1 Owner Trust,2019-01-31,23,890,900,131,0,0,1194592.2899999996
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,420,430,1,0,0,12070.67
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,440,450,2,0,0,11440.75
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,450,460,1,2,0,30034.65
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,460,470,5,0,0,33424.2
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,470,480,6,1,0,44747.62
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,480,490,7,0,0,53970.54999999999
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,490,500,5,1,0,34616.939999999995
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,500,510,16,3,0,133068.14
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,510,520,20,0,0,142467.41
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,520,530,18,3,0,171923.56
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,530,540,23,0,1,169920.97999999998
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,540,550,31,1,0,229877.92
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,550,560,27,4,0,263923.86
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,560,570,34,2,0,300201.61
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,570,580,59,2,0,488399.75
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,580,590,49,2,0,439696.64
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,590,600,67,3,2,589610.75
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,600,610,88,4,2,885921.46
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,610,620,136,10,5,1347919.9700000002
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,620,630,150,10,2,1589101.0099999998
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,630,640,256,9,3,2469606.96
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,640,650,295,11,3,2881058.5300000003
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,650,660,411,13,6,4104705.429999999
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,660,670,549,14,4,5043279.509999999
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,670,680,785,12,1,6894960.719999999
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,680,690,889,7,1,7526281.100000002
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,690,700,1084,8,1,9045948.259999998
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,700,710,1056,10,2,8769030.59
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,710,720,1234,6,1,10288308.710000005
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,720,730,1369,5,1,10981410.030000001
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,730,740,1376,4,3,10489738.899999995
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,740,750,1346,5,2,10076467.479999997
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,750,760,1239,3,1,9349302.319999997
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,760,770,1209,1,2,9459292.590000002
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,770,780,1249,2,0,9226941.930000002
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,780,790,1344,2,0,9584523.829999994
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,790,800,1263,0,2,9364706.959999999
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,800,810,1296,0,2,9012518.119999995
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,810,820,1183,0,0,8306024.76
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,820,830,1333,0,1,9438664.069999993
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,830,840,1323,1,0,9002496.850000003
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,840,850,1295,1,0,9136151.739999998
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,850,860,1618,1,0,10654242.019999996
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,860,870,1188,0,1,7655221.630000002
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,870,880,725,1,0,4585935.06
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,880,890,319,0,0,2050476.5
Honda Auto Receivables 2017-1 Owner Trust,2020-01-31,35,890,900,86,0,0,543807.25
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,410,420,1,0,0,8934.07
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,420,430,2,0,0,37255.9
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,430,440,1,0,0,9906.96
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,440,450,2,0,0,31876.92
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,450,460,6,0,0,102370.69
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,460,470,14,0,0,195577.04
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,470,480,17,0,0,289703.37
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,480,490,18,0,0,280732.49
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,490,500,28,0,0,421207.4
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,500,510,36,0,0,584623.65
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,510,520,58,0,0,872507.76
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,520,530,47,0,0,784396.46
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,530,540,61,0,0,937658.3300000001
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,540,550,77,0,0,1180176.16
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,550,560,93,0,0,1571482.8499999999
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,560,570,118,0,0,1835831.5800000003
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,570,580,118,0,0,2053643.79
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,580,590,141,0,0,2330723.15
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,590,600,194,0,0,3257877.830000001
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,600,610,243,0,0,4505226.13
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,610,620,402,0,0,7446246.08
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,620,630,460,0,0,8899847.39
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,630,640,673,0,0,12929599.069999995
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,640,650,823,0,0,15575698.729999999
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,650,660,1114,0,0,21400327.769999996
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,660,670,1502,0,0,27366367.43000001
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,670,680,1996,0,0,36564980.44999999
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,680,690,2387,0,0,41739148.89000002
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,690,700,2752,0,0,48785248.490000054
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,700,710,2735,0,0,46917155.4
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,710,720,3117,0,0,53641064.54999998
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,720,730,3333,0,0,57126411.38999997
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,730,740,3408,0,0,57206219.88000005
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,740,750,3496,0,0,57321304.7
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,750,760,3416,0,0,55277814.07000001
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,760,770,3361,0,0,53138240.43999996
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,770,780,3591,0,0,56720490.53999999
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,780,790,4175,0,0,62618260.09000002
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,790,800,4169,0,0,61837384.91999992
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,800,810,4341,0,0,62335280.96000007
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,810,820,4471,0,0,61340727.91999999
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,820,830,4820,0,0,67330332.72000004
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,830,840,4284,0,0,63118271.71000002
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,840,850,3385,0,0,56534606.820000015
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,850,860,3826,0,0,66154928.98999997
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,860,870,2689,0,0,46316032.240000024
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,870,880,1737,0,0,29834833.04000001
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,880,890,666,0,0,11701943.97000001
Honda Auto Receivables 2017-1 Owner Trust,2017-02-28,0,890,900,176,0,0,3067360.58
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,410,420,0,1,0,6320.79
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,420,430,2,0,0,32104.35
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,430,440,1,0,0,8316.49
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,440,450,2,0,0,25773.65
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,450,460,3,1,0,53876.85999999999
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,460,470,10,0,0,125874.5
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,470,480,13,0,0,190314.53000000003
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,480,490,14,0,0,187171.32000000004
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,490,500,16,3,0,229233.86
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,500,510,26,2,0,400263.04999999993
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,510,520,42,1,1,515801.82999999996
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,520,530,36,3,0,536612.4299999999
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,530,540,40,3,0,518288.51
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,540,550,60,1,1,717696.08
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,550,560,67,2,1,978282.03
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,560,570,82,6,1,1111539.1500000001
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,570,580,96,1,0,1411628.5900000003
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,580,590,106,1,1,1447483.7000000004
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,590,600,146,6,0,2106548.710000001
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,600,610,178,2,3,2686452.0800000005
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,610,620,295,5,3,4516114.510000003
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,620,630,347,4,1,5445794.970000001
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,630,640,528,8,5,8118585.95
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,640,650,624,5,4,9496743.870000001
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,650,660,879,14,7,13645248.170000006
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,660,670,1208,6,11,17191653.929999992
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,670,680,1652,6,5,23630074.199999984
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,680,690,1974,10,4,26431426.260000005
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,690,700,2253,4,6,30595017.570000023
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,700,710,2249,10,3,29787816.73000001
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,710,720,2597,7,6,34287067.64999998
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,720,730,2770,6,3,36527463.980000034
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,730,740,2883,3,2,36741458.05999994
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,740,750,2866,5,1,35581003.30000001
Honda Auto Receivables 2017-1 Owner Trust,2018-02-28,12,750,760,2768,2,1,33934456.35000006
