series,reporting_date,vintage_month,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,500,510,2,0,0,21464.58
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,510,520,3,0,0,23789.55
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,520,530,3,0,0,27058.56
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,530,540,1,1,0,31775.02
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,540,550,1,1,0,30299.760000000002
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,550,560,5,2,0,39513.97
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,560,570,7,0,0,82793.67
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,570,580,9,2,0,166442.03
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,580,590,25,0,0,268100.18
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,590,600,31,3,0,354529.05000000005
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,600,610,955,96,34,18514905.119999994
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,610,620,800,72,35,15250467.049999993
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,620,630,928,64,18,16857796.989999995
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,630,640,107,2,0,1283870.0299999998
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,640,650,222,6,2,2873128.2399999993
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,650,660,852,27,11,13660190.820000004
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,660,670,1143,32,13,18671700.79000002
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,670,680,983,28,6,14830354.599999998
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,680,690,1542,34,13,24879752.590000022
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,690,700,1269,22,7,19691860.96000001
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,700,710,5571,66,19,80299349.52999997
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,710,720,4748,35,9,67082049.44000001
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,720,730,4004,23,12,59163790.760000065
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,730,740,2508,16,9,39214373.92000005
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,740,750,2781,9,3,43156307.70999999
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,750,760,5226,19,2,79904074.66000003
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,760,770,4719,9,5,72182303.03999996
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,770,780,3377,5,2,49501074.39
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,780,790,2255,4,2,32924087.399999954
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,790,800,2199,2,0,31510260.11000002
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,800,810,2032,2,1,29473446.310000017
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,810,820,2075,1,0,30322378.729999997
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,820,830,2237,1,1,31606231.189999998
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,830,840,2154,0,0,30501749.349999994
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,840,850,2176,0,0,30605325.09000002
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,850,860,782,1,0,9423301.130000003
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,860,870,616,0,0,7481828.019999998
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,870,880,259,0,0,3073108.9699999997
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,880,890,20,0,0,210131.75
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,890,900,7,0,0,52259.25
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,500,510,1,0,0,9027.49
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,510,520,2,0,1,17566.14
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,520,530,2,0,1,20760.89
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,530,540,1,0,1,25603.18
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,540,550,1,0,0,13865.1
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,550,560,4,0,0,26802.45
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,560,570,6,1,0,63643.14000000001
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,570,580,6,0,2,93059.81
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,580,590,20,1,0,178521.12
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,590,600,19,0,1,171285.5
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,600,610,654,89,30,11042705.779999997
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,610,620,573,58,26,9265660.530000003
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,620,630,689,60,25,10590866.92
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,630,640,74,6,1,734755.05
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,640,650,183,4,3,1822533.4999999995
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,650,660,617,24,6,8482769.259999996
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,660,670,835,30,17,11731071.05
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,670,680,686,20,7,9188731.95
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,680,690,1104,27,14,15658298.469999988
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,690,700,928,17,6,12603657.539999988
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,700,710,4442,58,23,49324036.230000004
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,710,720,3756,47,8,40509904.05000001
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,720,730,3213,32,14,37234170.01000001
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,730,740,2066,9,5,25838028.71
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,740,750,2302,9,2,28355754.610000037
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,750,760,4379,19,9,49446783.84
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,760,770,3955,18,6,44480170.77999995
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,770,780,2840,4,5,30580282.92000007
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,780,790,1935,4,1,20809146.489999987
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,790,800,1844,2,1,19429854.40999998
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,800,810,1669,1,0,17906558.149999995
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,810,820,1758,3,0,18685399.48000002
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,820,830,1848,0,1,19012319.899999987
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,830,840,1834,0,0,18992650.610000003
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,840,850,1849,1,0,18691846.529999997
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,850,860,660,2,0,5805921.489999998
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,860,870,519,1,1,4529039.4399999995
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,870,880,222,0,0,1901321.3500000003
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,880,890,19,0,0,132426.17
Hyundai Auto Receivables Trust 2017-A,2019-01-31,23,890,900,5,0,0,24133.550000000003
