series,reporting_date,vintage_month,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,620,630,1030,0,0,19524863.999999996
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,630,640,1282,0,0,24238346.22
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,640,650,1483,0,0,28672303.519999996
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,650,660,2131,0,0,39428438.410000004
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,660,670,2232,0,0,40916610.76000001
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,670,680,2871,0,0,53501638.36999996
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,680,690,2865,0,0,52778132.73000001
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,690,700,4101,0,0,75281424.78000002
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,700,710,4498,0,0,82050828.05000001
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,710,720,4315,0,0,77277045.10000001
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,720,730,4898,0,0,86183466.96999998
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,730,740,4529,0,0,79659359.22000009
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,740,750,4287,0,0,74907090.99999997
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,750,760,4088,0,0,69815418.91000003
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,760,770,4195,0,0,71505863.34999996
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,770,780,4238,0,0,70414209.08000003
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,780,790,4877,0,0,80830828.88000003
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,790,800,4847,0,0,80146685.64999999
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,800,810,5455,0,0,87358132.37000006
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,810,820,5993,0,0,94161723.72000006
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,820,830,6304,0,0,99673997.21000001
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,830,840,5076,0,0,81083816.54
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,840,850,2919,0,0,50078190.43000004
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,850,860,2188,0,0,40970790.31999999
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,860,870,1326,0,0,25574430.64
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,870,880,770,0,0,16214038.569999993
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,880,890,257,0,0,5890485.859999999
Toyota Auto Receivables 2017-A Owner Trust,2017-01-31,0,890,900,96,0,0,2367121.0300000003
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,620,630,759,31,18,12311536.589999996
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,630,640,932,40,16,15134302.439999975
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,640,650,1074,38,10,17845302.95000003
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,650,660,1540,41,13,24368762.370000005
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,660,670,1629,32,11,25170729.869999994
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,670,680,2131,51,17,33331967.099999998
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,680,690,2179,30,8,32835568.720000044
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,690,700,3195,46,11,47559743.210000075
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,700,710,3514,36,16,51919709.15000001
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,710,720,3343,25,10,48630647.43000006
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,720,730,3750,24,11,53236209.24000001
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,730,740,3553,16,5,50091119.14999989
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,740,750,3368,21,4,47534072.31999998
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,750,760,3178,17,4,43398635.55999994
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,760,770,3284,10,5,44845213.33000006
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,770,780,3273,5,3,43055035.82000009
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,780,790,3725,2,2,49264393.73000001
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,790,800,3761,8,5,49362648.77000005
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,800,810,4174,4,1,53351561.379999965
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,810,820,4506,7,2,56615285.46000007
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,820,830,4860,3,0,60194783.77999988
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,830,840,3936,3,2,49801125.50999998
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,840,850,2293,1,1,31696369.20999996
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,850,860,1831,0,0,27278117.16000007
