series,reporting_date,vintage_month,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
USAA Auto Owner Trust 2017-1,2018-01-31,6,600,610,43,1,0,655650.53
USAA Auto Owner Trust 2017-1,2018-01-31,6,610,620,91,3,1,1165900.9
USAA Auto Owner Trust 2017-1,2018-01-31,6,620,630,150,1,0,1998035.4299999995
USAA Auto Owner Trust 2017-1,2018-01-31,6,630,640,233,0,0,2963393.750000002
USAA Auto Owner Trust 2017-1,2018-01-31,6,640,650,364,2,1,5102609.289999997
USAA Auto Owner Trust 2017-1,2018-01-31,6,650,660,572,0,1,7655409.580000002
USAA Auto Owner Trust 2017-1,2018-01-31,6,660,670,779,3,1,10470545.039999995
USAA Auto Owner Trust 2017-1,2018-01-31,6,670,680,986,4,1,13452378.570000002
USAA Auto Owner Trust 2017-1,2018-01-31,6,680,690,1204,1,0,15727836.689999994
USAA Auto Owner Trust 2017-1,2018-01-31,6,690,700,1522,2,1,20277424.83000001
USAA Auto Owner Trust 2017-1,2018-01-31,6,700,710,1624,2,0,21307879.95
USAA Auto Owner Trust 2017-1,2018-01-31,6,710,720,1744,1,0,23149472.299999986
USAA Auto Owner Trust 2017-1,2018-01-31,6,720,730,1988,3,1,25446774.439999964
USAA Auto Owner Trust 2017-1,2018-01-31,6,730,740,1985,1,2,25266535.170000013
USAA Auto Owner Trust 2017-1,2018-01-31,6,740,750,2054,4,0,25472716.04000006
USAA Auto Owner Trust 2017-1,2018-01-31,6,750,760,1997,1,0,24802109.40999998
USAA Auto Owner Trust 2017-1,2018-01-31,6,760,770,2045,0,0,24933426.359999973
USAA Auto Owner Trust 2017-1,2018-01-31,6,770,780,2067,1,0,26666617.649999972
USAA Auto Owner Trust 2017-1,2018-01-31,6,780,790,2123,0,0,27691157.670000013
USAA Auto Owner Trust 2017-1,2018-01-31,6,790,800,2031,0,0,25770286.99
USAA Auto Owner Trust 2017-1,2018-01-31,6,800,810,1796,0,0,22388067.479999993
USAA Auto Owner Trust 2017-1,2018-01-31,6,810,820,1003,0,0,12544347.980000008
USAA Auto Owner Trust 2017-1,2018-01-31,6,820,830,350,0,0,5094235.969999999
USAA Auto Owner Trust 2017-1,2018-01-31,6,830,840,104,0,0,1610141.68
USAA Auto Owner Trust 2017-1,2018-01-31,6,840,850,2,0,0,24237.58
USAA Auto Owner Trust 2017-1,2019-01-31,18,600,610,29,1,0,359960.50000000006
USAA Auto Owner Trust 2017-1,2019-01-31,18,610,620,53,0,0,563744.5800000001
USAA Auto Owner Trust 2017-1,2019-01-31,18,620,630,104,1,0,1072413.6699999997
USAA Auto Owner Trust 2017-1,2019-01-31,18,630,640,143,0,1,1510135.1699999997
USAA Auto Owner Trust 2017-1,2019-01-31,18,640,650,229,4,2,2656306.4200000013
USAA Auto Owner Trust 2017-1,2019-01-31,18,650,660,378,4,2,3951658.2099999986
USAA Auto Owner Trust 2017-1,2019-01-31,18,660,670,496,4,1,5240243.1
USAA Auto Owner Trust 2017-1,2019-01-31,18,670,680,637,4,0,6864946.659999996
USAA Auto Owner Trust 2017-1,2019-01-31,18,680,690,806,0,1,8287953.55999999
USAA Auto Owner Trust 2017-1,2019-01-31,18,690,700,1002,10,1,10646153.12999999
USAA Auto Owner Trust 2017-1,2019-01-31,18,700,710,1034,4,1,10984136.940000001
USAA Auto Owner Trust 2017-1,2019-01-31,18,710,720,1184,4,1,12591323.96999998
USAA Auto Owner Trust 2017-1,2019-01-31,18,720,730,1320,3,0,13465504.420000004
USAA Auto Owner Trust 2017-1,2019-01-31,18,730,740,1288,3,2,13134341.170000015
USAA Auto Owner Trust 2017-1,2019-01-31,18,740,750,1392,1,0,13597237.350000003
USAA Auto Owner Trust 2017-1,2019-01-31,18,750,760,1326,1,0,13050881.88999998
USAA Auto Owner Trust 2017-1,2019-01-31,18,760,770,1297,3,0,12716164.799999982
USAA Auto Owner Trust 2017-1,2019-01-31,18,770,780,1350,0,0,13990370.349999977
USAA Auto Owner Trust 2017-1,2019-01-31,18,780,790,1448,1,1,14876315.830000002
USAA Auto Owner Trust 2017-1,2019-01-31,18,790,800,1384,0,0,13541774.609999996
USAA Auto Owner Trust 2017-1,2019-01-31,18,800,810,1235,1,0,12058811.1
USAA Auto Owner Trust 2017-1,2019-01-31,18,810,820,694,2,0,6807417.010000003
USAA Auto Owner Trust 2017-1,2019-01-31,18,820,830,272,0,0,3091466.319999999
USAA Auto Owner Trust 2017-1,2019-01-31,18,830,840,80,0,0,952044.99
USAA Auto Owner Trust 2017-1,2019-01-31,18,840,850,2,0,0,18090.86
USAA Auto Owner Trust 2017-1,2020-01-31,30,600,610,15,0,0,140301.84
USAA Auto Owner Trust 2017-1,2020-01-31,30,610,620,31,0,0,223289.74
USAA Auto Owner Trust 2017-1,2020-01-31,30,620,630,63,2,0,459728.82000000007
USAA Auto Owner Trust 2017-1,2020-01-31,30,630,640,75,1,0,613295.0899999999
USAA Auto Owner Trust 2017-1,2020-01-31,30,640,650,140,0,1,1099512.7100000002
USAA Auto Owner Trust 2017-1,2020-01-31,30,650,660,236,4,1,1842065.7199999995
USAA Auto Owner Trust 2017-1,2020-01-31,30,660,670,291,2,1,2365332.3000000017
USAA Auto Owner Trust 2017-1,2020-01-31,30,670,680,391,4,0,3255292.8700000006
USAA Auto Owner Trust 2017-1,2020-01-31,30,680,690,464,3,2,3537815.869999999
USAA Auto Owner Trust 2017-1,2020-01-31,30,690,700,581,2,2,4584201.2
USAA Auto Owner Trust 2017-1,2020-01-31,30,700,710,645,3,0,4881178.540000002
USAA Auto Owner Trust 2017-1,2020-01-31,30,710,720,746,1,1,5601931.260000002
USAA Auto Owner Trust 2017-1,2020-01-31,30,720,730,796,0,0,5968250.089999993
USAA Auto Owner Trust 2017-1,2020-01-31,30,730,740,772,3,1,6005816.989999994
USAA Auto Owner Trust 2017-1,2020-01-31,30,740,750,846,0,1,5916162.620000008
USAA Auto Owner Trust 2017-1,2020-01-31,30,750,760,768,1,1,5609221.5
USAA Auto Owner Trust 2017-1,2020-01-31,30,760,770,745,0,2,5501107.509999995
USAA Auto Owner Trust 2017-1,2020-01-31,30,770,780,800,1,0,6067383.040000002
USAA Auto Owner Trust 2017-1,2020-01-31,30,780,790,801,0,0,6065789.179999995
USAA Auto Owner Trust 2017-1,2020-01-31,30,790,800,826,0,0,5811810.9100000085
USAA Auto Owner Trust 2017-1,2020-01-31,30,800,810,739,0,0,5075891.3199999975
USAA Auto Owner Trust 2017-1,2020-01-31,30,810,820,405,1,2,2904766.1700000004
USAA Auto Owner Trust 2017-1,2020-01-31,30,820,830,185,0,0,1517135.1400000001
USAA Auto Owner Trust 2017-1,2020-01-31,30,830,840,58,0,0,472645.74000000017
USAA Auto Owner Trust 2017-1,2020-01-31,30,840,850,2,0,0,11736.550000000001
USAA Auto Owner Trust 2017-1,2018-02-28,7,600,610,42,0,1,639541.07
USAA Auto Owner Trust 2017-1,2018-02-28,7,610,620,87,1,0,1082790.92
USAA Auto Owner Trust 2017-1,2018-02-28,7,620,630,145,1,0,1922352.2699999998
USAA Auto Owner Trust 2017-1,2018-02-28,7,630,640,220,0,0,2784941.819999999
USAA Auto Owner Trust 2017-1,2018-02-28,7,640,650,355,3,1,4900689.850000004
USAA Auto Owner Trust 2017-1,2018-02-28,7,650,660,559,0,0,7280337.550000004
USAA Auto Owner Trust 2017-1,2018-02-28,7,660,670,749,1,1,9884606.270000007
USAA Auto Owner Trust 2017-1,2018-02-28,7,670,680,965,1,1,12791466.780000007
USAA Auto Owner Trust 2017-1,2018-02-28,7,680,690,1162,1,0,14974680.910000006
USAA Auto Owner Trust 2017-1,2018-02-28,7,690,700,1469,3,0,19333829.93999998
USAA Auto Owner Trust 2017-1,2018-02-28,7,700,710,1555,1,1,20097616.620000016
USAA Auto Owner Trust 2017-1,2018-02-28,7,710,720,1693,1,0,22222780.53000001
USAA Auto Owner Trust 2017-1,2018-02-28,7,720,730,1934,2,1,24456512.91000002
USAA Auto Owner Trust 2017-1,2018-02-28,7,730,740,1911,2,0,23987831.889999993
USAA Auto Owner Trust 2017-1,2018-02-28,7,740,750,1992,5,0,24359529.729999978
USAA Auto Owner Trust 2017-1,2018-02-28,7,750,760,1942,2,0,23696354.610000074
USAA Auto Owner Trust 2017-1,2018-02-28,7,760,770,1973,0,0,23715530.49999995
USAA Auto Owner Trust 2017-1,2018-02-28,7,770,780,1988,0,0,25278800.539999958
USAA Auto Owner Trust 2017-1,2018-02-28,7,780,790,2063,0,0,26459944.060000014
USAA Auto Owner Trust 2017-1,2018-02-28,7,790,800,1966,1,0,24553006.639999986
USAA Auto Owner Trust 2017-1,2018-02-28,7,800,810,1751,0,0,21297890.91000002
USAA Auto Owner Trust 2017-1,2018-02-28,7,810,820,974,0,0,11975955.52999999
USAA Auto Owner Trust 2017-1,2018-02-28,7,820,830,344,0,0,4907040.419999999
USAA Auto Owner Trust 2017-1,2018-02-28,7,830,840,104,0,0,1564302.3599999999
USAA Auto Owner Trust 2017-1,2018-02-28,7,840,850,2,0,0,23734.79
USAA Auto Owner Trust 2017-1,2019-02-28,19,600,610,28,1,0,333378.72000000003
USAA Auto Owner Trust 2017-1,2019-02-28,19,610,620,52,0,0,541733.18
USAA Auto Owner Trust 2017-1,2019-02-28,19,620,630,99,2,0,1008994.7499999999
USAA Auto Owner Trust 2017-1,2019-02-28,19,630,640,141,0,0,1433634.8499999996
USAA Auto Owner Trust 2017-1,2019-02-28,19,640,650,220,1,1,2428376.5300000007
USAA Auto Owner Trust 2017-1,2019-02-28,19,650,660,375,1,1,3762005.8999999985
USAA Auto Owner Trust 2017-1,2019-02-28,19,660,670,487,2,1,4989801.4
USAA Auto Owner Trust 2017-1,2019-02-28,19,670,680,616,0,3,6534671.120000001
USAA Auto Owner Trust 2017-1,2019-02-28,19,680,690,773,2,0,7792734.479999998
USAA Auto Owner Trust 2017-1,2019-02-28,19,690,700,972,3,1,10006069.280000001
USAA Auto Owner Trust 2017-1,2019-02-28,19,700,710,1000,0,1,10333579.030000003
