series,reporting_date,vintage_month,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,650,660,984,30,6,24749364.42
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,660,670,1336,29,12,36816724.84000004
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,670,680,1454,15,11,39075408.53000002
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,680,690,1561,27,6,42001029.1200001
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,690,700,1668,19,14,45001018.86
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,700,710,2076,22,12,54449606.820000045
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,710,720,1787,13,7,46508823.63999996
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,720,730,2083,15,5,53998354.06000002
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,730,740,1950,8,2,48880364.59999998
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,740,750,1800,8,3,46651417.89
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,750,760,1840,7,2,45814583.02999989
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,760,770,1507,3,0,37363779.88000003
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,770,780,1653,2,2,40717907.720000006
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,780,790,1593,0,1,38395770.470000006
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,790,800,1493,2,0,35217600.359999985
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,800,810,1741,2,0,41677278.40999996
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,810,820,1479,0,1,34624685.029999964
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,820,830,1555,1,2,36627393.53000004
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,830,840,1522,0,2,36457459.41999993
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,840,850,1353,0,0,32019634.14999996
WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2019-01-31,7,850,860,1308,0,0,30285805.79999994
