issuer_code,reporting_date,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
AART,2017-07-01,620,630,59,0,0,1027576.3599999996
AART,2017-07-01,630,640,51,1,0,914790.26
AART,2017-07-01,640,650,68,1,0,1213953.85
AART,2017-07-01,650,660,87,0,0,1506940.7999999996
AART,2017-07-01,660,670,4553,76,20,65113700.19999993
AART,2017-07-01,670,680,4803,66,14,69279501.45999986
AART,2017-07-01,680,690,4663,71,12,67871761.85999995
AART,2017-07-01,690,700,4544,57,7,67623009.35000014
AART,2017-07-01,700,710,3520,45,16,53942388.45999991
AART,2017-07-01,710,720,3114,35,11,46089825.91
AART,2017-07-01,720,730,2775,23,5,40545509.600000024
AART,2017-07-01,730,740,2624,22,5,38048512.76999997
AART,2017-07-01,740,750,2490,14,3,35833071.19999997
AART,2017-07-01,750,760,2138,12,5,31584351.36000001
AART,2017-07-01,760,770,1986,9,3,28348717.569999967
AART,2017-07-01,770,780,2034,2,0,28800132.759999983
AART,2017-07-01,780,790,2268,10,3,32957680.74000006
AART,2017-07-01,790,800,2138,7,0,30565619.079999976
AART,2017-07-01,800,810,2430,6,0,34330063.24999999
AART,2017-07-01,810,820,2784,5,2,37545691.72000009
AART,2017-07-01,820,830,2766,4,5,36628417.13999999
AART,2017-07-01,830,840,2313,3,1,29710173.31999994
AART,2017-07-01,840,850,1112,3,0,14699451.370000014
AART,2017-07-01,850,860,706,1,0,8925253.419999998
AART,2017-07-01,860,870,330,0,0,4014177.360000001
AART,2017-07-01,870,880,222,1,0,2831541.139999999
AART,2017-07-01,880,890,50,0,0,587185.16
AART,2017-07-01,890,900,7,0,0,81166.61
AART,2017-08-01,620,630,115,1,0,1973191.1700000002
AART,2017-08-01,630,640,108,1,1,1929894.73
AART,2017-08-01,640,650,152,1,0,2681091.0200000005
AART,2017-08-01,650,660,174,1,0,3028678.0
AART,2017-08-01,660,670,9016,129,40,124187103.42999995
AART,2017-08-01,670,680,9560,147,43,134369639.51000005
AART,2017-08-01,680,690,8979,120,33,126117358.89999995
