Series Label,Reporting Date,vintage_month,bucket,dq_rate
AART 2017-1,2017-02-28,0,60+,0.0008517628448879019
AART 2017-1,2017-03-31,1,60+,0.0008835428518283137
AART 2017-1,2017-04-30,2,60+,0.001387859384610532
AART 2017-1,2017-05-31,3,60+,0.0012889504720781104
AART 2017-1,2017-06-30,4,60+,0.0016805061289047055
AART 2017-1,2017-07-31,5,60+,0.0019373641739247628
AART 2017-1,2017-08-31,6,60+,0.0024322925651198896
AART 2017-1,2017-09-30,7,60+,0.0024514991181657847
AART 2017-1,2017-10-31,8,60+,0.002914396394113281
AART 2017-1,2017-11-30,9,60+,0.0028768699654775605
AART 2017-1,2017-12-31,10,60+,0.003916871066491738
AART 2017-1,2018-01-31,11,60+,0.0037501464900972694
AART 2017-1,2018-02-28,12,60+,0.002722886259435001
AART 2017-1,2018-03-31,13,60+,0.0024316861064171786
AART 2017-1,2018-04-30,14,60+,0.003133734225459473
AART 2017-1,2018-05-31,15,60+,0.0029813718662952647
AART 2017-1,2018-06-30,16,60+,0.0032599473049613717
AART 2017-1,2018-07-31,17,60+,0.003719179025666927
AART 2017-1,2018-08-31,18,60+,0.0036368788966559605
AART 2017-1,2018-09-30,19,60+,0.004430670895576592
AART 2017-1,2018-10-31,20,60+,0.003758088601294176
AART 2017-1,2018-11-30,21,60+,0.0046676529102688364
AART 2017-1,2018-12-31,22,60+,0.0045310494748697
AART 2017-1,2019-01-31,23,60+,0.0044407363548282916
AART 2017-1,2019-02-28,24,60+,0.0032881103036666573
AART 2017-1,2019-03-31,25,60+,0.0033890581835787316
AART 2017-1,2019-04-30,26,60+,0.003706209371415125
AART 2017-1,2019-05-31,27,60+,0.004123586307267821
AART 2017-1,2019-06-30,28,60+,0.004878048780487805
AART 2017-1,2019-07-31,29,60+,0.004694987695894314
AART 2017-1,2019-08-31,30,60+,0.005560580176196697
AART 2017-1,2019-09-30,31,60+,0.005067508937558572
AART 2017-1,2019-10-31,32,60+,0.005566329095740861
AART 2017-1,2019-11-30,33,60+,0.005776494112419463
AART 2017-1,2019-12-31,34,60+,0.0062907556578442655
AART 2017-1,2020-01-31,35,60+,0.006133747560441312
AART 2017-1,2020-02-29,36,60+,0.004757964418700869
AART 2017-1,2020-03-31,37,60+,0.004779126840609662
AART 2017-1,2020-04-30,38,60+,0.0031857136447256246
AART 2017-1,2020-05-31,39,60+,0.0023475280529602328
AART 2017-1,2020-06-30,40,60+,0.0018327719437289478
AART 2017-1,2020-07-31,41,60+,0.0023100750774400166
AART 2017-1,2020-08-31,42,60+,0.003609106052193226
AART 2017-1,2020-09-30,43,60+,0.004846998364868021
AART 2017-2,2017-03-31,0,60+,0.0001226692836113837
AART 2017-2,2017-04-30,1,60+,0.0010741472982860344
AART 2017-2,2017-05-31,2,60+,0.0010471370321597994
AART 2017-2,2017-06-30,3,60+,0.001230848961876073
AART 2017-2,2017-07-31,4,60+,0.00163633658947786
AART 2017-2,2017-08-31,5,60+,0.0019486571210709143
AART 2017-2,2017-09-30,6,60+,0.0023402152998075825
AART 2017-2,2017-10-31,7,60+,0.002527994872799131
AART 2017-2,2017-11-30,8,60+,0.0028010178862383976
AART 2017-2,2017-12-31,9,60+,0.003352733985044546
AART 2017-2,2018-01-31,10,60+,0.0032615659399328274
AART 2017-2,2018-02-28,11,60+,0.002728648820905035
AART 2017-2,2018-03-31,12,60+,0.002468221646303838
AART 2017-2,2018-04-30,13,60+,0.0024381453134606824
AART 2017-2,2018-05-31,14,60+,0.00255598033861278
AART 2017-2,2018-06-30,15,60+,0.0035760070170703733
AART 2017-2,2018-07-31,16,60+,0.003447797112180674
AART 2017-2,2018-08-31,17,60+,0.0035265804084161365
AART 2017-2,2018-09-30,18,60+,0.004453688975896244
AART 2017-2,2018-10-31,19,60+,0.004240496743904286
AART 2017-2,2018-11-30,20,60+,0.004223344992874725
AART 2017-2,2018-12-31,21,60+,0.004715221908466087
AART 2017-2,2019-01-31,22,60+,0.004936781766819341
AART 2017-2,2019-02-28,23,60+,0.004255798878272879
AART 2017-2,2019-03-31,24,60+,0.0036121063823589387
AART 2017-2,2019-04-30,25,60+,0.0033984962406015035
AART 2017-2,2019-05-31,26,60+,0.004121475054229935
AART 2017-2,2019-06-30,27,60+,0.005112964560764388
AART 2017-2,2019-07-31,28,60+,0.004635301129026918
AART 2017-2,2019-08-31,29,60+,0.0054848993863768816
AART 2017-2,2019-09-30,30,60+,0.004673393520977164
AART 2017-2,2019-10-31,31,60+,0.004775373764831209
AART 2017-2,2019-11-30,32,60+,0.004169351476329455
AART 2017-2,2019-12-31,33,60+,0.0056510477984459614
AART 2017-2,2020-01-31,34,60+,0.0055528534370946825
AART 2017-2,2020-02-29,35,60+,0.004671323962629408
AART 2017-2,2020-03-31,36,60+,0.00441067295515088
AART 2017-2,2020-04-30,37,60+,0.0028606456885982836
AART 2017-2,2020-05-31,38,60+,0.0022293900009486764
AART 2017-2,2020-06-30,39,60+,0.002242822966507177
AART 2017-2,2020-07-31,40,60+,0.0025173064820641915
AART 2017-2,2020-08-31,41,60+,0.0028648559308027104
AART 2017-2,2020-09-30,42,60+,0.004347322049617436
AART 2017-2,2020-10-31,43,60+,0.005493834696618239
AART 2017-2,2020-11-30,44,60+,0.00627923367719613
AART 2017-3,2017-06-30,0,60+,0.001058596425680304
AART 2017-3,2017-07-31,1,60+,0.001632355504841598
AART 2017-3,2017-08-31,2,60+,0.0018119459004724001
AART 2017-3,2017-09-30,3,60+,0.0023466032092277693
