Issuer,Series Label,CIK,Entity Name,Reporting Date,vintage_month,dq60_rate,dq30_59_rate,dq60_numerator,dq30_59_numerator,loan_count_total
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2017-02-28,0,0.0008517628448879019,0.004943266510510145,56,325,65746
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2017-03-31,1,0.0008835428518283137,0.005301257110969882,57,342,64513
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2017-04-30,2,0.001387859384610532,0.005362183985995237,88,340,63407
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2017-05-31,3,0.0012889504720781104,0.00694422066832082,80,431,62066
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2017-06-30,4,0.0016805061289047055,0.006540793462501648,102,397,60696
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2017-07-31,5,0.0019373641739247628,0.008086389595512054,115,480,59359
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2017-08-31,6,0.0024322925651198896,0.007831637053648439,141,454,57970
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2017-09-30,7,0.0024514991181657847,0.00947089947089947,139,537,56700
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2017-10-31,8,0.002914396394113281,0.00984740148073059,161,544,55243
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2017-11-30,9,0.0028768699654775605,0.010152566910427261,155,547,53878
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2017-12-31,10,0.003916871066491738,0.012606240374194284,206,663,52593
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2018-01-31,11,0.0037501464900972694,0.011738739794523223,192,601,51198
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2018-02-28,12,0.002722886259435001,0.010370993252848019,136,518,49947
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2018-03-31,13,0.0024316861064171786,0.010406792235090468,118,505,48526
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2018-04-30,14,0.003133734225459473,0.008977725078343355,148,424,47228
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2018-05-31,15,0.0029813718662952647,0.010489206128133704,137,482,45952
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2018-06-30,16,0.0032599473049613717,0.010940919037199124,146,490,44786
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2018-07-31,17,0.003719179025666927,0.013017126589834244,162,567,43558
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2018-08-31,18,0.0036368788966559605,0.012516531267712072,154,530,42344
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2018-09-30,19,0.004430670895576592,0.01387308427959228,183,573,41303
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2018-10-31,20,0.003758088601294176,0.01523145843703335,151,612,40180
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2018-11-30,21,0.0046676529102688364,0.01295720042850584,183,508,39206
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2018-12-31,22,0.0045310494748697,0.016474162541578272,173,629,38181
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2019-01-31,23,0.0044407363548282916,0.014963935838088062,165,556,37156
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2019-02-28,24,0.0032881103036666573,0.012737973529330496,119,461,36191
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2019-03-31,25,0.0033890581835787316,0.013499273773246376,119,474,35113
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2019-04-30,26,0.003706209371415125,0.012383445598141012,126,421,33997
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2019-05-31,27,0.004123586307267821,0.013674539886601377,136,451,32981
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2019-06-30,28,0.004878048780487805,0.015509693558474046,156,496,31980
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2019-07-31,29,0.004694987695894314,0.016966714156197382,145,524,30884
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2019-08-31,30,0.005560580176196697,0.017117207650822364,166,511,29853
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2019-09-30,31,0.005067508937558572,0.016903266113637152,146,487,28811
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2019-10-31,32,0.005566329095740861,0.017991812109459167,155,501,27846
AART,AART 2017-1,1679731,Ally Auto Receivables Trust 2017-1,2019-11-30,33,0.005776494112419463,0.017958972080278458,156,485,27006
