Series Label,Reporting Date,vintage_month,bucket,dq_rate
AMCAR 2017-1,2017-01-31,0,60+,0.0004389114994812864
AMCAR 2017-1,2017-02-28,1,60+,0.0058789184400732854
AMCAR 2017-1,2017-03-31,2,60+,0.007906672659665754
AMCAR 2017-1,2017-04-30,3,60+,0.012932287125835513
AMCAR 2017-1,2017-05-31,4,60+,0.014546842529369355
AMCAR 2017-1,2017-06-30,5,60+,0.01669264744089374
AMCAR 2017-1,2017-07-31,6,60+,0.01815411117736699
AMCAR 2017-1,2017-08-31,7,60+,0.019442249068533365
AMCAR 2017-1,2017-09-30,8,60+,0.018002256037201594
AMCAR 2017-1,2017-10-31,9,60+,0.01823063877897117
AMCAR 2017-1,2017-11-30,10,60+,0.02146914412246077
AMCAR 2017-1,2017-12-31,11,60+,0.027186325793855447
AMCAR 2017-1,2018-01-31,12,60+,0.043642456982793114
AMCAR 2017-1,2018-02-28,13,60+,0.0394460117978969
AMCAR 2017-1,2018-03-31,14,60+,0.028932613984978314
AMCAR 2017-1,2018-04-30,15,60+,0.02932479053721045
AMCAR 2017-1,2018-05-31,16,60+,0.028722406886559276
AMCAR 2017-1,2018-06-30,17,60+,0.02775990171415199
AMCAR 2017-1,2018-07-31,18,60+,0.03097785143890312
AMCAR 2017-1,2018-08-31,19,60+,0.030646815652876636
AMCAR 2017-1,2018-09-30,20,60+,0.035103940823874503
AMCAR 2017-1,2018-10-31,21,60+,0.03433081223281815
AMCAR 2017-1,2018-11-30,22,60+,0.03570221110284671
AMCAR 2017-1,2018-12-31,23,60+,0.0398848541601637
AMCAR 2017-1,2019-01-31,24,60+,0.03805956839664705
AMCAR 2017-1,2019-02-28,25,60+,0.03513523405189767
AMCAR 2017-1,2019-03-31,26,60+,0.02756750649644108
AMCAR 2017-1,2019-04-30,27,60+,0.02735009671179884
AMCAR 2017-1,2019-05-31,28,60+,0.025393802325120025
AMCAR 2017-1,2019-06-30,29,60+,0.03232232883395674
AMCAR 2017-1,2019-07-31,30,60+,0.03201467339197132
AMCAR 2017-1,2019-08-31,31,60+,0.03335048010973937
AMCAR 2017-1,2019-09-30,32,60+,0.038334434897554524
AMCAR 2017-1,2019-10-31,33,60+,0.03699008466518767
AMCAR 2017-1,2019-11-30,34,60+,0.04069039112884517
AMCAR 2017-1,2019-12-31,35,60+,0.039672334142972804
