Series Label,Reporting Date,vintage_month,bucket,dq_rate
BLAST 2023-1,2023-09-30,0,60+,0.0
BLAST 2023-1,2023-10-31,1,60+,0.0004752851711026616
BLAST 2023-1,2023-11-30,2,60+,0.008728638774307601
BLAST 2023-1,2023-12-31,3,60+,0.02112860401630455
BLAST 2023-1,2024-01-31,4,60+,0.04137039431157078
BLAST 2023-1,2024-02-29,5,60+,0.04491551697411254
BLAST 2023-1,2024-03-31,6,60+,0.05490506329113924
BLAST 2023-1,2024-04-30,7,60+,0.07623626373626374
BLAST 2023-1,2024-05-31,8,60+,0.0794044665012407
BLAST 2023-1,2024-06-30,9,60+,0.08347803989665833
BLAST 2023-1,2024-07-31,10,60+,0.08501234888860003
BLAST 2023-1,2024-08-31,11,60+,0.07583359232784265
BLAST 2023-1,2024-09-30,12,60+,0.08580123546511628
BLAST 2023-1,2024-10-31,13,60+,0.08669551863744242
BLAST 2023-1,2024-11-30,14,60+,0.08743143334128309
BLAST 2023-1,2024-12-31,15,60+,0.10182333675514493
BLAST 2023-1,2025-01-31,16,60+,0.09954342481561387
BLAST 2023-1,2025-02-28,17,60+,0.09684048291805805
BLAST 2023-1,2025-03-31,18,60+,0.10574384964628868
BLAST 2023-1,2025-04-30,19,60+,0.1136129905277402
BLAST 2023-1,2025-05-31,20,60+,0.1127936755372453
BLAST 2023-1,2025-06-30,21,60+,0.1278624864370967
BLAST 2023-1,2025-07-31,22,60+,0.12065716641149453
BLAST 2023-1,2025-08-31,23,60+,0.1164229812534126
BLAST 2023-1,2025-09-30,24,60+,0.12306636726546906
BLAST 2023-1,2025-10-31,25,60+,0.11643571978444958
BLAST 2023-1,2025-11-30,26,60+,0.12368143459915612
BLAST 2023-1,2025-12-31,27,60+,0.1327001356852103
BLAST 2024-1,2024-01-31,0,60+,0.0035054750460771205
BLAST 2024-1,2024-02-29,1,60+,0.014329580348004094
BLAST 2024-1,2024-03-31,2,60+,0.02092625631876301
BLAST 2024-1,2024-04-30,3,60+,0.039539463717618545
BLAST 2024-1,2024-05-31,4,60+,0.05276362513509341
BLAST 2024-1,2024-06-30,5,60+,0.07193989930774072
BLAST 2024-1,2024-07-31,6,60+,0.08600242033077854
BLAST 2024-1,2024-08-31,7,60+,0.07649570877731249
BLAST 2024-1,2024-09-30,8,60+,0.07624421910136196
BLAST 2024-1,2024-10-31,9,60+,0.07386511587535805
BLAST 2024-1,2024-11-30,10,60+,0.07969504897832543
BLAST 2024-1,2024-12-31,11,60+,0.10231248012357458
BLAST 2024-1,2025-01-31,12,60+,0.10382844117783877
BLAST 2024-1,2025-02-28,13,60+,0.09446455792682927
BLAST 2024-1,2025-03-31,14,60+,0.10111149194535572
BLAST 2024-1,2025-04-30,15,60+,0.11129501454508978
BLAST 2024-1,2025-05-31,16,60+,0.11554936264643649
BLAST 2024-1,2025-06-30,17,60+,0.1322257020011678
BLAST 2024-1,2025-07-31,18,60+,0.12996983822319716
BLAST 2024-1,2025-08-31,19,60+,0.12706775436211193
BLAST 2024-1,2025-09-30,20,60+,0.1326762699014405
BLAST 2024-1,2025-10-31,21,60+,0.1253617945007236
BLAST 2024-1,2025-11-30,22,60+,0.13355634020937868
BLAST 2024-1,2025-12-31,23,60+,0.1459798031445737
BLAST 2024-2,2024-04-30,0,60+,0.00014214135958210441
BLAST 2024-2,2024-05-31,1,60+,0.005103507763082231
BLAST 2024-2,2024-06-30,2,60+,0.018034036068072135
BLAST 2024-2,2024-07-31,3,60+,0.0379382811635881
BLAST 2024-2,2024-08-31,4,60+,0.05164619905070444
BLAST 2024-2,2024-09-30,5,60+,0.07746343710414187
BLAST 2024-2,2024-10-31,6,60+,0.08030945648759033
BLAST 2024-2,2024-11-30,7,60+,0.07240838328170884
BLAST 2024-2,2024-12-31,8,60+,0.07137280683732589
BLAST 2024-2,2025-01-31,9,60+,0.065062463318521
BLAST 2024-2,2025-02-28,10,60+,0.062232860318003076
BLAST 2024-2,2025-03-31,11,60+,0.07595544878794497
BLAST 2024-2,2025-04-30,12,60+,0.08670003575259207
BLAST 2024-2,2025-05-31,13,60+,0.08887462166376227
BLAST 2024-2,2025-06-30,14,60+,0.10794201810761364
BLAST 2024-2,2025-07-31,15,60+,0.10837628245267569
BLAST 2024-2,2025-08-31,16,60+,0.114746772591857
BLAST 2024-2,2025-09-30,17,60+,0.12692327352655522
BLAST 2024-2,2025-10-31,18,60+,0.12220355004726394
BLAST 2024-2,2025-11-30,19,60+,0.12631066911685224
BLAST 2024-2,2025-12-31,20,60+,0.1311219946571683
BLAST 2024-3,2024-07-31,0,60+,0.00035833402243722263
BLAST 2024-3,2024-08-31,1,60+,0.008515747152110788
BLAST 2024-3,2024-09-30,2,60+,0.02733401314298663
BLAST 2024-3,2024-10-31,3,60+,0.03996650206474342
BLAST 2024-3,2024-11-30,4,60+,0.05244972091787012
BLAST 2024-3,2024-12-31,5,60+,0.0683651804670913
BLAST 2024-3,2025-01-31,6,60+,0.06702983626060549
BLAST 2024-3,2025-02-28,7,60+,0.059033177812338
BLAST 2024-3,2025-03-31,8,60+,0.05913996570621659
BLAST 2024-3,2025-04-30,9,60+,0.06476548626344929
BLAST 2024-3,2025-05-31,10,60+,0.06986346021513165
BLAST 2024-3,2025-06-30,11,60+,0.08662124728606722
BLAST 2024-3,2025-07-31,12,60+,0.0905210879602685
BLAST 2024-3,2025-08-31,13,60+,0.09393890545659708
BLAST 2024-3,2025-09-30,14,60+,0.10833471691847917
BLAST 2024-3,2025-10-31,15,60+,0.10893591501028102
BLAST 2024-3,2025-11-30,16,60+,0.1156681824202022
BLAST 2024-3,2025-12-31,17,60+,0.12692850316297274
BLAST 2024-4,2024-10-31,0,60+,0.0002634043549520019
BLAST 2024-4,2024-11-30,1,60+,0.006924101198402131
BLAST 2024-4,2024-12-31,2,60+,0.025951453401258616
BLAST 2024-4,2025-01-31,3,60+,0.03418203994511358
BLAST 2024-4,2025-02-28,4,60+,0.04094258090589735
BLAST 2024-4,2025-03-31,5,60+,0.051179477410547035
BLAST 2024-4,2025-04-30,6,60+,0.0571928800700321
BLAST 2024-4,2025-05-31,7,60+,0.050169221580728646
BLAST 2024-4,2025-06-30,8,60+,0.05411277455273789
BLAST 2024-4,2025-07-31,9,60+,0.05633164953840794
BLAST 2024-4,2025-08-31,10,60+,0.07071902456517841
BLAST 2024-4,2025-09-30,11,60+,0.08667600648871848
BLAST 2024-4,2025-10-31,12,60+,0.08713692946058091
BLAST 2024-4,2025-11-30,13,60+,0.09466362779000315
BLAST 2024-4,2025-12-31,14,60+,0.10988074957410562
BLAST 2025-1,2025-01-31,0,60+,0.0002528045504819087
BLAST 2025-1,2025-02-28,1,60+,0.005343828997472081
BLAST 2025-1,2025-03-31,2,60+,0.018898558254318742
BLAST 2025-1,2025-04-30,3,60+,0.029725886982111562
BLAST 2025-1,2025-05-31,4,60+,0.03742161688355471
BLAST 2025-1,2025-06-30,5,60+,0.05425557502662956
BLAST 2025-1,2025-07-31,6,60+,0.0553207972392422
BLAST 2025-1,2025-08-31,7,60+,0.05059847660500544
BLAST 2025-1,2025-09-30,8,60+,0.05521449566543885
BLAST 2025-1,2025-10-31,9,60+,0.06109854728046303
BLAST 2025-1,2025-11-30,10,60+,0.07377826980863514
BLAST 2025-1,2025-12-31,11,60+,0.08924849822238567
BLAST 2025-2,2025-05-31,0,60+,0.00016399715738260536
BLAST 2025-2,2025-06-30,1,60+,0.006257235790286124
BLAST 2025-2,2025-07-31,2,60+,0.01917449346450768
BLAST 2025-2,2025-08-31,3,60+,0.0313963721009453
BLAST 2025-2,2025-09-30,4,60+,0.05052199311720987
BLAST 2025-2,2025-10-31,5,60+,0.05452182645165101
BLAST 2025-2,2025-11-30,6,60+,0.05689462728890766
BLAST 2025-2,2025-12-31,7,60+,0.0545790934320074
BLAST 2025-3,2025-07-31,0,60+,0.0005436373520679128
BLAST 2025-3,2025-08-31,1,60+,0.010792737122783256
BLAST 2025-3,2025-09-30,2,60+,0.029105405289553774
BLAST 2025-3,2025-10-31,3,60+,0.04047077353867693
BLAST 2025-3,2025-11-30,4,60+,0.05387536296627206
BLAST 2025-3,2025-12-31,5,60+,0.07197661673364998
BLAST 2025-4,2025-10-31,0,60+,0.00024182961376355974
BLAST 2025-4,2025-11-30,1,60+,0.005704744677890636
BLAST 2025-4,2025-12-31,2,60+,0.021047083626141952
BLAST 2023-1,2023-09-30,0,30-59,0.0
BLAST 2023-1,2023-10-31,1,30-59,0.019230769230769232
BLAST 2023-1,2023-11-30,2,30-59,0.040807307012374776
BLAST 2023-1,2023-12-31,3,30-59,0.07531505927227852
BLAST 2023-1,2024-01-31,4,30-59,0.07749344081524012
BLAST 2023-1,2024-02-29,5,30-59,0.07142303518834289
BLAST 2023-1,2024-03-31,6,30-59,0.09252373417721518
BLAST 2023-1,2024-04-30,7,30-59,0.0850032320620556
BLAST 2023-1,2024-05-31,8,30-59,0.0902398676592225
BLAST 2023-1,2024-06-30,9,30-59,0.10389225361060522
BLAST 2023-1,2024-07-31,10,30-59,0.0921183760128255
BLAST 2023-1,2024-08-31,11,30-59,0.10544776450739245
BLAST 2023-1,2024-09-30,12,30-59,0.09452216569767442
BLAST 2023-1,2024-10-31,13,30-59,0.098422448694681
BLAST 2023-1,2024-11-30,14,30-59,0.10608156451228237
BLAST 2023-1,2024-12-31,15,30-59,0.10627169184142347
BLAST 2023-1,2025-01-31,16,30-59,0.10049671366213436
BLAST 2023-1,2025-02-28,17,30-59,0.09344978165938865
BLAST 2023-1,2025-03-31,18,30-59,0.09951430683138
BLAST 2023-1,2025-04-30,19,30-59,0.09602165087956699
BLAST 2023-1,2025-05-31,20,30-59,0.11145752143413874
BLAST 2023-1,2025-06-30,21,30-59,0.09822397350236994
BLAST 2023-1,2025-07-31,22,30-59,0.10140148392415499
BLAST 2023-1,2025-08-31,23,30-59,0.12079111812170115
BLAST 2023-1,2025-09-30,24,30-59,0.10522704590818363
BLAST 2023-1,2025-10-31,25,30-59,0.10495252758532204
BLAST 2023-1,2025-11-30,26,30-59,0.1217035864978903
BLAST 2023-1,2025-12-31,27,30-59,0.11601085481682497
BLAST 2024-1,2024-01-31,0,30-59,0.0358136677387879
BLAST 2024-1,2024-02-29,1,30-59,0.041343763708144465
BLAST 2024-1,2024-03-31,2,30-59,0.06883734760630389
BLAST 2024-1,2024-04-30,3,30-59,0.07487501893652476
BLAST 2024-1,2024-05-31,4,30-59,0.08480006175698626
BLAST 2024-1,2024-06-30,5,30-59,0.10474354940213972
BLAST 2024-1,2024-07-31,6,30-59,0.09225494150867285
BLAST 2024-1,2024-08-31,7,30-59,0.09618972594220324
BLAST 2024-1,2024-09-30,8,30-59,0.08723323009037295
BLAST 2024-1,2024-10-31,9,30-59,0.09890634493533547
BLAST 2024-1,2024-11-30,10,30-59,0.11581933424936838
BLAST 2024-1,2024-12-31,11,30-59,0.11039934578165463
BLAST 2024-1,2025-01-31,12,30-59,0.10047913662371494
BLAST 2024-1,2025-02-28,13,30-59,0.09432164634146341
BLAST 2024-1,2025-03-31,14,30-59,0.10277628164324536
BLAST 2024-1,2025-04-30,15,30-59,0.09855552211856757
BLAST 2024-1,2025-05-31,16,30-59,0.11874903235795015
BLAST 2024-1,2025-06-30,17,30-59,0.10419873666330484
BLAST 2024-1,2025-07-31,18,30-59,0.10611461475185084
BLAST 2024-1,2025-08-31,19,30-59,0.1264445955132563
BLAST 2024-1,2025-09-30,20,30-59,0.11127310899865865
