series_label,reporting_date,vintage_month,bucket,dq_rate
CAOT 2017-1,2017-02-28,0,60+,0.0016643078052104628
CAOT 2017-1,2017-03-31,1,60+,0.003061129008541753
CAOT 2017-1,2017-04-30,2,60+,0.004262621035285786
CAOT 2017-1,2017-05-31,3,60+,0.004918674193728691
CAOT 2017-1,2017-06-30,4,60+,0.006214486082140545
CAOT 2017-1,2017-07-31,5,60+,0.007821162972929018
CAOT 2017-1,2017-08-31,6,60+,0.009528151356279917
CAOT 2017-1,2017-09-30,7,60+,0.00976078334159643
CAOT 2017-1,2017-10-31,8,60+,0.010493046776232617
CAOT 2017-1,2017-11-30,9,60+,0.011267106175147892
CAOT 2017-1,2017-12-31,10,60+,0.012245969992448865
CAOT 2017-1,2018-01-31,11,60+,0.01330916536596009
CAOT 2017-1,2018-02-28,12,60+,0.012219609727633137
CAOT 2017-1,2018-03-31,13,60+,0.010779305138603605
CAOT 2017-1,2018-04-30,14,60+,0.011525156387230916
CAOT 2017-1,2018-05-31,15,60+,0.012400419480065497
CAOT 2017-1,2018-06-30,16,60+,0.012952877997125785
CAOT 2017-1,2018-07-31,17,60+,0.015212013790148225
CAOT 2017-1,2018-08-31,18,60+,0.01541178359287205
CAOT 2017-1,2018-09-30,19,60+,0.015687077616219538
CAOT 2017-1,2018-10-31,20,60+,0.016253368709131553
CAOT 2017-1,2018-11-30,21,60+,0.016514151947222812
CAOT 2017-1,2018-12-31,22,60+,0.017421602787456445
CAOT 2017-1,2019-01-31,23,60+,0.0166468227719716
CAOT 2017-1,2019-02-28,24,60+,0.014947113660810326
CAOT 2017-1,2019-03-31,25,60+,0.01144855007883732
CAOT 2017-1,2019-04-30,26,60+,0.013258280610346111
CAOT 2017-1,2019-05-31,27,60+,0.013277378666097637
CAOT 2017-1,2019-06-30,28,60+,0.013799425828086175
CAOT 2017-1,2019-07-31,29,60+,0.014810981319927054
CAOT 2017-1,2019-08-31,30,60+,0.01501433529500528
CAOT 2017-1,2019-09-30,31,60+,0.015355382087099426
CAOT 2017-1,2019-10-31,32,60+,0.016639066319690875
CAOT 2017-1,2019-11-30,33,60+,0.01726773025874782
CAOT 2017-1,2019-12-31,34,60+,0.018805945635213928
CAOT 2017-1,2020-01-31,35,60+,0.01767457494187838
CAOT 2017-1,2020-02-29,36,60+,0.01491554537646722
CAOT 2017-1,2020-03-31,37,60+,0.014858884557896896
CAOT 2017-1,2020-04-30,38,60+,0.012062582109160397
CAOT 2017-1,2020-05-31,39,60+,0.011346259710074011
CAOT 2017-1,2020-06-30,40,60+,0.012379122436765679
CAOT 2017-1,2020-07-31,41,60+,0.012484556863255088
CAOT 2017-1,2020-08-31,42,60+,0.012379227053140096
CAOT 2017-1,2020-09-30,43,60+,0.011703014307542715
CAOT 2017-1,2020-10-31,44,60+,0.012632260850788167
CAOT 2017-1,2020-11-30,45,60+,0.014842851311736984
CAOT 2017-1,2020-12-31,46,60+,0.015108520592069944
CAOT 2017-1,2021-01-31,47,60+,0.01353282006508453
CAOT 2017-2,2017-05-31,0,60+,0.001892461370376151
CAOT 2017-2,2017-06-30,1,60+,0.00396739237707992
CAOT 2017-2,2017-07-31,2,60+,0.004878926636140049
CAOT 2017-2,2017-08-31,3,60+,0.006570542069720752
CAOT 2017-2,2017-09-30,4,60+,0.00700651338634449
CAOT 2017-2,2017-10-31,5,60+,0.007771319040773382
CAOT 2017-2,2017-11-30,6,60+,0.008956485002112378
CAOT 2017-2,2017-12-31,7,60+,0.010143376845709394
CAOT 2017-2,2018-01-31,8,60+,0.011490008688097306
CAOT 2017-2,2018-02-28,9,60+,0.009369695099098305
CAOT 2017-2,2018-03-31,10,60+,0.008043916647994623
CAOT 2017-2,2018-04-30,11,60+,0.009671179883945842
CAOT 2017-2,2018-05-31,12,60+,0.010102177631883119
CAOT 2017-2,2018-06-30,13,60+,0.010135372920723553
CAOT 2017-2,2018-07-31,14,60+,0.01094003241491086
CAOT 2017-2,2018-08-31,15,60+,0.011443256479259098
CAOT 2017-2,2018-09-30,16,60+,0.011542058374760054
CAOT 2017-2,2018-10-31,17,60+,0.012491551305479761
CAOT 2017-2,2018-11-30,18,60+,0.012825396825396825
CAOT 2017-2,2018-12-31,19,60+,0.013442039268298976
CAOT 2017-2,2019-01-31,20,60+,0.015077616949863646
CAOT 2017-2,2019-02-28,21,60+,0.012937574870224943
CAOT 2017-2,2019-03-31,22,60+,0.010637143167263649
CAOT 2017-2,2019-04-30,23,60+,0.011507892703388894
CAOT 2017-2,2019-05-31,24,60+,0.012087479619947153
CAOT 2017-2,2019-06-30,25,60+,0.01201923076923077
CAOT 2017-2,2019-07-31,26,60+,0.012952536538405437
CAOT 2017-2,2019-08-31,27,60+,0.012984697667508543
CAOT 2017-2,2019-09-30,28,60+,0.013278886872353297
CAOT 2017-2,2019-10-31,29,60+,0.013221968809714603
CAOT 2017-2,2019-11-30,30,60+,0.013192612137203167
CAOT 2017-2,2019-12-31,31,60+,0.015350032113037893
CAOT 2017-2,2020-01-31,32,60+,0.01489935534798053
CAOT 2017-2,2020-02-29,33,60+,0.012951189154640563
CAOT 2017-2,2020-03-31,34,60+,0.012932961854641763
CAOT 2017-2,2020-04-30,35,60+,0.010592031425364759
CAOT 2017-2,2020-05-31,36,60+,0.0095856968478495
CAOT 2017-2,2020-06-30,37,60+,0.010136380390711389
CAOT 2017-2,2020-07-31,38,60+,0.01029126950974063
CAOT 2017-2,2020-08-31,39,60+,0.010121536597756848
CAOT 2017-2,2020-09-30,40,60+,0.00984489271076107
CAOT 2017-2,2020-10-31,41,60+,0.010310128670405807
CAOT 2017-2,2020-11-30,42,60+,0.011911322114365647
CAOT 2017-2,2020-12-31,43,60+,0.01175954365949978
CAOT 2017-2,2021-01-31,44,60+,0.010617452722715881
CAOT 2017-2,2021-02-28,45,60+,0.010334088335220839
CAOT 2017-2,2021-03-31,46,60+,0.008038106579339089
CAOT 2017-2,2021-04-30,47,60+,0.008556701030927835
CAOT 2017-3,2017-08-31,0,60+,0.0023514913736733564
