series_label,reporting_date,vintage_month,bucket,dq_rate
CMXS 2024-A,2024-05-31,0,60+,0.0
CMXS 2024-A,2024-06-30,1,60+,0.0009402457607885096
CMXS 2024-A,2024-07-31,2,60+,0.012477016023115314
CMXS 2024-A,2024-08-31,3,60+,0.024363381503854753
CMXS 2024-A,2024-09-30,4,60+,0.027320729006983478
CMXS 2024-A,2024-10-31,5,60+,0.03009718883895914
CMXS 2024-A,2024-11-30,6,60+,0.03374233128834356
CMXS 2024-A,2024-12-31,7,60+,0.03468545766548614
CMXS 2024-A,2025-01-31,8,60+,0.036272928466934244
CMXS 2024-A,2025-02-28,9,60+,0.02994265481276219
CMXS 2024-A,2025-03-31,10,60+,0.03117221761289558
CMXS 2024-A,2025-04-30,11,60+,0.041568754557977476
CMXS 2024-A,2025-05-31,12,60+,0.046038677479725516
CMXS 2024-A,2025-06-30,13,60+,0.05155962517650079
CMXS 2024-A,2025-07-31,14,60+,0.05269206966669614
CMXS 2024-A,2025-08-31,15,60+,0.05486386646600082
CMXS 2024-A,2025-09-30,16,60+,0.0568123030616564
CMXS 2024-A,2025-10-31,17,60+,0.05898344579833972
CMXS 2024-A,2025-11-30,18,60+,0.06426928078423527
CMXS 2024-A,2025-12-31,19,60+,0.06912418570985421
CMXS 2024-A,2026-01-31,20,60+,0.07039315324953196
CMXS 2025-A,2025-02-28,0,60+,0.0
CMXS 2025-A,2025-03-31,1,60+,0.00036398616852559605
CMXS 2025-A,2025-04-30,2,60+,0.015628718762395875
CMXS 2025-A,2025-05-31,3,60+,0.02514079383471208
CMXS 2025-A,2025-06-30,4,60+,0.03069060773480663
CMXS 2025-A,2025-07-31,5,60+,0.03116994022203245
CMXS 2025-A,2025-08-31,6,60+,0.0351723533023419
CMXS 2025-A,2025-09-30,7,60+,0.03492729725678309
CMXS 2025-A,2025-10-31,8,60+,0.03552173511198743
CMXS 2025-A,2025-11-30,9,60+,0.04091038227216768
CMXS 2025-A,2025-12-31,10,60+,0.045021701107728185
CMXS 2025-A,2026-01-31,11,60+,0.04745853218970063
CMXS 2025-B,2025-08-31,0,60+,0.0
CMXS 2025-B,2025-09-30,1,60+,0.0007220379521198584
CMXS 2025-B,2025-10-31,2,60+,0.008313104016855219
CMXS 2025-B,2025-11-30,3,60+,0.016280584240394455
CMXS 2025-B,2025-12-31,4,60+,0.02023224335684263
CMXS 2025-B,2026-01-31,5,60+,0.022970903522205207
CMXS 2026-A,2026-01-31,0,60+,0.0
CMXS 2024-A,2024-05-31,0,30-59,0.0021821449200949876
CMXS 2024-A,2024-06-30,1,30-59,0.03553480530428298
CMXS 2024-A,2024-07-31,2,30-59,0.05056474914630943
CMXS 2024-A,2024-08-31,3,30-59,0.04949437639755699
CMXS 2024-A,2024-09-30,4,30-59,0.05545903593936297
CMXS 2024-A,2024-10-31,5,30-59,0.05907966698017905
CMXS 2024-A,2024-11-30,6,30-59,0.058353545441575116
CMXS 2024-A,2024-12-31,7,30-59,0.06845814012924897
CMXS 2024-A,2025-01-31,8,30-59,0.0637683333958513
CMXS 2024-A,2025-02-28,9,30-59,0.06146326444213524
CMXS 2024-A,2025-03-31,10,30-59,0.06862628896527202
CMXS 2024-A,2025-04-30,11,30-59,0.07236042460092375
CMXS 2024-A,2025-05-31,12,30-59,0.07901850696610523
CMXS 2024-A,2025-06-30,13,30-59,0.07950023533438877
CMXS 2024-A,2025-07-31,14,30-59,0.08142516134736097
CMXS 2024-A,2025-08-31,15,30-59,0.0821817850139098
CMXS 2024-A,2025-09-30,16,30-59,0.08686450641960212
CMXS 2024-A,2025-10-31,17,30-59,0.08976163891451042
CMXS 2024-A,2025-11-30,18,30-59,0.09012703811143342
CMXS 2024-A,2025-12-31,19,30-59,0.09988625788439665
CMXS 2024-A,2026-01-31,20,30-59,0.09355442631719711
CMXS 2025-A,2025-02-28,0,30-59,0.0
CMXS 2025-A,2025-03-31,1,30-59,0.04261238072953228
CMXS 2025-A,2025-04-30,2,30-59,0.04804971572127462
CMXS 2025-A,2025-05-31,3,30-59,0.05232949799250896
CMXS 2025-A,2025-06-30,4,30-59,0.05196132596685083
CMXS 2025-A,2025-07-31,5,30-59,0.05855394249928836
CMXS 2025-A,2025-08-31,6,30-59,0.057918896003274566
CMXS 2025-A,2025-09-30,7,30-59,0.060710538150202366
CMXS 2025-A,2025-10-31,8,30-59,0.06445053760128161
CMXS 2025-A,2025-11-30,9,30-59,0.06483790523690773
CMXS 2025-A,2025-12-31,10,30-59,0.07550042106626935
CMXS 2025-A,2026-01-31,11,30-59,0.07345726395888262
CMXS 2025-B,2025-08-31,0,30-59,0.0016692261467583628
CMXS 2025-B,2025-09-30,1,30-59,0.029039463886820552
CMXS 2025-B,2025-10-31,2,30-59,0.03861127650803829
CMXS 2025-B,2025-11-30,3,30-59,0.038398920829844634
CMXS 2025-B,2025-12-31,4,30-59,0.04863337370283299
CMXS 2025-B,2026-01-31,5,30-59,0.04633073239505092
CMXS 2026-A,2026-01-31,0,30-59,0.003483148766484902
