series_label,reporting_date,vintage_month,bucket,dq_rate
COPAR 2019-1,2019-05-31,0,60+,1.5672016048144433e-05
COPAR 2019-1,2019-06-30,1,60+,9.530768497633192e-05
COPAR 2019-1,2019-07-31,2,60+,0.00017730782249875078
COPAR 2019-1,2019-08-31,3,60+,0.00032759496158949077
COPAR 2019-1,2019-09-30,4,60+,0.00034911557387950527
COPAR 2019-1,2019-10-31,5,60+,0.0003880939524838013
COPAR 2019-1,2019-11-30,6,60+,0.0003763771983849997
COPAR 2019-1,2019-12-31,7,60+,0.00045129486912448796
COPAR 2019-1,2020-01-31,8,60+,0.0006178724005225435
COPAR 2019-1,2020-02-29,9,60+,0.0005565729469639843
COPAR 2019-1,2020-03-31,10,60+,0.0005297771282426014
COPAR 2019-1,2020-04-30,11,60+,0.0005936699936922563
COPAR 2019-1,2020-05-31,12,60+,0.0004915305505142166
COPAR 2019-1,2020-06-30,13,60+,0.000580046403712297
COPAR 2019-1,2020-07-31,14,60+,0.0005935070330583417
COPAR 2019-1,2020-08-31,15,60+,0.0005257198317696538
COPAR 2019-1,2020-09-30,16,60+,0.0005587401444446744
COPAR 2019-1,2020-10-31,17,60+,0.0005929565235806104
COPAR 2019-1,2020-11-30,18,60+,0.0006915031549831446
COPAR 2019-1,2020-12-31,19,60+,0.0007524121448172081
COPAR 2019-1,2021-01-31,20,60+,0.0007720955581796712
COPAR 2019-1,2021-02-28,21,60+,0.0005346350534635053
COPAR 2019-1,2021-03-31,22,60+,0.0004808617041738796
COPAR 2019-1,2021-04-30,23,60+,0.0005451887096374496
COPAR 2019-1,2021-05-31,24,60+,0.0005859574034444105
COPAR 2019-1,2021-06-30,25,60+,0.0005787037037037037
COPAR 2019-1,2021-07-31,26,60+,0.0007076755579749592
COPAR 2019-1,2021-08-31,27,60+,0.0007016362156549073
COPAR 2019-1,2021-09-30,28,60+,0.0006636657433056325
COPAR 2019-1,2021-10-31,29,60+,0.0007109004739336493
COPAR 2019-1,2021-11-30,30,60+,0.0006692218774715581
COPAR 2019-1,2021-12-31,31,60+,0.0008121193190691864
COPAR 2019-1,2022-01-31,32,60+,0.0008986744551786115
COPAR 2019-1,2022-02-28,33,60+,0.0007263362937039849
COPAR 2019-1,2022-03-31,34,60+,0.0009216589861751152
COPAR 2019-1,2022-04-30,35,60+,0.0007388122713200113
COPAR 2019-1,2022-05-31,36,60+,0.0007977084013198448
COPAR 2019-1,2022-06-30,37,60+,0.0008664531926916557
COPAR 2019-1,2022-07-31,38,60+,0.0010564620260593966
COPAR 2019-1,2022-08-31,39,60+,0.0010182884607551628
COPAR 2019-1,2022-09-30,40,60+,0.0010993192676842416
COPAR 2019-1,2022-10-31,41,60+,0.001218981279930344
COPAR 2019-1,2022-11-30,42,60+,0.0013886400286686974
COPAR 2019-1,2022-12-31,43,60+,0.0016214964095436647
COPAR 2019-2,2019-08-31,0,60+,0.0
COPAR 2019-2,2019-09-30,1,60+,0.00011612041687229658
COPAR 2019-2,2019-10-31,2,60+,0.00016223231667748214
COPAR 2019-2,2019-11-30,3,60+,0.0002394277676353515
COPAR 2019-2,2019-12-31,4,60+,0.00045582314062143887
COPAR 2019-2,2020-01-31,5,60+,0.0003708224532995473
COPAR 2019-2,2020-02-29,6,60+,0.0005186232909005186
COPAR 2019-2,2020-03-31,7,60+,0.0005428881650380022
COPAR 2019-2,2020-04-30,8,60+,0.0005188067444876783
COPAR 2019-2,2020-05-31,9,60+,0.00042925540696714544
COPAR 2019-2,2020-06-30,10,60+,0.000505314221226566
COPAR 2019-2,2020-07-31,11,60+,0.00048177845073815343
COPAR 2019-2,2020-08-31,12,60+,0.00047486721305708957
COPAR 2019-2,2020-09-30,13,60+,0.00041292639138240574
COPAR 2019-2,2020-10-31,14,60+,0.00038547670619332576
COPAR 2019-2,2020-11-30,15,60+,0.0005991948319445745
COPAR 2019-2,2020-12-31,16,60+,0.0007466687088374943
COPAR 2019-2,2021-01-31,17,60+,0.0005495152490481611
COPAR 2019-2,2021-02-28,18,60+,0.0005217845030002609
COPAR 2019-2,2021-03-31,19,60+,0.0003733975023855952
COPAR 2019-2,2021-04-30,20,60+,0.0005120764700861995
COPAR 2019-2,2021-05-31,21,60+,0.000634254095313081
COPAR 2019-2,2021-06-30,22,60+,0.0006965979057121028
COPAR 2019-2,2021-07-31,23,60+,0.0007171775592828225
COPAR 2019-2,2021-08-31,24,60+,0.0005943041886559216
COPAR 2019-2,2021-09-30,25,60+,0.0005619624706802189
COPAR 2019-2,2021-10-31,26,60+,0.0005788493481652992
COPAR 2019-2,2021-11-30,27,60+,0.000619370822472838
COPAR 2019-2,2021-12-31,28,60+,0.0009035344140313579
COPAR 2019-2,2022-01-31,29,60+,0.001065777607739185
COPAR 2019-2,2022-02-28,30,60+,0.0010391507049373702
COPAR 2019-2,2022-03-31,31,60+,0.0006085545380781268
COPAR 2019-2,2022-04-30,32,60+,0.0008340532006791576
COPAR 2019-2,2022-05-31,33,60+,0.000978025000764082
COPAR 2019-2,2022-06-30,34,60+,0.0008788173629201845
COPAR 2019-2,2022-07-31,35,60+,0.001030297176341801
COPAR 2019-2,2022-08-31,36,60+,0.0010962726729120988
COPAR 2019-2,2022-09-30,37,60+,0.0010275380189066995
COPAR 2019-2,2022-10-31,38,60+,0.0009540298929366453
COPAR 2019-2,2022-11-30,39,60+,0.001057853651418983
COPAR 2019-2,2022-12-31,40,60+,0.0014730321800876264
COPAR 2019-2,2023-01-31,41,60+,0.0017215744580953126
COPAR 2019-2,2023-02-28,42,60+,0.0013390139987827145
COPAR 2019-2,2023-03-31,43,60+,0.0012640094379371366
COPAR 2019-2,2023-04-30,44,60+,0.001482838327009464
COPAR 2020-1,2020-01-31,0,60+,0.0
COPAR 2020-1,2020-02-29,1,60+,4.7306673394726886e-05
COPAR 2020-1,2020-03-31,2,60+,9.600460822119461e-05
COPAR 2020-1,2020-04-30,3,60+,0.00011347609707069561
COPAR 2020-1,2020-05-31,4,60+,0.00013183481098183976
COPAR 2020-1,2020-06-30,5,60+,0.00015114873035066505
COPAR 2020-1,2020-07-31,6,60+,8.559152301556054e-05
COPAR 2020-1,2020-08-31,7,60+,0.00022686421304294715
COPAR 2020-1,2020-09-30,8,60+,0.0002847887223665943
COPAR 2020-1,2020-10-31,9,60+,0.00030844038028884533
COPAR 2020-1,2020-11-30,10,60+,0.0003508059304665719
COPAR 2020-1,2020-12-31,11,60+,0.00035753937637605617
COPAR 2020-1,2021-01-31,12,60+,0.00038470416249903824
COPAR 2020-1,2021-02-28,13,60+,0.0005096640138001333
COPAR 2020-1,2021-03-31,14,60+,0.0003424933515996454
COPAR 2020-1,2021-04-30,15,60+,0.0002685229173982195
COPAR 2020-1,2021-05-31,16,60+,0.0002536568867844762
COPAR 2020-1,2021-06-30,17,60+,0.00034686842846922626
COPAR 2020-1,2021-07-31,18,60+,0.0003996713813087017
COPAR 2020-1,2021-08-31,19,60+,0.0004998863894569416
COPAR 2020-1,2021-09-30,20,60+,0.0004877482290094066
COPAR 2020-1,2021-10-31,21,60+,0.0004037237579557329
COPAR 2020-1,2021-11-30,22,60+,0.0006560085524077943
COPAR 2020-1,2021-12-31,23,60+,0.0006728301228537965
COPAR 2020-1,2022-01-31,24,60+,0.00061235424693185
COPAR 2020-1,2022-02-28,25,60+,0.0005222750300308142
COPAR 2020-1,2022-03-31,26,60+,0.0004035512510088781
COPAR 2020-1,2022-04-30,27,60+,0.0006346403244943572
COPAR 2020-1,2022-05-31,28,60+,0.0004809052333804809
COPAR 2020-1,2022-06-30,29,60+,0.0004934258264882594
COPAR 2020-1,2022-07-31,30,60+,0.0005651061804770686
COPAR 2020-1,2022-08-31,31,60+,0.0010381679389312977
COPAR 2020-1,2022-09-30,32,60+,0.000937529297790556
COPAR 2020-1,2022-10-31,33,60+,0.0009267248266385453
COPAR 2020-1,2022-11-30,34,60+,0.0011439029970258523
COPAR 2020-1,2022-12-31,35,60+,0.0011046394858405303
COPAR 2020-1,2023-01-31,36,60+,0.001098071511907213
COPAR 2020-1,2023-02-28,37,60+,0.0009165256627185561
COPAR 2020-1,2023-03-31,38,60+,0.0007311544929443592
COPAR 2020-1,2023-04-30,39,60+,0.0008310981829171546
COPAR 2020-1,2023-05-31,40,60+,0.0007026583909122848
COPAR 2020-1,2023-06-30,41,60+,0.0008876336493847085
COPAR 2020-1,2023-07-31,42,60+,0.0012525573044966808
COPAR 2020-1,2023-08-31,43,60+,0.0012996014555536302
COPAR 2020-1,2023-09-30,44,60+,0.0012982361894529502
COPAR 2020-1,2023-10-31,45,60+,0.0015242494226327945
COPAR 2021-1,2021-09-30,0,60+,0.0
COPAR 2021-1,2021-10-31,1,60+,6.331317863813352e-05
COPAR 2021-1,2021-11-30,2,60+,0.00020920838764704937
COPAR 2021-1,2021-12-31,3,60+,0.00016383505087078329
COPAR 2021-1,2022-01-31,4,60+,0.0002332089552238806
COPAR 2021-1,2022-02-28,5,60+,0.00027120023052019595
COPAR 2021-1,2022-03-31,6,60+,0.00022468414594099448
COPAR 2021-1,2022-04-30,7,60+,0.00028150676495944545
COPAR 2021-1,2022-05-31,8,60+,0.0003041743455778418
COPAR 2021-1,2022-06-30,9,60+,0.0003638745360599665
COPAR 2021-1,2022-07-31,10,60+,0.00042495011455177004
COPAR 2021-1,2022-08-31,11,60+,0.00037564328913263965
COPAR 2021-1,2022-09-30,12,60+,0.0005343001621982635
COPAR 2021-1,2022-10-31,13,60+,0.0005807875479149727
COPAR 2021-1,2022-11-30,14,60+,0.0005301081813362653
COPAR 2021-1,2022-12-31,15,60+,0.0007563995381981767
COPAR 2021-1,2023-01-31,16,60+,0.0008694245622548424
COPAR 2021-1,2023-02-28,17,60+,0.0006359496163787799
COPAR 2021-1,2023-03-31,18,60+,0.0007734760431474204
