series_label,reporting_date,vintage_month,bucket,dq_rate
CRART 2017-1,2017-02-28,0,60+,0.0
CRART 2017-1,2017-03-31,1,60+,0.0009926050920641223
CRART 2017-1,2017-04-30,2,60+,0.003314584170349538
CRART 2017-1,2017-05-31,3,60+,0.004529953682496055
CRART 2017-1,2017-06-30,4,60+,0.006044637321760695
CRART 2017-1,2017-07-31,5,60+,0.007923181865883094
CRART 2017-1,2017-08-31,6,60+,0.00857980282440714
CRART 2017-1,2017-09-30,7,60+,0.006892060563303847
CRART 2017-1,2017-10-31,8,60+,0.007841404826329449
CRART 2017-1,2017-11-30,9,60+,0.010741198965245754
CRART 2017-1,2017-12-31,10,60+,0.01200960768614892
CRART 2017-1,2018-01-31,11,60+,0.01165093790050099
CRART 2017-1,2018-02-28,12,60+,0.010136937577805443
CRART 2017-1,2018-03-31,13,60+,0.009185955158034689
CRART 2017-1,2018-04-30,14,60+,0.009300893132121959
CRART 2017-1,2018-05-31,15,60+,0.009805770318687535
CRART 2017-1,2018-06-30,16,60+,0.01088139281828074
CRART 2017-1,2018-07-31,17,60+,0.01063621533442088
CRART 2017-1,2018-08-31,18,60+,0.011865084655379284
CRART 2017-1,2018-09-30,19,60+,0.012076803039554922
CRART 2017-1,2018-10-31,20,60+,0.011665046521316483
CRART 2017-1,2018-11-30,21,60+,0.013004452611491978
CRART 2017-1,2018-12-31,22,60+,0.012694748990190421
CRART 2017-1,2019-01-31,23,60+,0.013632009431876797
CRART 2017-1,2019-02-28,24,60+,0.011191227279555356
CRART 2017-1,2019-03-31,25,60+,0.00968039336201598
CRART 2017-1,2019-04-30,26,60+,0.010043942247332079
CRART 2017-1,2019-05-31,27,60+,0.010681015097976228
CRART 2017-1,2019-06-30,28,60+,0.012622950819672131
CRART 2017-1,2019-07-31,29,60+,0.013502180476350219
CRART 2017-1,2019-08-31,30,60+,0.012876641771825908
CRART 2017-1,2019-09-30,31,60+,0.013831380495110563
CRART 2017-1,2019-10-31,32,60+,0.012662807525325614
CRART 2017-1,2019-11-30,33,60+,0.013711321104317213
CRART 2017-1,2019-12-31,34,60+,0.013833237931692425
CRART 2017-1,2020-01-31,35,60+,0.013839811542991754
CRART 2017-1,2020-02-29,36,60+,0.011124473842453398
CRART 2017-1,2020-03-31,37,60+,0.012602459016393442
CRART 2017-1,2020-04-30,38,60+,0.013196480938416423
CRART 2017-1,2020-05-31,39,60+,0.012115363996997962
CRART 2017-1,2020-06-30,40,60+,0.010925946363536033
CRART 2017-1,2020-07-31,41,60+,0.01021914386283638
CRART 2017-1,2020-08-31,42,60+,0.011338398597311514
