series_label,reporting_date,vintage_month,bucket,dq_rate
FCAOT 1692310,2020-08-31,0,60+,0.004560743401174391
FCAOT 1692310,2020-09-30,1,60+,0.004442075337597726
FCAOT 1692310,2020-10-31,2,60+,0.0043223217042297
FCAOT 1708287,2020-08-31,0,60+,0.003558929948395516
FCAOT 1708287,2020-09-30,1,60+,0.0036267519055815096
FCAOT 1708287,2020-10-31,2,60+,0.003057324840764331
FCAOT 1708287,2020-11-30,3,60+,0.0028981688842049796
FCAOT 1708287,2020-12-31,4,60+,0.0036943285215844564
FCAOT 1708287,2021-01-31,5,60+,0.0030570169202331866
FCAOT 1708287,2021-02-28,6,60+,0.003460462376675011
FCAOT 1708287,2021-03-31,7,60+,0.0032016242386381385
FCAOT 1721372,2020-08-31,0,60+,0.0032347852253065525
FCAOT 1721372,2020-09-30,1,60+,0.0036123519129928144
FCAOT 1721372,2020-10-31,2,60+,0.003292247159433091
FCAOT 1721372,2020-11-30,3,60+,0.0042579578338156265
FCAOT 1721372,2020-12-31,4,60+,0.0038053702753548828
FCAOT 1721372,2021-01-31,5,60+,0.004032436743918111
FCAOT 1721372,2021-02-28,6,60+,0.0031994149641208463
FCAOT 1721372,2021-03-31,7,60+,0.003032490974729242
FCAOT 1721372,2021-04-30,8,60+,0.003376505568714408
FCAOT 1721372,2021-05-31,9,60+,0.003471674293829888
FCAOT 1721372,2021-06-30,10,60+,0.0033653315679134945
FCAOT 1721372,2021-07-31,11,60+,0.003942257522175198
FCAOT 1739276,2020-08-31,0,60+,0.0028544977626909426
FCAOT 1739276,2020-09-30,1,60+,0.002376896565384463
FCAOT 1739276,2020-10-31,2,60+,0.0026097948864331443
FCAOT 1739276,2020-11-30,3,60+,0.003513468295131337
FCAOT 1739276,2020-12-31,4,60+,0.003189517693202879
FCAOT 1739276,2021-01-31,5,60+,0.0029833466916021015
FCAOT 1739276,2021-02-28,6,60+,0.003248387244361074
FCAOT 1739276,2021-03-31,7,60+,0.0026768642447418736
FCAOT 1739276,2021-04-30,8,60+,0.002926442140766827
FCAOT 1739276,2021-05-31,9,60+,0.0025606883130185392
FCAOT 1739276,2021-06-30,10,60+,0.003348926217308101
FCAOT 1739276,2021-07-31,11,60+,0.0029809550096605024
FCAOT 1739276,2021-08-31,12,60+,0.0040186003788966074
FCAOT 1739276,2021-09-30,13,60+,0.003342684892258103
FCAOT 1739276,2021-10-31,14,60+,0.0035775968418455466
FCAOT 1739276,2021-11-30,15,60+,0.004541384162722272
FCAOT 1739276,2021-12-31,16,60+,0.004328716036228024
FCAOT 1739276,2022-01-31,17,60+,0.004972032318210068
FCAOT 1754784,2020-08-31,0,60+,0.0027078527730418213
FCAOT 1754784,2020-09-30,1,60+,0.0027233955089666514
FCAOT 1754784,2020-10-31,2,60+,0.0022617294340416577
FCAOT 1754784,2020-11-30,3,60+,0.0029046312731967083
FCAOT 1754784,2020-12-31,4,60+,0.0028631208016738244
FCAOT 1754784,2021-01-31,5,60+,0.002537355511700028
FCAOT 1754784,2021-02-28,6,60+,0.002535876894703475
FCAOT 1754784,2021-03-31,7,60+,0.002504621623233347
