series_label,reporting_date,vintage_month,bucket,dq_rate
FTAT 2017-1,2017-07-31,0,60+,0.0
FTAT 2017-1,2017-09-30,2,60+,0.0008038872414162706
FTAT 2017-1,2017-10-31,3,60+,0.0014512208395312557
FTAT 2017-1,2017-11-30,4,60+,0.0021696361262801772
FTAT 2017-1,2017-12-31,5,60+,0.002311018339048755
FTAT 2017-1,2018-01-31,6,60+,0.0024628675356168535
FTAT 2017-1,2018-02-28,7,60+,0.0024606393817643555
FTAT 2017-1,2018-03-31,8,60+,0.0018220646147214985
FTAT 2017-1,2018-04-30,9,60+,0.002254948914431673
FTAT 2017-1,2018-05-31,10,60+,0.0023615154414608824
FTAT 2017-1,2018-06-30,11,60+,0.00203357473387147
FTAT 2017-1,2018-07-31,12,60+,0.0021591414237632565
FTAT 2017-1,2018-08-31,13,60+,0.0025511307130194143
FTAT 2017-1,2018-09-30,14,60+,0.002905696927005371
FTAT 2017-1,2018-10-31,15,60+,0.0031698215008317972
FTAT 2017-1,2018-11-30,16,60+,0.0034107036579224467
FTAT 2017-1,2018-12-31,17,60+,0.0036175228137325832
FTAT 2017-1,2019-01-31,18,60+,0.00398149914171276
FTAT 2017-1,2019-02-28,19,60+,0.003813271155153988
FTAT 2017-1,2019-03-31,20,60+,0.0036026634863844166
FTAT 2017-1,2019-04-30,21,60+,0.003336049709687277
FTAT 2017-1,2019-05-31,22,60+,0.003552954699827577
FTAT 2017-1,2019-06-30,23,60+,0.0035834625875808953
FTAT 2017-1,2019-07-31,24,60+,0.0037101162503091764
FTAT 2017-1,2019-08-31,25,60+,0.004091883959814878
FTAT 2017-1,2019-09-30,26,60+,0.004109271906470657
FTAT 2017-1,2019-10-31,27,60+,0.0036596251115739364
FTAT 2017-1,2019-11-30,28,60+,0.003784526171219289
FTAT 2017-1,2019-12-31,29,60+,0.004256118169869187
FTAT 2017-1,2020-01-31,30,60+,0.004251481576913167
FTAT 2017-1,2020-02-29,31,60+,0.004444591860426548
FTAT 2017-1,2020-03-31,32,60+,0.004745484961250896
FTAT 2017-1,2020-04-30,33,60+,0.005531090364629206
FTAT 2017-1,2020-05-31,34,60+,0.005161809928247181
FTAT 2017-1,2020-06-30,35,60+,0.004286096972944013
FTAT 2017-1,2020-07-31,36,60+,0.003563706254504685
FTAT 2017-1,2020-08-31,37,60+,0.0035480235421797386
FTAT 2017-1,2020-09-30,38,60+,0.0033590716747371636
FTAT 2017-1,2020-11-30,40,60+,0.0045840893897431
FTAT 2017-1,2020-12-31,41,60+,0.005560565073639916
FTAT 2017-1,2021-01-31,42,60+,0.0054428239272881
FTAT 2017-1,2021-02-28,43,60+,0.005823304309245189
FTAT 2017-1,2021-03-31,44,60+,0.0036183813773971777
FTAT 2019-1,2019-03-31,0,60+,0.0
FTAT 2019-1,2019-04-30,1,60+,1.2678449172097269e-05
FTAT 2019-1,2019-05-31,2,60+,0.0009419111764857681
FTAT 2019-1,2019-06-30,3,60+,0.002128302481705795
FTAT 2019-1,2019-07-31,4,60+,0.002215270598660097
FTAT 2019-1,2019-08-31,5,60+,0.002609854260243678
FTAT 2019-1,2019-09-30,6,60+,0.002867625353181799
FTAT 2019-1,2019-10-31,7,60+,0.0030087094220110845
FTAT 2019-1,2019-11-30,8,60+,0.0031068247073547817
FTAT 2019-1,2019-12-31,9,60+,0.0030786876339380037
FTAT 2019-1,2020-01-31,10,60+,0.003439407554302358
FTAT 2019-1,2020-02-29,11,60+,0.003526328329759352
FTAT 2019-1,2020-03-31,12,60+,0.0038692614118722656
FTAT 2019-1,2020-04-30,13,60+,0.005084489789069186
FTAT 2019-1,2020-05-31,14,60+,0.00515917522215512
FTAT 2019-1,2020-06-30,15,60+,0.003055153561665863
FTAT 2019-1,2020-07-31,16,60+,0.002477673205998188
FTAT 2019-1,2020-08-31,17,60+,0.0025431182836819764
FTAT 2019-1,2020-09-30,18,60+,0.0031804353838252144
FTAT 2019-1,2020-10-31,19,60+,0.003924678705059379
FTAT 2019-1,2020-11-30,20,60+,0.00415770010237553
FTAT 2019-1,2020-12-31,21,60+,0.0046531667384747954
FTAT 2019-1,2021-01-31,22,60+,0.004866017864284762
FTAT 2019-1,2021-02-28,23,60+,0.004541201706944159
FTAT 2019-1,2021-03-31,24,60+,0.0033490095482399886
FTAT 2019-1,2021-04-30,25,60+,0.002706493123047019
FTAT 2019-1,2021-05-31,26,60+,0.00261282057786459
FTAT 2019-1,2021-06-30,27,60+,0.0024422268907563025
FTAT 2019-1,2021-07-31,28,60+,0.0031457627118644067
FTAT 2019-1,2021-08-31,29,60+,0.0037276829507553464
FTAT 2019-1,2021-09-30,30,60+,0.003526521173579997
FTAT 2019-1,2021-10-31,31,60+,0.003359895337773549
FTAT 2019-1,2021-11-30,32,60+,0.003938330025950236
FTAT 2019-1,2021-12-31,33,60+,0.0034570539614695622
FTAT 2019-1,2022-01-31,34,60+,0.004589528118939884
FTAT 2019-1,2022-02-28,35,60+,0.004552856335781463
FTAT 2019-1,2022-03-31,36,60+,0.003961282766697668
FTAT 2019-1,2022-04-30,37,60+,0.004190192109655197
FTAT 2019-1,2022-05-31,38,60+,0.004428827641740785
FTAT 2019-1,2022-06-30,39,60+,0.004151256698618763
FTAT 2019-1,2022-07-31,40,60+,0.004783758556316117
FTAT 2019-1,2022-08-31,41,60+,0.005150698161039797
FTAT 2019-1,2022-09-30,42,60+,0.005274962618375146
FTAT 2019-1,2022-10-31,43,60+,0.006212510711225364
FTAT 2019-1,2022-11-30,44,60+,0.005735209776326819
FTAT 2019-1,2022-12-31,45,60+,0.00648490660821117
FTAT 2023-1,2023-07-31,0,60+,0.0
FTAT 2023-1,2023-08-31,1,60+,2.7993561480859404e-05
FTAT 2023-1,2023-09-30,2,60+,0.0004967286867912746
FTAT 2023-1,2023-10-31,3,60+,0.0009356018078705702
FTAT 2023-1,2023-11-30,4,60+,0.0012842215865973966
FTAT 2023-1,2023-12-31,5,60+,0.0018630785154517225
FTAT 2023-1,2024-01-31,6,60+,0.0016818837097549255
FTAT 2023-1,2024-02-29,7,60+,0.0018605786094462492
FTAT 2023-1,2024-03-31,8,60+,0.0017522368155809518
FTAT 2023-1,2024-04-30,9,60+,0.002004577381422145
FTAT 2023-1,2024-05-31,10,60+,0.0020572493932721515
FTAT 2023-1,2024-06-30,11,60+,0.0025989734872012816
FTAT 2023-1,2024-07-31,12,60+,0.0022147472190768
FTAT 2023-1,2024-08-31,13,60+,0.00257823763887711
FTAT 2023-1,2024-09-30,14,60+,0.00255304467828187
FTAT 2023-1,2024-10-31,15,60+,0.002868809180189377
FTAT 2023-1,2024-11-30,16,60+,0.002850535147636207
FTAT 2023-1,2024-12-31,17,60+,0.002798507462686567
FTAT 2023-1,2025-01-31,18,60+,0.0028229575621611515
FTAT 2023-1,2025-02-28,19,60+,0.0030198776758409785
FTAT 2023-1,2025-03-31,20,60+,0.002448387981353077
FTAT 2023-1,2025-04-30,21,60+,0.0024914607193088204
FTAT 2023-1,2025-05-31,22,60+,0.0031656628363516764
FTAT 2023-1,2025-06-30,23,60+,0.0036199856884286735
FTAT 2023-1,2025-07-31,24,60+,0.0038228116023412023
FTAT 2023-1,2025-08-31,25,60+,0.0032999645641389086
FTAT 2023-1,2025-09-30,26,60+,0.0031829756275009095
FTAT 2023-1,2025-10-31,27,60+,0.003196528150446814
FTAT 2023-1,2025-11-30,28,60+,0.0036506800286327844
FTAT 2023-1,2025-12-31,29,60+,0.003919359184773289
FTAT 2023-1,2026-01-31,30,60+,0.0041848387828673705
FTAT 2017-1,2017-07-31,0,30-59,0.0
FTAT 2017-1,2017-09-30,2,30-59,0.003876522919718461
FTAT 2017-1,2017-10-31,3,30-59,0.00573232231614846
