series_label,reporting_date,vintage_month,bucket,dq_rate
GMCAR 2018-1,2017-11-30,0,60+,0.0
GMCAR 2018-1,2017-12-31,1,60+,0.0001239771881973717
GMCAR 2018-1,2018-01-31,2,60+,0.0013321268788015885
GMCAR 2018-1,2018-02-28,3,60+,0.001428790120936878
GMCAR 2018-1,2018-03-31,4,60+,0.0012453946344247833
GMCAR 2018-1,2018-04-30,5,60+,0.0012900847769996315
GMCAR 2018-1,2018-05-31,6,60+,0.0015763178284218119
GMCAR 2018-1,2018-06-30,7,60+,0.0013562264355656821
GMCAR 2018-1,2018-07-31,8,60+,0.0015130257764573189
GMCAR 2018-1,2018-08-31,9,60+,0.0013422818791946308
GMCAR 2018-1,2018-09-30,10,60+,0.0017573696145124717
GMCAR 2018-1,2018-10-31,11,60+,0.001956215298754351
GMCAR 2018-1,2018-11-30,12,60+,0.0020444522328339028
GMCAR 2018-1,2018-12-31,13,60+,0.0020490586208944585
GMCAR 2018-1,2019-01-31,14,60+,0.0023571363814934576
GMCAR 2018-1,2019-02-28,15,60+,0.0023297161424805347
GMCAR 2018-1,2019-03-31,16,60+,0.00174743345710987
GMCAR 2018-1,2019-04-30,17,60+,0.001684464785151284
GMCAR 2018-1,2019-05-31,18,60+,0.0014886249635934112
GMCAR 2018-1,2019-06-30,19,60+,0.002538322070215922
GMCAR 2018-1,2019-07-31,20,60+,0.002518130539887188
GMCAR 2018-1,2019-08-31,21,60+,0.0028103365549386524
GMCAR 2018-1,2019-09-30,22,60+,0.003109061692167959
GMCAR 2018-1,2019-10-31,23,60+,0.0025329099925082946
GMCAR 2018-1,2019-11-30,24,60+,0.0027952227102769813
GMCAR 2018-1,2019-12-31,25,60+,0.002963621545528636
GMCAR 2018-1,2020-01-31,26,60+,0.003106648986550483
GMCAR 2018-1,2020-02-29,27,60+,0.0027501258860440797
GMCAR 2018-1,2020-03-31,28,60+,0.0029759542893421156
GMCAR 2018-1,2020-04-30,29,60+,0.003693031938638854
GMCAR 2018-1,2020-05-31,30,60+,0.0036608702887095433
GMCAR 2018-1,2020-06-30,31,60+,0.004056708514817662
GMCAR 2018-1,2020-07-31,32,60+,0.0034700869718000526
GMCAR 2018-1,2020-08-31,33,60+,0.0034767688625999007
GMCAR 2018-1,2020-09-30,34,60+,0.0027314814814814814
GMCAR 2018-1,2020-10-31,35,60+,0.003228869895536562
GMCAR 2018-1,2020-11-30,36,60+,0.0031093620949327115
GMCAR 2018-1,2020-12-31,37,60+,0.003209306990271788
GMCAR 2018-1,2021-01-31,38,60+,0.0033683992330414054
GMCAR 2018-1,2021-02-28,39,60+,0.0026043050757374436
GMCAR 2018-1,2021-03-31,40,60+,0.0017125179538172578
GMCAR 2018-1,2021-04-30,41,60+,0.0019987436468505513
GMCAR 2018-1,2021-05-31,42,60+,0.0018880169921529294
GMCAR 2018-1,2021-06-30,43,60+,0.0023248699908228814
GMCAR 2018-1,2021-07-31,44,60+,0.002420998980632008
GMCAR 2018-1,2021-08-31,45,60+,0.0021900716750730023
GMCAR 2018-1,2021-09-30,46,60+,0.0029466182416226956
GMCAR 2018-2,2018-03-31,0,60+,0.00021994336458361973
GMCAR 2018-2,2018-04-30,1,60+,0.001032625380257319
GMCAR 2018-2,2018-05-31,2,60+,0.0015273220952596448
GMCAR 2018-2,2018-06-30,3,60+,0.0013199047373102636
GMCAR 2018-2,2018-07-31,4,60+,0.0013950244129272262
GMCAR 2018-2,2018-08-31,5,60+,0.001739797121962727
GMCAR 2018-2,2018-09-30,6,60+,0.0020280950818694263
GMCAR 2018-2,2018-10-31,7,60+,0.001361490983904151
GMCAR 2018-2,2018-11-30,8,60+,0.0015323322096230463
GMCAR 2018-2,2018-12-31,9,60+,0.002296282504809781
GMCAR 2018-2,2019-01-31,10,60+,0.0020489219518345734
GMCAR 2018-2,2019-02-28,11,60+,0.0017884517118037812
GMCAR 2018-2,2019-03-31,12,60+,0.0017188260094048971
GMCAR 2018-2,2019-04-30,13,60+,0.002239199157007376
GMCAR 2018-2,2019-05-31,14,60+,0.0021060373069465804
GMCAR 2018-2,2019-06-30,15,60+,0.002141109298531811
GMCAR 2018-2,2019-07-31,16,60+,0.0022479681826041847
GMCAR 2018-2,2019-08-31,17,60+,0.002609308885754584
GMCAR 2018-2,2019-09-30,18,60+,0.0030860874869917823
GMCAR 2018-2,2019-10-31,19,60+,0.0029571757146507976
GMCAR 2018-2,2019-11-30,20,60+,0.0029309193440676708
GMCAR 2018-2,2019-12-31,21,60+,0.003553472195970211
GMCAR 2018-2,2020-01-31,22,60+,0.002969991514309959
GMCAR 2018-2,2020-02-29,23,60+,0.0029040106742013972
GMCAR 2018-2,2020-03-31,24,60+,0.002886581405604779
GMCAR 2018-2,2020-04-30,25,60+,0.0035475452617843746
GMCAR 2018-2,2020-05-31,26,60+,0.004163197335553705
GMCAR 2018-2,2020-06-30,27,60+,0.0042613031064899646
GMCAR 2018-2,2020-07-31,28,60+,0.004060071596961495
GMCAR 2018-2,2020-08-31,29,60+,0.003995331298258215
GMCAR 2018-2,2020-09-30,30,60+,0.0025854108956602033
GMCAR 2018-2,2020-10-31,31,60+,0.002846434840362446
GMCAR 2018-2,2020-11-30,32,60+,0.0028676970934188783
GMCAR 2018-2,2020-12-31,33,60+,0.00308350325757199
GMCAR 2018-2,2021-01-31,34,60+,0.0029540592849139247
GMCAR 2018-2,2021-02-28,35,60+,0.003068601445883393
GMCAR 2018-2,2021-03-31,36,60+,0.0015080519200732483
GMCAR 2018-2,2021-04-30,37,60+,0.0013350392167769927
GMCAR 2018-2,2021-05-31,38,60+,0.001891659501289768
GMCAR 2018-2,2021-06-30,39,60+,0.0018918120011823824
GMCAR 2018-2,2021-07-31,40,60+,0.0017050298380221654
GMCAR 2018-2,2021-08-31,41,60+,0.0018161322645290582
GMCAR 2018-2,2021-09-30,42,60+,0.0016704143912624478
GMCAR 2018-2,2021-10-31,43,60+,0.0025082508250825085
GMCAR 2018-2,2021-11-30,44,60+,0.002643709327548807
GMCAR 2018-2,2021-12-31,45,60+,0.002369668246445498
