series_label,reporting_date,vintage_month,bucket,dq_rate
HAROT 1697574,2017-04-30,0,60+,0.00038145539906103286
HAROT 1697574,2017-05-31,1,60+,0.0006985004532822091
HAROT 1697574,2017-06-30,2,60+,0.0007222715440058985
HAROT 1697574,2017-07-31,3,60+,0.0007473385596193149
HAROT 1697574,2017-08-31,4,60+,0.001007736314165672
HAROT 1697574,2017-09-30,5,60+,0.0011710899048885091
HAROT 1697574,2017-10-31,6,60+,0.001209970154069533
HAROT 1697574,2017-11-30,7,60+,0.0010861158194414731
HAROT 1697574,2017-12-31,8,60+,0.001208479497809631
HAROT 1697574,2018-01-31,9,60+,0.0014059392359920444
HAROT 1697574,2018-02-28,10,60+,0.001400070003500175
HAROT 1697574,2018-03-31,11,60+,0.000993820245021864
HAROT 1697574,2018-04-30,12,60+,0.0009944834315307538
HAROT 1697574,2018-05-31,13,60+,0.0011500302126581292
HAROT 1697574,2018-06-30,14,60+,0.001037344398340249
HAROT 1697574,2018-07-31,15,60+,0.0013823610727121925
HAROT 1697574,2018-08-31,16,60+,0.0014923046083257234
HAROT 1697574,2018-09-30,17,60+,0.001494527729237561
HAROT 1697574,2018-10-31,18,60+,0.0012299832059985336
HAROT 1697574,2018-11-30,19,60+,0.0014525383106979448
HAROT 1697574,2018-12-31,20,60+,0.0015638575152041702
HAROT 1697574,2019-01-31,21,60+,0.0016829436213886835
HAROT 1697574,2019-02-28,22,60+,0.0014110269140318787
HAROT 1697574,2019-03-31,23,60+,0.0014488791689447787
HAROT 1697574,2019-04-30,24,60+,0.0012965310591218162
HAROT 1697574,2019-05-31,25,60+,0.0014827367083245075
HAROT 1697574,2019-06-30,26,60+,0.0018651997976732422
HAROT 1697574,2019-07-31,27,60+,0.002270558425746158
HAROT 1697574,2019-08-31,28,60+,0.001959773078906653
HAROT 1697574,2019-09-30,29,60+,0.0018312387791741473
HAROT 1697574,2019-10-31,30,60+,0.0020185406698564595
HAROT 1697574,2019-11-30,31,60+,0.001958751008180666
HAROT 1697574,2019-12-31,32,60+,0.0018997110856057307
HAROT 1697574,2020-01-31,33,60+,0.001959983666802777
HAROT 1697574,2020-02-29,34,60+,0.0018434724317077259
HAROT 1697574,2020-03-31,35,60+,0.0014224137931034483
HAROT 1697574,2020-04-30,36,60+,0.0016056375719191828
HAROT 1697574,2020-05-31,37,60+,0.0012543554006968641
HAROT 1697574,2020-06-30,38,60+,0.000977803852547179
HAROT 1697574,2020-07-31,39,60+,0.001191216076237829
HAROT 1697574,2020-08-31,40,60+,0.0020204226505760934
HAROT 1697574,2020-09-30,41,60+,0.0020642201834862386
HAROT 1706612,2017-07-31,0,60+,0.00028749546059799055
HAROT 1706612,2017-08-31,1,60+,0.0007045597267533581
HAROT 1706612,2017-09-30,2,60+,0.0006972528238739367
HAROT 1706612,2017-10-31,3,60+,0.0009734652221698854
HAROT 1706612,2017-11-30,4,60+,0.0009225679200865305
HAROT 1706612,2017-12-31,5,60+,0.0013130379808393717
HAROT 1706612,2018-01-31,6,60+,0.0013723318066830906
HAROT 1706612,2018-02-28,7,60+,0.0012434258061263925
HAROT 1706612,2018-03-31,8,60+,0.0012741485588346707
HAROT 1706612,2018-04-30,9,60+,0.0010965688008489564
HAROT 1706612,2018-05-31,10,60+,0.0011638903033389103
HAROT 1706612,2018-06-30,11,60+,0.001405020606968902
HAROT 1706612,2018-07-31,12,60+,0.001293311456423125
HAROT 1706612,2018-08-31,13,60+,0.001453806783103977
HAROT 1706612,2018-09-30,14,60+,0.001405352560185751
HAROT 1706612,2018-10-31,15,60+,0.0014369012911286964
HAROT 1706612,2018-11-30,16,60+,0.0015960842732496276
HAROT 1706612,2018-12-31,17,60+,0.0015849925092819767
HAROT 1706612,2019-01-31,18,60+,0.0016869769816430268
HAROT 1706612,2019-02-28,19,60+,0.0013589726167017734
HAROT 1706612,2019-03-31,20,60+,0.0008872907278118944
HAROT 1706612,2019-04-30,21,60+,0.0011122932585356418
HAROT 1706612,2019-05-31,22,60+,0.0012782275244993609
HAROT 1706612,2019-06-30,23,60+,0.0016028126777312445
HAROT 1706612,2019-07-31,24,60+,0.0017060297488937462
HAROT 1706612,2019-08-31,25,60+,0.0014038371548900327
HAROT 1706612,2019-09-30,26,60+,0.001362281822051937
HAROT 1706612,2019-10-31,27,60+,0.001816849816849817
HAROT 1706612,2019-11-30,28,60+,0.001937280542438552
HAROT 1706612,2019-12-31,29,60+,0.002323245008162753
HAROT 1706612,2020-01-31,30,60+,0.0018217306441119063
HAROT 1706612,2020-02-29,31,60+,0.001699263652417286
HAROT 1706612,2020-03-31,32,60+,0.0016436667465671334
HAROT 1706612,2020-05-31,34,60+,0.0011677979709510255
HAROT 1706612,2020-06-30,35,60+,0.0011026196722558077
HAROT 1706612,2020-07-31,36,60+,0.0007149666348903718
HAROT 1706612,2020-08-31,37,60+,0.0012793528950517932
HAROT 1706612,2020-09-30,38,60+,0.001374216267285064
HAROT 1706612,2020-10-31,39,60+,0.001250446588067167
HAROT 1706612,2020-11-30,40,60+,0.0014878184861446904
HAROT 1715362,2017-10-31,0,60+,0.0004272113272031898
HAROT 1715362,2017-11-30,1,60+,0.000822740548767946
HAROT 1715362,2017-12-31,2,60+,0.000873217181587592
HAROT 1715362,2018-01-31,3,60+,0.0009690943181578781
HAROT 1715362,2018-02-28,4,60+,0.0010887432487244626
HAROT 1715362,2018-03-31,5,60+,0.0010238536107177868
HAROT 1715362,2018-04-30,6,60+,0.0010250696378830083
HAROT 1715362,2018-05-31,7,60+,0.0011399908800729594
HAROT 1715362,2018-06-30,8,60+,0.0009800261340302408
HAROT 1715362,2018-07-31,9,60+,0.0012673058989502882
HAROT 1715362,2018-08-31,10,60+,0.0010306495546121568
HAROT 1715362,2018-09-30,11,60+,0.0014774007762614247
HAROT 1715362,2018-10-31,12,60+,0.0017862611003368377
HAROT 1715362,2018-11-30,13,60+,0.0014012871081586049
HAROT 1715362,2018-12-31,14,60+,0.0016116674152553568
HAROT 1715362,2019-01-31,15,60+,0.00142722498990171
HAROT 1715362,2019-02-28,16,60+,0.0015100763274943716
HAROT 1715362,2019-03-31,17,60+,0.0014389301131394069
HAROT 1715362,2019-04-30,18,60+,0.0013363934807239766
HAROT 1715362,2019-05-31,19,60+,0.001376297759028214
HAROT 1715362,2019-06-30,20,60+,0.001627714136543718
HAROT 1715362,2019-07-31,21,60+,0.0012938651855592023
HAROT 1715362,2019-08-31,22,60+,0.0014284786702162197
HAROT 1715362,2019-09-30,23,60+,0.0013353363378400935
HAROT 1715362,2019-10-31,24,60+,0.0013031103185761805
HAROT 1715362,2019-11-30,25,60+,0.001975517691466469
HAROT 1715362,2019-12-31,26,60+,0.0014887977050728057
HAROT 1715362,2020-01-31,27,60+,0.0016413011041480155
HAROT 1715362,2020-02-29,28,60+,0.001644736842105263
HAROT 1715362,2020-03-31,29,60+,0.0018123079347569144
HAROT 1715362,2020-04-30,30,60+,0.0013819452912246474
HAROT 1715362,2020-05-31,31,60+,0.0009632297512354468
HAROT 1715362,2020-06-30,32,60+,0.0008668891682198431
HAROT 1715362,2020-07-31,33,60+,0.0015327052247216338
HAROT 1715362,2020-08-31,34,60+,0.001676836368717686
HAROT 1715362,2020-09-30,35,60+,0.0014967891458645165
HAROT 1715362,2020-10-31,36,60+,0.0014979029358897543
HAROT 1715362,2020-11-30,37,60+,0.0020076186554102747
HAROT 1715362,2020-12-31,38,60+,0.0018194466741585059
HAROT 1715362,2021-01-31,39,60+,0.0016261986205349632
HAROT 1715362,2021-02-28,40,60+,0.0014552651493102042
HAROT 1721745,2017-11-30,0,60+,1.5619630751929024e-05
HAROT 1721745,2018-01-31,2,60+,0.0007024153509682157
HAROT 1721745,2018-02-28,3,60+,0.0007750811413069806
HAROT 1721745,2018-03-31,4,60+,0.0008024762123122779
HAROT 1721745,2018-04-30,5,60+,0.0009475521569279362
HAROT 1721745,2018-05-31,6,60+,0.0010711553175210406
