series_label,reporting_date,vintage_month,bucket,dq_rate
TAOT 1694919,2017-03-31,0,60+,0.0003599503036354981
TAOT 1694919,2017-04-30,1,60+,0.0011324360350583322
TAOT 1694919,2017-05-31,2,60+,0.0011230392097668184
TAOT 1694919,2017-06-30,3,60+,0.0011993224446395232
TAOT 1694919,2017-07-31,4,60+,0.001782305874025104
TAOT 1694919,2017-08-31,5,60+,0.0021001866832607344
TAOT 1694919,2017-09-30,6,60+,0.002257306369587444
TAOT 1694919,2017-10-31,7,60+,0.0020240990042519665
TAOT 1694919,2017-11-30,8,60+,0.002109002109002109
TAOT 1694919,2017-12-31,9,60+,0.00256741230372062
TAOT 1694919,2018-01-31,10,60+,0.002542828497115706
TAOT 1694919,2018-02-28,11,60+,0.0022254532506453813
TAOT 1694919,2018-03-31,12,60+,0.0018387101676113483
TAOT 1694919,2018-04-30,13,60+,0.0023945019746866936
TAOT 1694919,2018-05-31,14,60+,0.0022934318659616486
TAOT 1694919,2018-06-30,15,60+,0.0024481002741872306
TAOT 1694919,2018-07-31,16,60+,0.0022766459648124278
TAOT 1694919,2018-08-31,17,60+,0.0023371311714869996
TAOT 1694919,2018-09-30,18,60+,0.002448001972490798
TAOT 1694919,2018-10-31,19,60+,0.0024040634094318817
TAOT 1694919,2018-11-30,20,60+,0.0026647421306833954
TAOT 1694919,2018-12-31,21,60+,0.0032636332586998594
TAOT 1694919,2019-01-31,22,60+,0.002888368462138954
TAOT 1694919,2019-02-28,23,60+,0.0026831124103960592
TAOT 1694919,2019-03-31,24,60+,0.0025199322510017766
TAOT 1694919,2019-04-30,25,60+,0.002345765892563922
TAOT 1694919,2019-05-31,26,60+,0.0022711236549656025
TAOT 1694919,2019-06-30,27,60+,0.0027073142987145945
TAOT 1694919,2019-07-31,28,60+,0.0026681778470402117
TAOT 1694919,2019-08-31,29,60+,0.002697400686611084
TAOT 1694919,2019-09-30,30,60+,0.0031044836887373405
TAOT 1694919,2019-10-31,31,60+,0.0029997631765913218
TAOT 1694919,2019-11-30,32,60+,0.003207218960643618
TAOT 1694919,2019-12-31,33,60+,0.003153419489258665
TAOT 1694919,2020-01-31,34,60+,0.003624777105440089
TAOT 1694919,2020-02-29,35,60+,0.003425799605881461
TAOT 1694919,2020-03-31,36,60+,0.0028743801130800086
TAOT 1694919,2020-04-30,37,60+,0.0037749594357429053
TAOT 1694919,2020-05-31,38,60+,0.003133595626893214
TAOT 1694919,2020-06-30,39,60+,0.0023710729104919974
TAOT 1694919,2020-07-31,40,60+,0.002767017155506364
TAOT 1694919,2020-08-31,41,60+,0.0035003373819163294
TAOT 1694919,2020-09-30,42,60+,0.002896582937316135
TAOT 1694919,2020-10-31,43,60+,0.003001694504962479
TAOT 1694919,2020-11-30,44,60+,0.003642229044175035
TAOT 1694919,2020-12-31,45,60+,0.004195724896524352
TAOT 1704304,2017-05-31,0,60+,0.0006052958255106542
TAOT 1704304,2017-06-30,1,60+,0.0011052949886342308
TAOT 1704304,2017-07-31,2,60+,0.001439201722777766
TAOT 1704304,2017-08-31,3,60+,0.001888646288209607
TAOT 1704304,2017-09-30,4,60+,0.0019419209392647486
TAOT 1704304,2017-10-31,5,60+,0.0019752466203872853
TAOT 1704304,2017-11-30,6,60+,0.002588166715243369
TAOT 1704304,2017-12-31,7,60+,0.0026472061243471416
TAOT 1704304,2018-01-31,8,60+,0.002805185935041651
TAOT 1704304,2018-02-28,9,60+,0.0022427950209950535
TAOT 1704304,2018-03-31,10,60+,0.0020554328537323342
TAOT 1704304,2018-04-30,11,60+,0.0023380355276907
TAOT 1704304,2018-05-31,12,60+,0.0024630871584809177
TAOT 1704304,2018-06-30,13,60+,0.0026874717198447848
TAOT 1704304,2018-07-31,14,60+,0.002781250438959981
TAOT 1704304,2018-08-31,15,60+,0.0027227152241558143
TAOT 1704304,2018-09-30,16,60+,0.0029196219237064454
TAOT 1704304,2018-10-31,17,60+,0.002676303374863917
TAOT 1704304,2018-11-30,18,60+,0.0029365398287533617
TAOT 1704304,2018-12-31,19,60+,0.003212635310501994
TAOT 1704304,2019-01-31,20,60+,0.003133116883116883
TAOT 1704304,2019-02-28,21,60+,0.0029283064073340765
TAOT 1704304,2019-03-31,22,60+,0.002686056458511548
TAOT 1704304,2019-04-30,23,60+,0.0025548409831732885
TAOT 1704304,2019-05-31,24,60+,0.0028116893718141745
TAOT 1704304,2019-06-30,25,60+,0.0032286962039490873
TAOT 1704304,2019-07-31,26,60+,0.002995284841926258
TAOT 1704304,2019-08-31,27,60+,0.0032758724007750234
TAOT 1704304,2019-09-30,28,60+,0.0034950572858501883
TAOT 1704304,2019-10-31,29,60+,0.003333547022245016
TAOT 1704304,2019-11-30,30,60+,0.0035661610936227354
TAOT 1704304,2019-12-31,31,60+,0.004021630464418795
TAOT 1704304,2020-01-31,32,60+,0.003905055400032934
TAOT 1704304,2020-02-29,33,60+,0.0033262922766892464
TAOT 1704304,2020-03-31,34,60+,0.0031755632844397397
TAOT 1704304,2020-04-30,35,60+,0.0036493475806663343
TAOT 1704304,2020-05-31,36,60+,0.0028580065404380443
TAOT 1704304,2020-06-30,37,60+,0.0026930761879940925
TAOT 1704304,2020-07-31,38,60+,0.0025453876349362118
TAOT 1704304,2020-08-31,39,60+,0.0034664852431399227
TAOT 1704304,2020-09-30,40,60+,0.0033031689777380173
TAOT 1704304,2020-10-31,41,60+,0.003530996323395581
TAOT 1704304,2020-11-30,42,60+,0.003906401082962676
