Series Label,Reporting Date,vintage_month,bucket,dq_rate
USAOT 2017-1,2017-10-31,0,60+,0.00016031293084100163
USAOT 2017-1,2017-11-30,1,60+,9.847365829640571e-05
USAOT 2017-1,2017-12-31,2,60+,0.00023502551705613752
USAOT 2017-1,2018-01-31,3,60+,0.00031146179401993354
USAOT 2017-1,2018-02-28,4,60+,0.00021446954532456392
USAOT 2017-1,2018-03-31,5,60+,0.00011128009199154271
USAOT 2017-1,2018-04-30,6,60+,0.0002301584257163681
USAOT 2017-1,2018-05-31,7,60+,0.0002777998253829669
USAOT 2017-1,2018-06-30,8,60+,0.0004918839153959665
USAOT 2017-1,2018-07-31,9,60+,0.000635216397052596
USAOT 2017-1,2018-08-31,10,60+,0.0004826890166308307
USAOT 2017-1,2018-09-30,11,60+,0.0007233927118184284
USAOT 2017-1,2018-10-31,12,60+,0.0009376904683763889
USAOT 2017-1,2018-11-30,13,60+,0.0006297534273119217
USAOT 2017-1,2018-12-31,14,60+,0.0006011421701232341
USAOT 2017-1,2019-01-31,15,60+,0.0006754299371330597
USAOT 2017-1,2019-02-28,16,60+,0.0007546762977737049
USAOT 2017-1,2019-03-31,17,60+,0.0007297221442604546
USAOT 2017-1,2019-04-30,18,60+,0.0008208255159474672
USAOT 2017-1,2019-05-31,19,60+,0.0006736893679568839
USAOT 2017-1,2019-06-30,20,60+,0.0006341556217895871
USAOT 2017-1,2019-07-31,21,60+,0.0011267979054815404
USAOT 2017-1,2019-08-31,22,60+,0.0006240898689411275
USAOT 2017-1,2019-09-30,23,60+,0.0005790807093738689
USAOT 2017-1,2019-10-31,24,60+,0.0013641530882910194
USAOT 2017-1,2019-11-30,25,60+,0.0011054958938723942
USAOT 2017-1,2019-12-31,26,60+,0.0009098428453267163
USAOT 2017-1,2020-01-31,27,60+,0.00130844382414515
USAOT 2017-1,2020-02-29,28,60+,0.0006445078722032962
USAOT 2017-1,2020-03-31,29,60+,0.00126508369015181
USAOT 2017-1,2020-04-30,30,60+,0.001451830343254174
USAOT 2017-1,2020-05-31,31,60+,0.0011033873993158997
USAOT 2017-1,2020-06-30,32,60+,0.0009462976105985332
USAOT 2017-1,2020-07-31,33,60+,0.0008887760284408329
USAOT 2017-1,2020-08-31,34,60+,0.0009473541751251861
USAOT 2019-1,2019-07-31,0,60+,3.893626134018611e-05
USAOT 2019-1,2019-08-31,1,60+,0.00015946420028703555
USAOT 2019-1,2019-09-30,2,60+,0.00016294606485253382
USAOT 2019-1,2019-10-31,3,60+,0.0002924831822170225
USAOT 2019-1,2019-11-30,4,60+,0.0002993499828942867
USAOT 2019-1,2019-12-31,5,60+,0.00048211781206171107
USAOT 2019-1,2020-01-31,6,60+,0.0005409547851958707
USAOT 2019-1,2020-02-29,7,60+,0.00041699485706342957
USAOT 2019-1,2020-03-31,8,60+,0.0006193720520272524
USAOT 2019-1,2020-04-30,9,60+,0.0006881297616121898
USAOT 2019-1,2020-05-31,10,60+,0.0003551857113862391
USAOT 2019-1,2020-06-30,11,60+,0.00010499790004199917
USAOT 2019-1,2020-07-31,12,60+,0.0002714146129627619
USAOT 2019-1,2020-09-30,14,60+,0.0005235906684507534
USAOT 2019-1,2020-10-31,15,60+,0.0004808270224786633
USAOT 2019-1,2020-11-30,16,60+,0.0006195403010965864
USAOT 2019-1,2020-12-31,17,60+,0.0007705149608321562
USAOT 2019-1,2021-01-31,18,60+,0.0006645843025187745
USAOT 2019-1,2021-02-28,19,60+,0.0006892273761113792
USAOT 2019-1,2021-03-31,20,60+,0.0005108370429832884
USAOT 2019-1,2021-04-30,21,60+,0.00030483158055174517
USAOT 2019-1,2021-05-31,22,60+,0.00047660656128366036
USAOT 2019-1,2021-06-30,23,60+,0.000332695666638942
USAOT 2019-1,2021-07-31,24,60+,0.0006960153123368715
USAOT 2019-1,2021-08-31,25,60+,0.0010023692363768909
USAOT 2019-1,2021-09-30,26,60+,0.0008538899430740038
USAOT 2019-1,2021-10-31,27,60+,0.0007908264136022143
USAOT 2019-1,2021-11-30,28,60+,0.0011334363730036063
USAOT 2019-1,2021-12-31,29,60+,0.0004302463160159191
USAOT 2019-1,2022-01-31,30,60+,0.0006727965911639381
USAOT 2019-1,2022-02-28,31,60+,0.0009376465072667605
USAOT 2019-1,2022-03-31,32,60+,0.00024847807181016274
USAOT 2019-1,2022-04-30,33,60+,0.0
USAOT 2019-1,2022-05-31,34,60+,0.0006788866259334691
USAOT 2019-1,2022-06-30,35,60+,0.001282782212086659
USAOT 2019-1,2022-07-31,36,60+,0.0006004202942059442
USAOT 2019-1,2022-08-31,37,60+,0.0007906388361796331
USAOT 2017-1,2017-10-31,0,30-59,0.0005450639648594055
USAOT 2017-1,2017-11-30,1,30-59,0.0009519120301985885
USAOT 2017-1,2017-12-31,2,30-59,0.000738651625033575
USAOT 2017-1,2018-01-31,3,30-59,0.0010382059800664453
USAOT 2017-1,2018-02-28,4,30-59,0.0008936231055190163
USAOT 2017-1,2018-03-31,5,30-59,0.0009644274639267035
USAOT 2017-1,2018-04-30,6,30-59,0.0010357129157236565
USAOT 2017-1,2018-05-31,7,30-59,0.0010715136121914439
USAOT 2017-1,2018-06-30,8,30-59,0.000778816199376947
USAOT 2017-1,2018-07-31,9,30-59,0.000973998475480647
USAOT 2017-1,2018-08-31,10,30-59,0.0013164245908113563
USAOT 2017-1,2018-09-30,11,30-59,0.001627633601591464
USAOT 2017-1,2018-10-31,12,30-59,0.0015471892728210418
USAOT 2017-1,2018-11-30,13,30-59,0.0020830305672625104
USAOT 2017-1,2018-12-31,14,30-59,0.001953712052900511
USAOT 2017-1,2019-01-31,15,30-59,0.0026497635995220035
USAOT 2017-1,2019-02-28,16,30-59,0.0010781089968195784
USAOT 2017-1,2019-03-31,17,30-59,0.0014033118158854898
USAOT 2017-1,2019-04-30,18,30-59,0.0012898686679174483
USAOT 2017-1,2019-05-31,19,30-59,0.0013473787359137678
USAOT 2017-1,2019-06-30,20,30-59,0.0015853890544739679
USAOT 2017-1,2019-07-31,21,30-59,0.002054749121760456
USAOT 2017-1,2019-08-31,22,30-59,0.0021496428819083283
USAOT 2017-1,2019-09-30,23,30-59,0.0027506333695258775
USAOT 2017-1,2019-10-31,24,30-59,0.002046229632436529
USAOT 2017-1,2019-11-30,25,30-59,0.002289955780164245
USAOT 2017-1,2019-12-31,26,30-59,0.002564102564102564
USAOT 2017-1,2020-01-31,27,30-59,0.0024424284717376133
USAOT 2017-1,2020-02-29,28,30-59,0.002578031488813185
USAOT 2017-1,2020-03-31,29,30-59,0.001946282600233554
USAOT 2017-1,2020-04-30,30,30-59,0.0016592346780047703
USAOT 2017-1,2020-05-31,31,30-59,0.0016550810989738498
USAOT 2017-1,2020-06-30,32,30-59,0.0016560208185474332
USAOT 2017-1,2020-07-31,33,30-59,0.0016505840528186896
USAOT 2017-1,2020-08-31,34,30-59,0.0020300446609825416
USAOT 2019-1,2019-07-31,0,30-59,0.0007787252268037223
USAOT 2019-1,2019-08-31,1,30-59,0.0006378568011481422
USAOT 2019-1,2019-09-30,2,30-59,0.0013035685188202706
USAOT 2019-1,2019-10-31,3,30-59,0.0010027994818869344
USAOT 2019-1,2019-11-30,4,30-59,0.0005986999657885734
USAOT 2019-1,2019-12-31,5,30-59,0.001402524544179523
USAOT 2019-1,2020-01-31,6,30-59,0.001397466528422666
USAOT 2019-1,2020-02-29,7,30-59,0.0009266552379187323
USAOT 2019-1,2020-03-31,8,30-59,0.0013340321120586974
USAOT 2019-1,2020-04-30,9,30-59,0.0005406733841238633
USAOT 2019-1,2020-05-31,10,30-59,0.0005074081591231987
USAOT 2019-1,2020-06-30,11,30-59,0.0010499790004199917
USAOT 2019-1,2020-07-31,12,30-59,0.0008685267614808381
USAOT 2019-1,2020-09-30,14,30-59,0.0006399441503286986
USAOT 2019-1,2020-10-31,15,30-59,0.0009015506671474937
USAOT 2019-1,2020-11-30,16,30-59,0.0006195403010965864
USAOT 2019-1,2020-12-31,17,30-59,0.0007705149608321562
USAOT 2019-1,2021-01-31,18,30-59,0.0007975011630225294
USAOT 2019-1,2021-02-28,19,30-59,0.0009649183265559308
USAOT 2019-1,2021-03-31,20,30-59,0.0007297672042618405
USAOT 2019-1,2021-04-30,21,30-59,0.0007620789513793629
USAOT 2019-1,2021-05-31,22,30-59,0.0007943442688061005
USAOT 2019-1,2021-06-30,23,30-59,0.000998086999916826
USAOT 2019-1,2021-07-31,24,30-59,0.0015660344527579607
USAOT 2019-1,2021-08-31,25,30-59,0.0017313650446509933
USAOT 2019-1,2021-09-30,26,30-59,0.0016129032258064516
USAOT 2019-1,2021-10-31,27,30-59,0.0014827995255041518
USAOT 2019-1,2021-11-30,28,30-59,0.0009273570324574962
USAOT 2019-1,2021-12-31,29,30-59,0.0017209852640636765
USAOT 2019-1,2022-01-31,30,30-59,0.0025790535994617628
USAOT 2019-1,2022-02-28,31,30-59,0.0016408813877168307
USAOT 2019-1,2022-03-31,32,30-59,0.001987824574481302
USAOT 2019-1,2022-04-30,33,30-59,0.0019470404984423676
USAOT 2019-1,2022-05-31,34,30-59,0.0027155465037338763
USAOT 2019-1,2022-06-30,35,30-59,0.0024230330672748005
USAOT 2019-1,2022-07-31,36,30-59,0.002701891323926749
USAOT 2019-1,2022-08-31,37,30-59,0.0036369386464263124
