Series Label,Reporting Date,vintage_month,bucket,dq_rate
VALET 2018-1,2018-07-31,0,60+,0.0007032951952930682
VALET 2018-1,2018-08-31,1,60+,0.0006277573369138752
VALET 2018-1,2018-09-28,2,60+,0.0010474178487102559
VALET 2018-1,2018-10-31,3,60+,0.0010492799768434763
VALET 2018-1,2018-11-30,4,60+,0.001122892275973787
VALET 2018-1,2018-12-31,5,60+,0.0011817670230725942
VALET 2018-1,2019-01-31,6,60+,0.0013952866071599227
VALET 2018-1,2019-02-28,7,60+,0.0013596457151736463
VALET 2018-1,2019-03-29,8,60+,0.0009686283037143931
VALET 2018-1,2019-04-30,9,60+,0.0009665337682735291
VALET 2018-1,2019-05-31,10,60+,0.0010677618069815196
VALET 2018-1,2019-06-28,11,60+,0.0014829048225735708
VALET 2018-1,2019-07-31,12,60+,0.0015807237151279532
VALET 2018-1,2019-08-30,13,60+,0.0014181611903826853
VALET 2018-1,2019-09-30,14,60+,0.0017346439532090912
VALET 2018-1,2019-10-31,15,60+,0.001203697395017147
VALET 2018-1,2019-11-29,16,60+,0.0015267881928379755
VALET 2018-1,2019-12-31,17,60+,0.0017715001062900064
VALET 2018-1,2020-01-31,18,60+,0.0018099329118200684
VALET 2018-1,2020-02-28,19,60+,0.001525853370413211
VALET 2018-1,2020-03-31,20,60+,0.001533472435204505
VALET 2018-1,2020-04-30,21,60+,0.0012557340918992338
VALET 2018-1,2020-05-29,22,60+,0.0014673898802505044
VALET 2018-1,2020-06-30,23,60+,0.0014829194639920191
VALET 2018-1,2020-07-31,24,60+,0.0012184315463003987
VALET 2018-1,2020-08-31,25,60+,0.0010281895296032901
VALET 2018-1,2020-09-30,26,60+,0.001442109600329625
VALET 2018-1,2020-10-30,27,60+,0.0017272203872609922
VALET 2018-1,2020-11-30,28,60+,0.0013714428201851447
VALET 2018-1,2020-12-31,29,60+,0.0019007731958762886
VALET 2018-1,2021-01-29,30,60+,0.0017970049916805324
VALET 2018-1,2021-02-26,31,60+,0.0015476149533995942
VALET 2018-1,2021-03-31,32,60+,0.0010813538550264931
VALET 2018-1,2021-04-30,33,60+,0.001127353350118372
VALET 2018-1,2021-05-31,34,60+,0.0011325912907635227
VALET 2018-1,2021-06-30,35,60+,0.0016268098259313486
VALET 2018-1,2021-07-30,36,60+,0.0020376109012183214
VALET 2018-1,2021-08-31,37,60+,0.0018304388588776285
VALET 2018-1,2021-09-30,38,60+,0.001734402100032813
VALET 2018-1,2021-10-29,39,60+,0.0022466422466422466
VALET 2018-1,2021-11-30,40,60+,0.0018886223265785309
VALET 2018-2,2018-11-30,0,60+,0.0005406421888956795
VALET 2018-2,2018-12-31,1,60+,0.0009080047789725209
VALET 2018-2,2019-01-31,2,60+,0.0009019770361522147
VALET 2018-2,2019-02-28,3,60+,0.0010422612105119489
