series_label,reporting_date,vintage_month,bucket,dq_rate
WOART 1702011,2017-03-31,0,60+,0.0
WOART 1702011,2017-04-30,1,60+,0.0014179308459751265
WOART 1702011,2017-05-31,2,60+,0.0025337104975443835
WOART 1702011,2017-06-30,3,60+,0.003776595744680851
WOART 1702011,2017-07-31,4,60+,0.004634172936430051
WOART 1702011,2017-08-31,5,60+,0.005614823133071308
WOART 1702011,2017-09-30,6,60+,0.00593037584719655
WOART 1702011,2017-10-31,7,60+,0.00503638490670791
WOART 1702011,2017-11-30,8,60+,0.0045901505569382675
WOART 1702011,2017-12-31,9,60+,0.005955387205387205
WOART 1702011,2018-01-31,10,60+,0.007761259291648448
WOART 1702011,2018-02-28,11,60+,0.0072052944232376395
WOART 1702011,2018-03-31,12,60+,0.005888563049853373
WOART 1702011,2018-04-30,13,60+,0.00626107214793603
WOART 1702011,2018-05-31,14,60+,0.006547500497908783
WOART 1702011,2018-06-30,15,60+,0.006603941966903797
WOART 1702011,2018-07-31,16,60+,0.0068563054457906995
WOART 1702011,2018-08-31,17,60+,0.007051161288586269
WOART 1702011,2018-09-30,18,60+,0.008932769158439116
WOART 1702011,2018-10-31,19,60+,0.008282874443048097
WOART 1702011,2018-11-30,20,60+,0.007508833922261484
WOART 1702011,2018-12-31,21,60+,0.008666038252196917
WOART 1702011,2019-01-31,22,60+,0.008831756608102587
WOART 1702011,2019-02-28,23,60+,0.007932157482346113
WOART 1702011,2019-03-31,24,60+,0.0065017337956788475
WOART 1702011,2019-04-30,25,60+,0.00687616035205941
WOART 1702011,2019-05-31,26,60+,0.0075230660042583395
WOART 1702011,2019-06-30,27,60+,0.008736338048762657
WOART 1702011,2019-07-31,28,60+,0.009227524387028736
WOART 1702011,2019-08-31,29,60+,0.008706419533335914
WOART 1702011,2019-09-30,30,60+,0.009140189134649626
WOART 1702011,2019-10-31,31,60+,0.008645884072089625
WOART 1702011,2019-11-30,32,60+,0.008136493835360538
WOART 1702011,2019-12-31,33,60+,0.009105995489553636
WOART 1702011,2020-01-31,34,60+,0.008693752730449977
WOART 1702011,2020-02-29,35,60+,0.007450700455072723
