series_label,reporting_date,vintage_month,bucket,dq_rate
WOSAT 1787489,2019-10-31,0,60+,0.005491068325571696
WOSAT 1787489,2019-11-30,1,60+,0.010413734871939206
WOSAT 1787489,2019-12-31,2,60+,0.013338114019361778
WOSAT 1787489,2020-01-31,3,60+,0.015220421037189173
WOSAT 1787489,2020-02-29,4,60+,0.013862350605072871
WOSAT 1787489,2020-03-31,5,60+,0.014460340107199321
WOSAT 1787489,2020-04-30,6,60+,0.013637264618434094
WOSAT 1787489,2020-05-31,7,60+,0.010509593058780398
WOSAT 1787489,2020-06-30,8,60+,0.00880023467292461
WOSAT 1787489,2020-07-31,9,60+,0.010550895096428262
WOSAT 1787489,2020-08-31,10,60+,0.013490574466184223
WOSAT 1787489,2020-09-30,11,60+,0.013899150350942002
WOSAT 1787489,2020-10-31,12,60+,0.014180320015330075
WOSAT 1787489,2020-11-30,13,60+,0.01594769947006092
WOSAT 1787489,2020-12-31,14,60+,0.01776753712237583
WOSAT 1787489,2021-01-31,15,60+,0.01633518960487934
WOSAT 1787489,2021-02-28,16,60+,0.017678287997372887
WOSAT 1787489,2021-03-31,17,60+,0.01016561964591662
WOSAT 1787489,2021-04-30,18,60+,0.009878600333253986
WOSAT 1787489,2021-05-31,19,60+,0.010746711135816194
WOSAT 1787489,2021-06-30,20,60+,0.011574818339656614
WOSAT 1787489,2021-07-31,21,60+,0.014089209401709402
WOSAT 1787489,2021-08-31,22,60+,0.013294557540506855
WOSAT 1787489,2021-09-30,23,60+,0.017299306598041318
WOSAT 1787489,2021-10-31,24,60+,0.019716437749224634
WOSAT 1787489,2021-11-30,25,60+,0.01877719258071903
WOSAT 1787489,2021-12-31,26,60+,0.019610931716153423
WOSAT 1787489,2022-01-31,27,60+,0.020472824762369
WOSAT 1787489,2022-02-28,28,60+,0.01837160751565762
WOSAT 1787489,2022-03-31,29,60+,0.015443016133206798
WOSAT 1787489,2022-04-30,30,60+,0.01619217081850534
WOSAT 1787489,2022-05-31,31,60+,0.019311733479773018
WOSAT 1787489,2022-06-30,32,60+,0.02235005658242173
WOSAT 1787489,2022-07-31,33,60+,0.026280193236714974
WOSAT 1787489,2022-08-31,34,60+,0.027794322017073655
WOSAT 1787489,2022-09-30,35,60+,0.025423728813559324
WOSAT 1787489,2022-10-31,36,60+,0.027637662883564524
WOSAT 1787489,2022-11-30,37,60+,0.027885443583118
WOSAT 1787489,2022-12-31,38,60+,0.025415337220816372
WOSAT 1787489,2023-01-31,39,60+,0.02388194209755548
WOSAT 1787489,2023-02-28,40,60+,0.018885306310456013
WOSAT 1787489,2023-03-31,41,60+,0.013831422153918903
WOSAT 1787489,2023-04-30,42,60+,0.02008226469876603
WOSAT 1787489,2023-05-31,43,60+,0.02109704641350211
WOSAT 1787489,2023-06-30,44,60+,0.022921176620399848
WOSAT 1787489,2023-07-31,45,60+,0.02315296566077003
WOSAT 1787489,2023-08-31,46,60+,0.02249434313855983
WOSAT 1787489,2023-09-30,47,60+,0.021739130434782608
WOSAT 1787489,2023-10-31,48,60+,0.020905923344947737
WOSAT 1821685,2020-08-31,0,60+,6.135722174499939e-05
WOSAT 1821685,2020-09-30,1,60+,0.003958112572461509
WOSAT 1821685,2020-10-31,2,60+,0.00741632860040568
WOSAT 1821685,2020-11-30,3,60+,0.00960760844951962
WOSAT 1821685,2020-12-31,4,60+,0.011426868044515103
WOSAT 1821685,2021-01-31,5,60+,0.011345494072488875
WOSAT 1821685,2021-02-28,6,60+,0.010373516204267762
WOSAT 1821685,2021-03-31,7,60+,0.0073609006278415245
WOSAT 1821685,2021-04-30,8,60+,0.007233069744781322
WOSAT 1821685,2021-05-31,9,60+,0.00798597584729256
WOSAT 1821685,2021-06-30,10,60+,0.008872608872608873
WOSAT 1821685,2021-07-31,11,60+,0.010125402474156922
WOSAT 1821685,2021-08-31,12,60+,0.01207101634433235
WOSAT 1821685,2021-09-30,13,60+,0.012462908011869436
