issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
AMCAR,2016,2,188210.40000000,1153200413.94000435,188210.40000000,0.00016321
AMCAR,2016,3,989052.28000000,1153200413.94000435,1177262.68000000,0.00102087
AMCAR,2016,4,2876523.93000000,1153200413.94000435,4053786.61000000,0.00351525
AMCAR,2016,5,4549282.41000000,1153200413.94000435,8603069.02000000,0.00746017
AMCAR,2016,6,4277697.66000000,1153200413.94000435,12880766.68000000,0.01116958
AMCAR,2016,7,4886587.69000000,1153200413.94000435,17767354.37000000,0.01540700
AMCAR,2016,8,5567335.48000000,1153200413.94000435,23334689.85000000,0.02023472
AMCAR,2016,9,4588612.30000000,1153200413.94000435,27923302.15000000,0.02421375
AMCAR,2016,10,5013904.98000000,1153200413.94000435,32937207.13000000,0.02856156
AMCAR,2016,11,5043428.40000000,1153200413.94000435,37980635.53000000,0.03293498
AMCAR,2016,12,4424989.78000000,1153200413.94000435,42405625.31000000,0.03677212
AMCAR,2016,13,3299673.92000000,1153200413.94000435,45705299.23000000,0.03963344
AMCAR,2016,14,5707730.35000000,1153200413.94000435,51413029.58000001,0.04458291
AMCAR,2016,15,5671092.85000000,1153200413.94000435,57084122.43000001,0.04950061
AMCAR,2016,16,4591078.28000000,1153200413.94000435,61675200.71000001,0.05348177
AMCAR,2016,17,5320001.28000000,1153200413.94000435,66995201.99000000,0.05809502
AMCAR,2016,18,3847838.68000000,1153200413.94000435,70843040.67000000,0.06143168
AMCAR,2016,19,4808798.63000000,1153200413.94000435,75651839.30000001,0.06560164
AMCAR,2016,20,4888930.44000000,1153200413.94000435,80540769.74000001,0.06984109
AMCAR,2016,21,3791203.73000000,1153200413.94000435,84331973.47000001,0.07312864
AMCAR,2016,22,4811329.00000000,1153200413.94000435,89143302.47000001,0.07730079
AMCAR,2016,23,4607406.72000000,1153200413.94000435,93750709.19000001,0.08129611
AMCAR,2016,24,4172538.59000000,1153200413.94000435,97923247.78000002,0.08491434
AMCAR,2016,25,4502659.71000000,1153200413.94000435,102425907.49000001,0.08881883
AMCAR,2016,26,4311359.74000000,1153200413.94000435,106737267.23000002,0.09255743
AMCAR,2016,27,4238348.41000000,1153200413.94000435,110975615.64000002,0.09623272
AMCAR,2016,28,3314107.98000000,1153200413.94000435,114289723.62000000,0.09910656
AMCAR,2016,29,3156100.81000000,1153200413.94000435,117445824.43000001,0.10184338
AMCAR,2016,30,3203268.47000000,1153200413.94000435,120649092.90000001,0.10462110
AMCAR,2016,31,3007757.98000000,1153200413.94000435,123656850.88000001,0.10722928
AMCAR,2016,32,3165190.62000000,1153200413.94000435,126822041.50000001,0.10997398
AMCAR,2016,33,2767762.33000000,1153200413.94000435,129589803.83000001,0.11237405
AMCAR,2016,34,2989873.88000000,1153200413.94000435,132579677.71000002,0.11496673
AMCAR,2016,35,2681095.36000000,1153200413.94000435,135260773.07000002,0.11729164
AMCAR,2016,36,2953246.72000000,1153200413.94000435,138214019.79000002,0.11985256
AMCAR,2016,37,3224775.44000000,1153200413.94000435,141438795.23000002,0.12264893
AMCAR,2016,38,2609250.40000000,1153200413.94000435,144048045.63000003,0.12491155
AMCAR,2016,39,1997167.61000000,1153200413.94000435,146045213.24000001,0.12664339
AMCAR,2016,40,1754826.56000000,1153200413.94000435,147800039.80000001,0.12816509
AMCAR,2016,41,1670524.77000000,1153200413.94000435,149470564.57000002,0.12961369
AMCAR,2016,42,1375194.65000000,1153200413.94000435,150845759.22000003,0.13080620
AMCAR,2016,43,1318763.09000000,1153200413.94000435,152164522.31000003,0.13194976
AMCAR,2016,44,1069254.98000000,1153200413.94000435,153233777.29000002,0.13287697
AMCAR,2016,45,1231960.26000000,1153200413.94000435,154465737.55000001,0.13394527
AMCAR,2016,46,1462916.05000000,1153200413.94000435,155928653.60000002,0.13521384
AMCAR,2016,47,1091320.04000000,1153200413.94000435,157019973.64000002,0.13616018
AMCAR,2016,48,1257724.97000000,1153200413.94000435,158277698.61000001,0.13725082
AMCAR,2016,49,973851.68000000,1153200413.94000435,159251550.29000002,0.13809529
AMCAR,2016,50,896323.85000000,1153200413.94000435,160147874.14000002,0.13887254
AMCAR,2016,51,1137437.70000000,1153200413.94000435,161285311.84000000,0.13985887
AMCAR,2016,52,753020.12000000,1153200413.94000435,162038331.96000001,0.14051186
AMCAR,2016,53,532070.21000000,1153200413.94000435,162570402.17000002,0.14097324
AMCAR,2016,54,464203.92000000,1153200413.94000435,163034606.09000000,0.14137578
AMCAR,2016,55,405157.78000000,1153200413.94000435,163439763.87000000,0.14172711
AMCAR,2016,56,604870.05000000,1153200413.94000435,164044633.92000002,0.14225163
AMCAR,2017,1,31798.40000000,4549393696.82016945,31798.40000000,0.00000699
AMCAR,2017,2,1026128.06000000,4549393696.82016945,1057926.46000000,0.00023254
AMCAR,2017,3,2783874.22000000,4549393696.82016945,3841800.68000000,0.00084446
AMCAR,2017,4,10043023.24000000,4549393696.82016945,13884823.92000000,0.00305202
AMCAR,2017,5,17106825.55000000,4549393696.82016945,30991649.47000001,0.00681226
AMCAR,2017,6,18939190.75000000,4549393696.82016945,49930840.22000001,0.01097527
AMCAR,2017,7,19226161.90000001,4549393696.82016945,69157002.12000002,0.01520137
AMCAR,2017,8,22673517.54000001,4549393696.82016945,91830519.66000003,0.02018522
AMCAR,2017,9,19658451.79000000,4549393696.82016945,111488971.45000003,0.02450634
AMCAR,2017,10,17377552.77999999,4549393696.82016945,128866524.23000002,0.02832609
AMCAR,2017,11,19764370.68000000,4549393696.82016945,148630894.91000003,0.03267048
AMCAR,2017,12,19877825.01000001,4549393696.82016945,168508719.92000002,0.03703982
AMCAR,2017,13,20619922.48000000,4549393696.82016945,189128642.40000004,0.04157227
AMCAR,2017,14,22693952.05999998,4549393696.82016945,211822594.46000001,0.04656062
AMCAR,2017,15,19689976.17000001,4549393696.82016945,231512570.63000003,0.05088866
AMCAR,2017,16,22361702.73000000,4549393696.82016945,253874273.36000001,0.05580398
AMCAR,2017,17,21337493.55999999,4549393696.82016945,275211766.92000002,0.06049416
