issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
AART,2011,69,3169.82000000,131375606.62000036,3169.82000000,0.00002413
AART,2011,73,3758.28000000,131375606.62000036,6928.10000000,0.00005274
AART,2011,75,7828.90000000,131375606.62000036,14757.00000000,0.00011233
AART,2011,76,1490.69000000,131375606.62000036,16247.69000000,0.00012367
AART,2011,77,383.95000000,131375606.62000036,16631.64000000,0.00012660
AART,2011,79,2816.28000000,131375606.62000036,19447.92000000,0.00014803
AART,2011,81,148.11000000,131375606.62000036,19596.03000000,0.00014916
AART,2011,82,142.30000000,131375606.62000036,19738.33000000,0.00015024
AART,2012,55,3047.80000000,647434247.66000080,3047.80000000,0.00000471
AART,2012,56,3478.83000000,647434247.66000080,6526.63000000,0.00001008
AART,2012,57,3889.75000000,647434247.66000080,10416.38000000,0.00001609
AART,2012,58,3458.83000000,647434247.66000080,13875.21000000,0.00002143
AART,2012,61,17623.48000000,647434247.66000080,31498.69000000,0.00004865
AART,2012,62,22905.16000000,647434247.66000080,54403.85000000,0.00008403
AART,2012,63,17744.23000000,647434247.66000080,72148.08000000,0.00011144
AART,2012,64,20825.87000000,647434247.66000080,92973.95000000,0.00014360
AART,2012,65,8283.02000000,647434247.66000080,101256.97000000,0.00015640
AART,2012,66,26307.48000000,647434247.66000080,127564.45000000,0.00019703
AART,2012,67,26252.53000000,647434247.66000080,153816.98000000,0.00023758
AART,2012,68,7223.35000000,647434247.66000080,161040.33000000,0.00024874
AART,2012,69,12709.04000000,647434247.66000080,173749.37000000,0.00026837
AART,2012,70,16592.78000000,647434247.66000080,190342.15000000,0.00029399
AART,2012,71,9750.24000000,647434247.66000080,200092.39000000,0.00030905
AART,2012,72,11437.79000000,647434247.66000080,211530.18000000,0.00032672
AART,2012,73,16492.90000000,647434247.66000080,228023.08000000,0.00035219
AART,2012,74,26261.11000000,647434247.66000080,254284.19000000,0.00039276
AART,2012,75,22230.87000000,647434247.66000080,276515.06000000,0.00042709
AART,2012,76,9575.28000000,647434247.66000080,286090.34000000,0.00044188
AART,2012,77,5111.73000000,647434247.66000080,291202.07000000,0.00044978
AART,2012,78,9422.28000000,647434247.66000080,300624.35000000,0.00046433
AART,2012,79,9378.80000000,647434247.66000080,310003.15000000,0.00047882
AART,2012,80,1407.70000000,647434247.66000080,311410.85000000,0.00048099
AART,2012,81,1425.45000000,647434247.66000080,312836.30000000,0.00048319
AART,2012,82,3005.26000000,647434247.66000080,315841.56000000,0.00048784
AART,2012,83,2814.74000000,647434247.66000080,318656.30000000,0.00049218
AART,2012,84,657.94000000,647434247.66000080,319314.24000000,0.00049320
AART,2013,44,9971.56000000,810183980.61000001,9971.56000000,0.00001231
AART,2013,45,12517.11000000,810183980.61000001,22488.67000000,0.00002776
AART,2013,46,23067.26000000,810183980.61000001,45555.93000000,0.00005623
AART,2013,47,22485.89000000,810183980.61000001,68041.82000000,0.00008398
AART,2013,48,13996.98000000,810183980.61000001,82038.80000000,0.00010126
AART,2013,49,16777.74000000,810183980.61000001,98816.54000000,0.00012197
AART,2013,50,18015.50000000,810183980.61000001,116832.04000000,0.00014420
AART,2013,51,36647.88000000,810183980.61000001,153479.92000000,0.00018944
AART,2013,52,63168.91000000,810183980.61000001,216648.83000000,0.00026741
AART,2013,53,69419.89000000,810183980.61000001,286068.72000000,0.00035309
AART,2013,54,34457.07000000,810183980.61000001,320525.79000000,0.00039562
AART,2013,55,79150.45000000,810183980.61000001,399676.24000000,0.00049332
AART,2013,56,35535.26000000,810183980.61000001,435211.50000000,0.00053718
AART,2013,57,31249.03000000,810183980.61000001,466460.53000000,0.00057575
AART,2013,58,63829.60000000,810183980.61000001,530290.13000000,0.00065453
AART,2013,59,21952.62000000,810183980.61000001,552242.75000000,0.00068163
AART,2013,60,96543.04000000,810183980.61000001,648785.79000000,0.00080079
AART,2013,61,60380.42000000,810183980.61000001,709166.21000000,0.00087532
AART,2013,62,50136.44000000,810183980.61000001,759302.65000000,0.00093720
AART,2013,63,75853.80000000,810183980.61000001,835156.45000000,0.00103082
AART,2013,64,50053.75000000,810183980.61000001,885210.20000000,0.00109260
AART,2013,65,100462.00000000,810183980.61000001,985672.20000000,0.00121660
AART,2013,66,23365.67000000,810183980.61000001,1009037.87000000,0.00124544
AART,2013,67,51854.16000000,810183980.61000001,1060892.03000000,0.00130945
AART,2013,68,37808.08000000,810183980.61000001,1098700.11000000,0.00135611
AART,2013,69,26488.18000000,810183980.61000001,1125188.29000000,0.00138881
AART,2013,70,36002.78000000,810183980.61000001,1161191.07000000,0.00143324
AART,2013,71,24107.02000000,810183980.61000001,1185298.09000000,0.00146300
AART,2013,72,37997.71000000,810183980.61000001,1223295.80000000,0.00150990
AART,2013,73,27755.08000000,810183980.61000001,1251050.88000000,0.00154416
AART,2013,74,9260.36000000,810183980.61000001,1260311.24000000,0.00155559
AART,2013,75,22950.45000000,810183980.61000001,1283261.69000000,0.00158391
AART,2013,76,30877.43000000,810183980.61000001,1314139.12000000,0.00162203
AART,2013,77,19458.05000000,810183980.61000001,1333597.17000000,0.00164604
AART,2013,78,13292.58000000,810183980.61000001,1346889.75000000,0.00166245
AART,2013,79,13317.55000000,810183980.61000001,1360207.30000000,0.00167889
AART,2013,80,7937.30000000,810183980.61000001,1368144.60000000,0.00168868
AART,2013,81,5494.20000000,810183980.61000001,1373638.80000000,0.00169547
AART,2013,82,2376.43000000,810183980.61000001,1376015.23000000,0.00169840
AART,2013,83,1252.50000000,810183980.61000001,1377267.73000000,0.00169994
AART,2014,27,19465.42000000,1286528754.82003331,19465.42000000,0.00001513
AART,2014,29,41481.28000000,1286528754.82003331,60946.70000000,0.00004737
AART,2014,30,20400.41000000,1286528754.82003331,81347.11000000,0.00006323
AART,2014,31,115648.63000000,1286528754.82003331,196995.74000000,0.00015312
AART,2014,32,32146.26000000,1286528754.82003331,229142.00000000,0.00017811
AART,2014,33,82964.59000000,1286528754.82003331,312106.59000000,0.00024260
AART,2014,34,48569.63000000,1286528754.82003331,360676.22000000,0.00028035
AART,2014,35,78506.48000000,1286528754.82003331,439182.70000000,0.00034137
AART,2014,36,155564.55000000,1286528754.82003331,594747.25000000,0.00046229
AART,2014,37,85314.06000000,1286528754.82003331,680061.31000000,0.00052860
AART,2014,38,115755.88000000,1286528754.82003331,795817.19000000,0.00061858
AART,2014,39,126323.01000000,1286528754.82003331,922140.20000000,0.00071677
AART,2014,40,170399.45000000,1286528754.82003331,1092539.65000000,0.00084922
AART,2014,41,151533.72000000,1286528754.82003331,1244073.37000000,0.00096700
AART,2014,42,119427.11000000,1286528754.82003331,1363500.48000000,0.00105983
AART,2014,43,197411.40000000,1286528754.82003331,1560911.88000000,0.00121327
AART,2014,44,240135.30000000,1286528754.82003331,1801047.18000000,0.00139993
AART,2014,45,101332.69000000,1286528754.82003331,1902379.87000000,0.00147869
AART,2014,46,120049.33000000,1286528754.82003331,2022429.20000000,0.00157200
AART,2014,47,191178.36000000,1286528754.82003331,2213607.56000000,0.00172060
AART,2014,48,260410.06000000,1286528754.82003331,2474017.62000000,0.00192302
AART,2014,49,152922.15000000,1286528754.82003331,2626939.77000000,0.00204188
AART,2014,50,255951.25000000,1286528754.82003331,2882891.02000000,0.00224083
AART,2014,51,213250.21000000,1286528754.82003331,3096141.23000000,0.00240659
AART,2014,52,194165.44000000,1286528754.82003331,3290306.67000000,0.00255751
AART,2014,53,194891.34000000,1286528754.82003331,3485198.01000000,0.00270899
AART,2014,54,125107.83000000,1286528754.82003331,3610305.84000000,0.00280624
AART,2014,55,209275.73000000,1286528754.82003331,3819581.57000000,0.00296890
AART,2014,56,148855.89000000,1286528754.82003331,3968437.46000000,0.00308461
AART,2014,57,122351.12000000,1286528754.82003331,4090788.58000000,0.00317971
AART,2014,58,208917.39000000,1286528754.82003331,4299705.97000000,0.00334210
AART,2014,59,145200.04000000,1286528754.82003331,4444906.01000000,0.00345496
AART,2014,60,134116.23000000,1286528754.82003331,4579022.24000000,0.00355921
AART,2014,61,106755.03000000,1286528754.82003331,4685777.27000000,0.00364219
AART,2014,62,157525.07000000,1286528754.82003331,4843302.34000000,0.00376463
AART,2014,63,112937.91000000,1286528754.82003331,4956240.25000000,0.00385241
AART,2014,64,93504.15000000,1286528754.82003331,5049744.40000000,0.00392509
AART,2014,65,92511.17000000,1286528754.82003331,5142255.57000000,0.00399700
AART,2014,66,87487.31000000,1286528754.82003331,5229742.88000000,0.00406500
AART,2014,67,75772.24000000,1286528754.82003331,5305515.12000000,0.00412390
AART,2014,68,143297.79000000,1286528754.82003331,5448812.91000000,0.00423528
AART,2014,69,83814.40000000,1286528754.82003331,5532627.31000000,0.00430043
AART,2014,70,46250.06000000,1286528754.82003331,5578877.37000000,0.00433638
AART,2014,71,51218.51000000,1286528754.82003331,5630095.88000000,0.00437619
AART,2014,72,42950.53000000,1286528754.82003331,5673046.41000000,0.00440958
AART,2014,73,21077.25000000,1286528754.82003331,5694123.66000000,0.00442596
AART,2014,74,31311.32000000,1286528754.82003331,5725434.98000000,0.00445030
AART,2014,75,35430.57000000,1286528754.82003331,5760865.55000000,0.00447784
AART,2014,76,30163.33000000,1286528754.82003331,5791028.88000000,0.00450128
AART,2014,77,24424.73000000,1286528754.82003331,5815453.61000000,0.00452027
AART,2014,78,14059.38000000,1286528754.82003331,5829512.99000000,0.00453120
AART,2014,79,2116.09000000,1286528754.82003331,5831629.08000000,0.00453284
AART,2014,80,16491.70000000,1286528754.82003331,5848120.78000000,0.00454566
AART,2014,81,15925.68000000,1286528754.82003331,5864046.46000000,0.00455804
AART,2014,82,12308.99000000,1286528754.82003331,5876355.45000000,0.00456761
AART,2014,83,2441.18000000,1286528754.82003331,5878796.63000000,0.00456950
AART,2014,84,2439.75000000,1286528754.82003331,5881236.38000000,0.00457140
AART,2015,15,35086.32000000,2338727590.50010300,35086.32000000,0.00001500
AART,2015,16,35815.52000000,2338727590.50010300,70901.84000000,0.00003032
AART,2015,17,101441.47000000,2338727590.50010300,172343.31000000,0.00007369
AART,2015,18,134345.25000000,2338727590.50010300,306688.56000000,0.00013113
AART,2015,19,223909.62000000,2338727590.50010300,530598.18000000,0.00022687
AART,2015,20,336022.21000000,2338727590.50010300,866620.39000000,0.00037055
AART,2015,21,309130.89000000,2338727590.50010300,1175751.28000000,0.00050273
AART,2015,22,415976.24000000,2338727590.50010300,1591727.52000000,0.00068060
AART,2015,23,434021.33000000,2338727590.50010300,2025748.85000000,0.00086618
AART,2015,24,373729.51000000,2338727590.50010300,2399478.36000000,0.00102598
AART,2015,25,529642.51000000,2338727590.50010300,2929120.87000000,0.00125244
AART,2015,26,847527.93000000,2338727590.50010300,3776648.80000000,0.00161483
AART,2015,27,707209.33000000,2338727590.50010300,4483858.13000000,0.00191722
AART,2015,28,918039.66000000,2338727590.50010300,5401897.79000000,0.00230976
AART,2015,29,624845.31000000,2338727590.50010300,6026743.10000000,0.00257693
AART,2015,30,778329.16000000,2338727590.50010300,6805072.26000000,0.00290973
AART,2015,31,722377.05000000,2338727590.50010300,7527449.31000000,0.00321861
AART,2015,32,826531.66000000,2338727590.50010300,8353980.97000000,0.00357202
AART,2015,33,777338.55000000,2338727590.50010300,9131319.52000000,0.00390440
AART,2015,34,763751.81000000,2338727590.50010300,9895071.33000000,0.00423096
AART,2015,35,935613.59000000,2338727590.50010300,10830684.92000000,0.00463102
AART,2015,36,814052.33000000,2338727590.50010300,11644737.25000000,0.00497909
AART,2015,37,610557.81000000,2338727590.50010300,12255295.06000000,0.00524015
AART,2015,38,696850.19000000,2338727590.50010300,12952145.25000000,0.00553812
AART,2015,39,792366.58000000,2338727590.50010300,13744511.83000000,0.00587692
AART,2015,40,844980.93000000,2338727590.50010300,14589492.76000000,0.00623822
AART,2015,41,603216.27000000,2338727590.50010300,15192709.03000000,0.00649614
AART,2015,42,740588.92000000,2338727590.50010300,15933297.95000000,0.00681281
AART,2015,43,741733.15000000,2338727590.50010300,16675031.10000000,0.00712996
AART,2015,44,548451.37000000,2338727590.50010300,17223482.47000000,0.00736447
AART,2015,45,692267.84000000,2338727590.50010300,17915750.31000000,0.00766047
AART,2015,46,502019.19000000,2338727590.50010300,18417769.50000000,0.00787512
AART,2015,47,614768.99000000,2338727590.50010300,19032538.49000000,0.00813799
AART,2015,48,712222.64000000,2338727590.50010300,19744761.13000000,0.00844252
AART,2015,49,388376.92000000,2338727590.50010300,20133138.05000000,0.00860859
AART,2015,50,499526.47000000,2338727590.50010300,20632664.52000000,0.00882218
AART,2015,51,545367.71000000,2338727590.50010300,21178032.23000000,0.00905537
AART,2015,52,522392.31000000,2338727590.50010300,21700424.54000000,0.00927873
AART,2015,53,274673.77000000,2338727590.50010300,21975098.31000000,0.00939618
AART,2015,54,433530.52000000,2338727590.50010300,22408628.83000000,0.00958155
AART,2015,55,303770.14000000,2338727590.50010300,22712398.97000000,0.00971143
AART,2015,56,272609.01000000,2338727590.50010300,22985007.98000000,0.00982800
AART,2015,57,298293.69000000,2338727590.50010300,23283301.67000000,0.00995554
AART,2015,58,286785.09000000,2338727590.50010300,23570086.76000000,0.01007817
AART,2015,59,276157.34000000,2338727590.50010300,23846244.10000000,0.01019625
AART,2015,60,193933.23000000,2338727590.50010300,24040177.33000000,0.01027917
AART,2015,61,290963.72000000,2338727590.50010300,24331141.05000000,0.01040358
AART,2015,62,125671.77000000,2338727590.50010300,24456812.82000000,0.01045732
AART,2015,63,158818.34000000,2338727590.50010300,24615631.16000000,0.01052522
AART,2015,64,132099.04000000,2338727590.50010300,24747730.20000000,0.01058171
AART,2015,65,77866.57000000,2338727590.50010300,24825596.77000000,0.01061500
AART,2015,66,143732.63000000,2338727590.50010300,24969329.40000000,0.01067646
AART,2015,67,77805.00000000,2338727590.50010300,25047134.40000000,0.01070973
AART,2015,68,60305.29000000,2338727590.50010300,25107439.69000000,0.01073551
AART,2015,69,19372.02000000,2338727590.50010300,25126811.71000000,0.01074380
AART,2015,70,29007.63000000,2338727590.50010300,25155819.34000000,0.01075620
AART,2015,71,43726.06000000,2338727590.50010300,25199545.40000000,0.01077490
AART,2015,72,12335.47000000,2338727590.50010300,25211880.87000000,0.01078017
AART,2015,73,20254.52000000,2338727590.50010300,25232135.39000000,0.01078883
AART,2015,74,10924.22000000,2338727590.50010300,25243059.61000000,0.01079350
AART,2015,75,23092.53000000,2338727590.50010300,25266152.14000000,0.01080338
AART,2015,76,18927.58000000,2338727590.50010300,25285079.72000000,0.01081147
AART,2015,77,2333.21000000,2338727590.50010300,25287412.93000000,0.01081247
AART,2015,78,19617.66000000,2338727590.50010300,25307030.59000000,0.01082085
AART,2015,79,8022.57000000,2338727590.50010300,25315053.16000000,0.01082428
AART,2015,80,7228.48000000,2338727590.50010300,25322281.64000000,0.01082738
AART,2015,81,5612.04000000,2338727590.50010300,25327893.68000000,0.01082978
AART,2015,82,2452.83000000,2338727590.50010300,25330346.51000000,0.01083082
AART,2015,83,2131.77000000,2338727590.50010300,25332478.28000000,0.01083174
AART,2015,84,891.83000000,2338727590.50010300,25333370.11000000,0.01083212
AART,2016,4,10238.49000000,3993964511.91012526,10238.49000000,0.00000256
AART,2016,7,87268.83000000,3993964511.91012526,97507.32000000,0.00002441
AART,2016,8,322330.49000000,3993964511.91012526,419837.81000000,0.00010512
AART,2016,9,342156.97000000,3993964511.91012526,761994.78000000,0.00019079
AART,2016,10,410282.00000000,3993964511.91012526,1172276.78000000,0.00029351
AART,2016,11,515273.17000000,3993964511.91012526,1687549.95000000,0.00042253
AART,2016,12,776337.09000000,3993964511.91012526,2463887.04000000,0.00061690
AART,2016,13,1055814.16000000,3993964511.91012526,3519701.20000000,0.00088126
AART,2016,14,921701.73000000,3993964511.91012526,4441402.93000000,0.00111203
AART,2016,15,1635751.69000000,3993964511.91012526,6077154.62000000,0.00152158
AART,2016,16,1552651.64000000,3993964511.91012526,7629806.26000000,0.00191033
AART,2016,17,1949475.83000000,3993964511.91012526,9579282.09000000,0.00239844
AART,2016,18,1864333.44000000,3993964511.91012526,11443615.53000000,0.00286523
AART,2016,19,1690551.32000000,3993964511.91012526,13134166.85000000,0.00328850
AART,2016,20,2372356.25000000,3993964511.91012526,15506523.10000000,0.00388249
AART,2016,21,1848433.22000000,3993964511.91012526,17354956.32000000,0.00434530
AART,2016,22,1926578.22000000,3993964511.91012526,19281534.54000000,0.00482767
AART,2016,23,1664866.58000000,3993964511.91012526,20946401.12000000,0.00524451
AART,2016,24,1963364.12000000,3993964511.91012526,22909765.24000000,0.00573610
AART,2016,25,1855595.06000000,3993964511.91012526,24765360.30000000,0.00620070
AART,2016,26,1652443.74000000,3993964511.91012526,26417804.04000000,0.00661443
AART,2016,27,2108169.81000000,3993964511.91012526,28525973.85000000,0.00714227
AART,2016,28,2512606.72000000,3993964511.91012526,31038580.57000000,0.00777137
AART,2016,29,1997172.65000000,3993964511.91012526,33035753.22000000,0.00827142
AART,2016,30,1602850.37000000,3993964511.91012526,34638603.59000000,0.00867274
AART,2016,31,1909951.55000000,3993964511.91012526,36548555.14000000,0.00915095
AART,2016,32,1686243.17000000,3993964511.91012526,38234798.31000000,0.00957314
AART,2016,33,1926374.62000000,3993964511.91012526,40161172.93000000,0.01005547
AART,2016,34,2113520.48000000,3993964511.91012526,42274693.41000000,0.01058464
AART,2016,35,1776869.96000000,3993964511.91012526,44051563.37000000,0.01102953
AART,2016,36,1825369.99000000,3993964511.91012526,45876933.36000000,0.01148657
AART,2016,37,1642912.68000000,3993964511.91012526,47519846.04000000,0.01189791
AART,2016,38,1489341.30000000,3993964511.91012526,49009187.34000000,0.01227081
AART,2016,39,1338158.25000000,3993964511.91012526,50347345.59000000,0.01260586
AART,2016,40,1243943.55000000,3993964511.91012526,51591289.14000000,0.01291731
AART,2016,41,1355552.05000000,3993964511.91012526,52946841.19000000,0.01325671
AART,2016,42,1257750.19000000,3993964511.91012526,54204591.38000000,0.01357163
AART,2016,43,1220217.85000000,3993964511.91012526,55424809.23000000,0.01387714
AART,2016,44,937889.57000000,3993964511.91012526,56362698.80000000,0.01411197
AART,2016,45,1041447.23000000,3993964511.91012526,57404146.03000000,0.01437272
AART,2016,46,977950.57000000,3993964511.91012526,58382096.60000000,0.01461758
AART,2016,47,688057.38000000,3993964511.91012526,59070153.98000000,0.01478985
AART,2016,48,722191.61000000,3993964511.91012526,59792345.59000000,0.01497068
AART,2016,49,774938.76000000,3993964511.91012526,60567284.35000000,0.01516470
AART,2016,50,724283.42000000,3993964511.91012526,61291567.77000000,0.01534605
AART,2016,51,731719.66000000,3993964511.91012526,62023287.43000000,0.01552925
AART,2016,52,571737.08000000,3993964511.91012526,62595024.51000000,0.01567240
AART,2016,53,689133.69000000,3993964511.91012526,63284158.20000000,0.01584495
AART,2016,54,370388.52000000,3993964511.91012526,63654546.72000000,0.01593768
AART,2016,55,367783.03000000,3993964511.91012526,64022329.75000000,0.01602977
AART,2016,56,327280.64000000,3993964511.91012526,64349610.39000000,0.01611171
AART,2016,57,331966.19000000,3993964511.91012526,64681576.58000000,0.01619483
AART,2016,58,170794.27000000,3993964511.91012526,64852370.85000000,0.01623759
AART,2016,59,220790.53000000,3993964511.91012526,65073161.38000000,0.01629287
AART,2016,60,222944.35000000,3993964511.91012526,65296105.73000000,0.01634869
AART,2016,61,157320.22000000,3993964511.91012526,65453425.95000000,0.01638808
AART,2016,62,74752.54000000,3993964511.91012526,65528178.48999999,0.01640680
AART,2016,63,43545.76000000,3993964511.91012526,65571724.25000000,0.01641770
AART,2016,64,53288.22000000,3993964511.91012526,65625012.47000000,0.01643105
AART,2016,65,66205.04000000,3993964511.91012526,65691217.51000000,0.01644762
AART,2016,66,39263.81000000,3993964511.91012526,65730481.32000000,0.01645745
AART,2016,67,19666.00000000,3993964511.91012526,65750147.32000000,0.01646238
AART,2016,68,18859.70000000,3993964511.91012526,65769007.02000000,0.01646710
AART,2016,69,2307.57000000,3993964511.91012526,65771314.59000000,0.01646768
AART,2016,70,27486.17000000,3993964511.91012526,65798800.76000000,0.01647456
AART,2016,71,3426.15000000,3993964511.91012526,65802226.91000000,0.01647542
AART,2016,72,16516.77000000,3993964511.91012526,65818743.68000000,0.01647955
AART,2016,73,17046.96000000,3993964511.91012526,65835790.64000000,0.01648382
AART,2016,74,7226.04000000,3993964511.91012526,65843016.68000000,0.01648563
AART,2016,75,12029.85000000,3993964511.91012526,65855046.53000000,0.01648864
AART,2016,76,10841.97000000,3993964511.91012526,65865888.50000000,0.01649136
AART,2016,77,20533.78000000,3993964511.91012526,65886422.28000000,0.01649650
AART,2016,78,945.81000000,3993964511.91012526,65887368.09000000,0.01649673
