issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
AMCAR,2010,81,6729.83000000,228123.47000000,6729.83000000,0.02950082
AMCAR,2010,82,8451.22000000,228123.47000000,15181.05000000,0.06654751
AMCAR,2010,84,0.00000000,228123.47000000,15181.05000000,0.06654751
AMCAR,2011,66,12995.85000000,50708119.94000003,12995.85000000,0.00025629
AMCAR,2011,67,10536.54000000,50708119.94000003,23532.39000000,0.00046408
AMCAR,2011,69,6066.71000000,50708119.94000003,29599.10000000,0.00058372
AMCAR,2011,70,48209.01000000,50708119.94000003,77808.11000000,0.00153443
AMCAR,2011,71,25005.02000000,50708119.94000003,102813.13000000,0.00202755
AMCAR,2011,72,52799.53000000,50708119.94000003,155612.66000000,0.00306879
AMCAR,2011,73,63467.03000000,50708119.94000003,219079.69000000,0.00432041
AMCAR,2011,74,42472.09000000,50708119.94000003,261551.78000000,0.00515799
AMCAR,2011,75,48800.45000000,50708119.94000003,310352.23000000,0.00612037
AMCAR,2011,76,26878.76000000,50708119.94000003,337230.99000000,0.00665043
AMCAR,2011,77,41463.04000000,50708119.94000003,378694.03000000,0.00746811
AMCAR,2011,78,27611.58000000,50708119.94000003,406305.61000000,0.00801263
AMCAR,2011,79,35364.66000000,50708119.94000003,441670.27000000,0.00871005
AMCAR,2011,80,40316.71000000,50708119.94000003,481986.98000000,0.00950512
AMCAR,2011,81,49463.47000000,50708119.94000003,531450.45000000,0.01048058
AMCAR,2011,82,39141.66000000,50708119.94000003,570592.11000000,0.01125248
AMCAR,2011,83,66672.34000000,50708119.94000003,637264.45000000,0.01256731
AMCAR,2011,84,100679.75000000,50708119.94000003,737944.20000000,0.01455278
AMCAR,2012,56,29997.10000000,549383072.61999679,29997.10000000,0.00005460
AMCAR,2012,57,93510.71000000,549383072.61999679,123507.81000000,0.00022481
AMCAR,2012,58,65930.76000000,549383072.61999679,189438.57000000,0.00034482
AMCAR,2012,59,342485.75000000,549383072.61999679,531924.32000000,0.00096822
AMCAR,2012,60,380418.73000000,549383072.61999679,912343.05000000,0.00166067
AMCAR,2012,61,674031.26000000,549383072.61999679,1586374.31000000,0.00288756
AMCAR,2012,62,757911.80000000,549383072.61999679,2344286.11000000,0.00426712
AMCAR,2012,63,719866.74000000,549383072.61999679,3064152.85000000,0.00557744
AMCAR,2012,64,768170.00000000,549383072.61999679,3832322.85000000,0.00697568
AMCAR,2012,65,760424.14000000,549383072.61999679,4592746.99000000,0.00835983
AMCAR,2012,66,608820.44000000,549383072.61999679,5201567.43000000,0.00946802
AMCAR,2012,67,704311.37000000,549383072.61999679,5905878.80000000,0.01075002
AMCAR,2012,68,568951.94000000,549383072.61999679,6474830.74000000,0.01178564
AMCAR,2012,69,724604.04000000,549383072.61999679,7199434.78000000,0.01310458
AMCAR,2012,70,615311.72000000,549383072.61999679,7814746.50000000,0.01422459
AMCAR,2012,71,575289.03000000,549383072.61999679,8390035.53000000,0.01527174
AMCAR,2012,72,565434.73000000,549383072.61999679,8955470.26000000,0.01630096
AMCAR,2012,73,349081.36000000,549383072.61999679,9304551.62000000,0.01693636
AMCAR,2012,74,393463.67000000,549383072.61999679,9698015.29000000,0.01765256
AMCAR,2012,75,386674.55000000,549383072.61999679,10084689.84000000,0.01835639
AMCAR,2012,76,386374.93000000,549383072.61999679,10471064.77000000,0.01905968
AMCAR,2012,77,311911.65000000,549383072.61999679,10782976.42000000,0.01962743
AMCAR,2012,78,286305.11000000,549383072.61999679,11069281.53000000,0.02014857
AMCAR,2012,79,238758.36000000,549383072.61999679,11308039.89000000,0.02058316
AMCAR,2012,80,177598.11000000,549383072.61999679,11485638.00000000,0.02090643
AMCAR,2012,81,236250.94000000,549383072.61999679,11721888.94000000,0.02133646
AMCAR,2012,82,224316.85000000,549383072.61999679,11946205.79000000,0.02174476
AMCAR,2012,83,202640.74000000,549383072.61999679,12148846.53000000,0.02211362
AMCAR,2012,84,254481.78000000,549383072.61999679,12403328.31000000,0.02257683
AMCAR,2013,52,4911.54000000,194210388.51000011,4911.54000000,0.00002529
AMCAR,2013,53,0.00000000,194210388.51000011,4911.54000000,0.00002529
AMCAR,2013,57,17280.15000000,194210388.51000011,22191.69000000,0.00011427
AMCAR,2013,58,52481.90000000,194210388.51000011,74673.59000000,0.00038450
AMCAR,2013,59,73713.28000000,194210388.51000011,148386.87000000,0.00076405
AMCAR,2013,60,194390.23000000,194210388.51000011,342777.10000000,0.00176498
AMCAR,2013,61,270981.38000000,194210388.51000011,613758.48000000,0.00316028
AMCAR,2013,62,330760.05000000,194210388.51000011,944518.53000000,0.00486338
AMCAR,2013,63,356497.67000000,194210388.51000011,1301016.20000000,0.00669900
AMCAR,2013,64,282632.55000000,194210388.51000011,1583648.75000000,0.00815429
AMCAR,2013,65,321600.03000000,194210388.51000011,1905248.78000000,0.00981023
AMCAR,2013,66,243556.00000000,194210388.51000011,2148804.78000000,0.01106431
AMCAR,2013,67,220005.84000000,194210388.51000011,2368810.62000000,0.01219714
AMCAR,2013,68,241908.06000000,194210388.51000011,2610718.68000000,0.01344273
AMCAR,2013,69,197262.31000000,194210388.51000011,2807980.99000000,0.01445845
AMCAR,2013,70,175475.80000000,194210388.51000011,2983456.79000000,0.01536198
AMCAR,2013,71,163327.01000000,194210388.51000011,3146783.80000000,0.01620296
AMCAR,2013,72,112261.37000000,194210388.51000011,3259045.17000000,0.01678100
AMCAR,2013,73,167090.25000000,194210388.51000011,3426135.42000000,0.01764136
AMCAR,2013,74,104966.18000000,194210388.51000011,3531101.60000000,0.01818184
AMCAR,2013,75,105271.34000000,194210388.51000011,3636372.94000000,0.01872388
AMCAR,2013,76,86501.35000000,194210388.51000011,3722874.29000000,0.01916929
AMCAR,2013,77,101713.72000000,194210388.51000011,3824588.01000000,0.01969301
AMCAR,2013,78,85391.47000000,194210388.51000011,3909979.48000000,0.02013270
AMCAR,2013,79,44755.94000000,194210388.51000011,3954735.42000000,0.02036315
AMCAR,2013,80,82661.97000000,194210388.51000011,4037397.39000000,0.02078878
AMCAR,2013,81,75395.74000000,194210388.51000011,4112793.13000000,0.02117700
AMCAR,2013,82,42498.92000000,194210388.51000011,4155292.05000000,0.02139583
AMCAR,2013,83,75813.94000000,194210388.51000011,4231105.99000000,0.02178620
AMCAR,2013,84,65909.49000000,194210388.51000011,4297015.48000000,0.02212557
AMCAR,2014,33,15183.31000000,977910689.14999425,15183.31000000,0.00001553
AMCAR,2014,36,15183.31000000,977910689.14999425,30366.62000000,0.00003105
AMCAR,2014,38,21312.37000000,977910689.14999425,51678.99000000,0.00005285
AMCAR,2014,41,20177.72000000,977910689.14999425,71856.71000000,0.00007348
AMCAR,2014,47,12185.67000000,977910689.14999425,84042.38000000,0.00008594
AMCAR,2014,50,19779.21000000,977910689.14999425,103821.59000000,0.00010617
AMCAR,2014,59,33590.90000000,977910689.14999425,137412.49000000,0.00014052
AMCAR,2014,60,76865.16000000,977910689.14999425,214277.65000000,0.00021912
AMCAR,2014,61,130918.15000000,977910689.14999425,345195.80000000,0.00035299
AMCAR,2014,62,175741.76000000,977910689.14999425,520937.56000000,0.00053270
AMCAR,2014,63,351371.52000000,977910689.14999425,872309.08000000,0.00089201
AMCAR,2014,64,499012.50000000,977910689.14999425,1371321.58000000,0.00140230
AMCAR,2014,65,451361.00000000,977910689.14999425,1822682.58000000,0.00186385
AMCAR,2014,66,408193.57000000,977910689.14999425,2230876.15000000,0.00228127
AMCAR,2014,67,547339.47000000,977910689.14999425,2778215.62000000,0.00284097
AMCAR,2014,68,504423.21000000,977910689.14999425,3282638.83000000,0.00335679
AMCAR,2014,69,496827.98000000,977910689.14999425,3779466.81000000,0.00386484
AMCAR,2014,70,497430.26000000,977910689.14999425,4276897.07000000,0.00437350
AMCAR,2014,71,458817.30000000,977910689.14999425,4735714.37000000,0.00484269
AMCAR,2014,72,337012.48000000,977910689.14999425,5072726.85000000,0.00518731
AMCAR,2014,73,419134.61000000,977910689.14999425,5491861.46000000,0.00561591
AMCAR,2014,74,334601.75000000,977910689.14999425,5826463.21000000,0.00595807
AMCAR,2014,75,287215.57000000,977910689.14999425,6113678.78000000,0.00625178
AMCAR,2014,76,317292.16000000,977910689.14999425,6430970.94000000,0.00657624
AMCAR,2014,77,253816.55000000,977910689.14999425,6684787.49000000,0.00683579
AMCAR,2014,78,231093.44000000,977910689.14999425,6915880.93000000,0.00707210
AMCAR,2014,79,183050.06000000,977910689.14999425,7098930.99000000,0.00725928
