issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
MBART,2013,57,5095.68000000,80830017.51999998,5095.68000000,0.00006304
MBART,2013,58,25374.06000000,80830017.51999998,30469.74000000,0.00037696
MBART,2013,59,12574.42000000,80830017.51999998,43044.16000000,0.00053253
MBART,2013,64,5078.91000000,80830017.51999998,48123.07000000,0.00059536
MBART,2013,65,3391.78000000,80830017.51999998,51514.85000000,0.00063732
MBART,2013,66,1337.17000000,80830017.51999998,52852.02000000,0.00065387
MBART,2013,69,5104.87000000,80830017.51999998,57956.89000000,0.00071702
MBART,2013,70,884.84000000,80830017.51999998,58841.73000000,0.00072797
MBART,2013,74,735.68000000,80830017.51999998,59577.41000000,0.00073707
MBART,2013,76,586.52000000,80830017.51999998,60163.93000000,0.00074433
MBART,2014,45,24399.94000000,181760887.95999998,24399.94000000,0.00013424
MBART,2014,50,11078.59000000,181760887.95999998,35478.53000000,0.00019519
MBART,2014,52,4913.99000000,181760887.95999998,40392.52000000,0.00022223
MBART,2014,54,22039.54000000,181760887.95999998,62432.06000000,0.00034348
MBART,2014,55,15847.92000000,181760887.95999998,78279.98000000,0.00043068
MBART,2014,56,42815.99000000,181760887.95999998,121095.97000000,0.00066624
MBART,2014,58,2113.61000000,181760887.95999998,123209.58000000,0.00067787
MBART,2014,59,2523.61000000,181760887.95999998,125733.19000000,0.00069175
MBART,2014,68,3575.84000000,181760887.95999998,129309.03000000,0.00071142
MBART,2014,69,13854.21000000,181760887.95999998,143163.24000000,0.00078765
MBART,2014,70,4078.43000000,181760887.95999998,147241.67000000,0.00081008
MBART,2014,71,1977.32000000,181760887.95999998,149218.99000000,0.00082096
MBART,2014,75,1780.66000000,181760887.95999998,150999.65000000,0.00083076
MBART,2014,76,2976.61000000,181760887.95999998,153976.26000000,0.00084714
MBART,2014,77,3441.45000000,181760887.95999998,157417.71000000,0.00086607
MBART,2014,80,2500.13000000,181760887.95999998,159917.84000000,0.00087983
MBART,2015,35,3796.64000000,246765810.34999996,3796.64000000,0.00001539
MBART,2015,37,42718.51000000,246765810.34999996,46515.15000000,0.00018850
MBART,2015,38,13143.07000000,246765810.34999996,59658.22000000,0.00024176
MBART,2015,39,27614.00000000,246765810.34999996,87272.22000000,0.00035366
MBART,2015,43,14668.99000000,246765810.34999996,101941.21000000,0.00041311
MBART,2015,45,37959.72000000,246765810.34999996,139900.93000000,0.00056694
MBART,2015,46,44365.09000000,246765810.34999996,184266.02000000,0.00074672
MBART,2015,47,8998.73000000,246765810.34999996,193264.75000000,0.00078319
MBART,2015,48,34617.61000000,246765810.34999996,227882.36000000,0.00092348
MBART,2015,50,48865.64000000,246765810.34999996,276748.00000000,0.00112150
MBART,2015,51,26058.33000000,246765810.34999996,302806.33000000,0.00122710
MBART,2015,52,35141.85000000,246765810.34999996,337948.18000000,0.00136951
MBART,2015,53,27767.84000000,246765810.34999996,365716.02000000,0.00148204
MBART,2015,54,29939.52000000,246765810.34999996,395655.54000000,0.00160336
MBART,2015,57,28348.11000000,246765810.34999996,424003.65000000,0.00171824
MBART,2015,58,23883.25000000,246765810.34999996,447886.90000000,0.00181503
MBART,2015,59,5982.05000000,246765810.34999996,453868.95000000,0.00183927
MBART,2015,60,8693.83000000,246765810.34999996,462562.78000000,0.00187450
MBART,2015,63,1022.47000000,246765810.34999996,463585.25000000,0.00187864
MBART,2015,64,7609.55000000,246765810.34999996,471194.80000000,0.00190948
MBART,2015,66,3843.94000000,246765810.34999996,475038.74000000,0.00192506
MBART,2015,69,8594.61000000,246765810.34999996,483633.35000000,0.00195989
MBART,2015,70,4546.73000000,246765810.34999996,488180.08000000,0.00197831
MBART,2015,72,6427.23000000,246765810.34999996,494607.31000000,0.00200436
MBART,2015,73,2034.00000000,246765810.34999996,496641.31000000,0.00201260
MBART,2015,76,2624.18000000,246765810.34999996,499265.49000000,0.00202324
MBART,2015,77,3654.62000000,246765810.34999996,502920.11000000,0.00203805
MBART,2015,79,3927.91000000,246765810.34999996,506848.02000000,0.00205396
MBART,2016,18,14601.59000000,908287997.09999824,14601.59000000,0.00001608
MBART,2016,19,14601.59000000,908287997.09999824,29203.18000000,0.00003215
MBART,2016,21,31821.92000000,908287997.09999824,61025.10000000,0.00006719
MBART,2016,22,81216.49000000,908287997.09999824,142241.59000000,0.00015660
MBART,2016,23,208971.07000000,908287997.09999824,351212.66000000,0.00038668
MBART,2016,24,126244.46000000,908287997.09999824,477457.12000000,0.00052567
MBART,2016,25,289943.24000000,908287997.09999824,767400.36000000,0.00084489
MBART,2016,26,238362.34000000,908287997.09999824,1005762.70000000,0.00110732
MBART,2016,27,54168.18000000,908287997.09999824,1059930.88000000,0.00116695
MBART,2016,28,108541.92000000,908287997.09999824,1168472.80000000,0.00128646
MBART,2016,29,161499.88000000,908287997.09999824,1329972.68000000,0.00146426
MBART,2016,30,130846.91000000,908287997.09999824,1460819.59000000,0.00160832
MBART,2016,31,117332.19000000,908287997.09999824,1578151.78000000,0.00173750
MBART,2016,32,185252.35000000,908287997.09999824,1763404.13000000,0.00194146
MBART,2016,33,320618.00000000,908287997.09999824,2084022.13000000,0.00229445
MBART,2016,34,340498.45000000,908287997.09999824,2424520.58000000,0.00266933
MBART,2016,35,223230.78000000,908287997.09999824,2647751.36000000,0.00291510
MBART,2016,36,50796.87000000,908287997.09999824,2698548.23000000,0.00297103
MBART,2016,37,396622.18000000,908287997.09999824,3095170.41000000,0.00340770
MBART,2016,38,211113.88000000,908287997.09999824,3306284.29000000,0.00364013
MBART,2016,39,122196.88000000,908287997.09999824,3428481.17000000,0.00377466
MBART,2016,40,193303.11000000,908287997.09999824,3621784.28000000,0.00398748
MBART,2016,41,57497.09000000,908287997.09999824,3679281.37000000,0.00405079
MBART,2016,42,319965.10000000,908287997.09999824,3999246.47000000,0.00440306
MBART,2016,43,257514.31000000,908287997.09999824,4256760.78000000,0.00468658
MBART,2016,44,114610.03000000,908287997.09999824,4371370.81000000,0.00481276
MBART,2016,45,236793.78000000,908287997.09999824,4608164.59000000,0.00507346
MBART,2016,46,123288.70000000,908287997.09999824,4731453.29000000,0.00520920
MBART,2016,47,122240.24000000,908287997.09999824,4853693.53000000,0.00534378
MBART,2016,48,209363.86000000,908287997.09999824,5063057.39000000,0.00557429
MBART,2016,49,48331.02000000,908287997.09999824,5111388.41000000,0.00562750
MBART,2016,50,71849.12000000,908287997.09999824,5183237.53000000,0.00570660
MBART,2016,51,84497.95000000,908287997.09999824,5267735.48000000,0.00579963
MBART,2016,52,56091.41000000,908287997.09999824,5323826.89000000,0.00586139
MBART,2016,53,454.61000000,908287997.09999824,5324281.50000000,0.00586189
MBART,2016,54,54052.00000000,908287997.09999824,5378333.50000000,0.00592140
MBART,2016,55,42416.28000000,908287997.09999824,5420749.78000000,0.00596810
MBART,2016,56,54752.08000000,908287997.09999824,5475501.86000000,0.00602838
MBART,2016,57,32704.02000000,908287997.09999824,5508205.88000000,0.00606438
MBART,2016,58,17024.07000000,908287997.09999824,5525229.95000000,0.00608313
